Model,Accuracy,ROC AUC
Logistic Regression,0.9519832985386222,0.5225972540045767
Random Forest,0.9519832985386222,0.3812452326468344
Gradient Boosting,0.9498956158663883,0.4405034324942792
Support Vector Machine,0.9519832985386222,0.5087719298245613
XGBoost,0.9519832985386222,0.4032227307398932
K-Nearest Neighbors,0.9519832985386222,0.5416666666666666
AdaBoost,0.9519832985386222,0.4804538520213577
Extra Trees,0.9519832985386222,0.4488939740655987
Bagging,0.9478079331941545,0.4977116704805492
CatBoost,0.9519832985386222,0.4680587337909992
LightGBM,0.9519832985386222,0.4597635392829901
Naive Bayes,0.9519832985386222,0.5242181540808543
Decision Tree,0.8747390396659708,0.5007151029748284
Stacking Classifier,0.9519832985386222,0.49890350877192985
