Model,Train Accuracy,CV Mean Accuracy,Test Accuracy
K Nearest Neighbors,81.812073020495,75.38349628765279,75.19032691446485
Support Vector Machine,83.3687982976817,82.92084403750302,81.59426780116435
Random Forest,99.3952290290066,85.78782375212123,83.69905956112854
XG Boost,100.0,85.47421745853995,84.4155844155844
Decision Tree,87.51259939522903,81.92401529480773,80.25078369905955
AdaBoost,84.04076604322992,82.90964582921634,82.5794894760412
CatBoost,90.35726285138314,86.58297809605365,85.8934169278997
Logistic Regression,82.55123754059805,82.10325563596099,81.68383340797133
Extra Trees,98.7568596707358,83.37999567128082,82.22122704881325
Gaussian Naive Bayes,73.9164520103035,73.58034008676259,74.56336766681594
