Year,District,Neighbourhood,Place_of_origin,Amount
2019,Ciutat Vella,el Raval,Andalusia,95
2019,Ciutat Vella,el Barri Gotic,Andalusia,64
2019,Ciutat Vella,la Barceloneta,Andalusia,41
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Andalusia,67
2019,Eixample,el Fort Pienc,Andalusia,41
2019,Eixample,la Sagrada Familia,Andalusia,93
2019,Eixample,la Dreta de l'Eixample,Andalusia,59
2019,Eixample,l'Antiga Esquerra de l'Eixample,Andalusia,77
2019,Eixample,la Nova Esquerra de l'Eixample,Andalusia,105
2019,Eixample,Sant Antoni,Andalusia,69
2019,Sants-Montjuic,el Poble Sec,Andalusia,83
2019,Sants-Montjuic,la Marina del Prat Vermell,Andalusia,1
2019,Sants-Montjuic,la Marina de Port,Andalusia,34
2019,Sants-Montjuic,la Font de la Guatlla,Andalusia,21
2019,Sants-Montjuic,Hostafrancs,Andalusia,41
2019,Sants-Montjuic,la Bordeta,Andalusia,26
2019,Sants-Montjuic,Sants - Badal,Andalusia,45
2019,Sants-Montjuic,Sants,Andalusia,74
2019,Les Corts,les Corts,Andalusia,60
2019,Les Corts,la Maternitat i Sant Ramon,Andalusia,30
2019,Les Corts,Pedralbes,Andalusia,9
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Andalusia,1
2019,Sarria-Sant Gervasi,Sarria,Andalusia,23
2019,Sarria-Sant Gervasi,les Tres Torres,Andalusia,3
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Andalusia,20
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Andalusia,43
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Andalusia,31
2019,Gracia,Vallcarca i els Penitents,Andalusia,12
2019,Gracia,el Coll,Andalusia,8
2019,Gracia,la Salut,Andalusia,18
2019,Gracia,la Vila de Gracia,Andalusia,95
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Andalusia,55
2019,Horta-Guinardo,el Baix Guinardo,Andalusia,34
2019,Horta-Guinardo,Can Baro,Andalusia,8
2019,Horta-Guinardo,el Guinardo,Andalusia,47
2019,Horta-Guinardo,la Font d'en Fargues,Andalusia,7
2019,Horta-Guinardo,el Carmel,Andalusia,45
2019,Horta-Guinardo,la Teixonera,Andalusia,22
2019,Horta-Guinardo,Sant Genis dels Agudells,Andalusia,11
2019,Horta-Guinardo,Montbau,Andalusia,6
2019,Horta-Guinardo,la Vall d'Hebron,Andalusia,4
2019,Horta-Guinardo,la Clota,Andalusia,0
2019,Horta-Guinardo,Horta,Andalusia,26
2019,Nou Barris,Vilapicina i la Torre Llobeta,Andalusia,28
2019,Nou Barris,Porta,Andalusia,48
2019,Nou Barris,el Turo de la Peira,Andalusia,21
2019,Nou Barris,Can Peguera,Andalusia,5
2019,Nou Barris,la Guineueta,Andalusia,14
2019,Nou Barris,Canyelles,Andalusia,11
2019,Nou Barris,les Roquetes,Andalusia,18
2019,Nou Barris,Verdun,Andalusia,15
2019,Nou Barris,la Prosperitat,Andalusia,47
2019,Nou Barris,la Trinitat Nova,Andalusia,6
2019,Nou Barris,Torre Baro,Andalusia,1
2019,Nou Barris,Ciutat Meridiana,Andalusia,14
2019,Nou Barris,Vallbona,Andalusia,1
2019,Sant Andreu,la Trinitat Vella,Andalusia,12
2019,Sant Andreu,Baro de Viver,Andalusia,3
2019,Sant Andreu,el Bon Pastor,Andalusia,16
2019,Sant Andreu,Sant Andreu,Andalusia,52
2019,Sant Andreu,la Sagrera,Andalusia,30
2019,Sant Andreu,el Congres i els Indians,Andalusia,6
2019,Sant Andreu,Navas,Andalusia,21
2019,Sant Marti,el Camp de l'Arpa del Clot,Andalusia,53
2019,Sant Marti,el Clot,Andalusia,22
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Andalusia,23
2019,Sant Marti,la Vila Olimpica del Poblenou,Andalusia,9
2019,Sant Marti,el Poblenou,Andalusia,48
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Andalusia,18
2019,Sant Marti,el Besos i el Maresme,Andalusia,52
2019,Sant Marti,Provencals del Poblenou,Andalusia,31
2019,Sant Marti,Sant Marti de Provencals,Andalusia,29
2019,Sant Marti,la Verneda i la Pau,Andalusia,40
2019,Ciutat Vella,el Raval,Aragon,36
2019,Ciutat Vella,el Barri Gotic,Aragon,14
2019,Ciutat Vella,la Barceloneta,Aragon,10
