Case_No;Measurement
1;0,097796364
2;0,054856364
3;0,036981818
4;0,054445455
5;0,021161818
6;-0,003698182
7;-0,010683636
8;0,02938
9;0,104576364
10;0,135805455
11;0,124505455
12;0,06102
13;-0,003698182
14;-0,027736364
15;-0,004930909
16;0,004930909
17;-0,005547273
18;-0,013149091
19;-0,003492727
20;0,048281818
21;0,091427273
22;0,09266
23;0,042529091
24;-0,012738182
25;-0,063896364
26;-0,061430909
27;-0,054445455
28;-0,081565455
29;-0,078483636
30;-0,076429091
31;-0,005341818
32;0,072525455
33;0,107452727
34;0,088345455
35;-0,009656364
36;-0,076634545
37;-0,098823636
38;-0,103754545
39;-0,100467273
40;-0,082387273
41;-0,062869091
42;-0,004725455
43;0,092249091
44;0,1582
45;0,171143636
46;0,10848
47;0,008834545
48;-0,063485455
49;-0,098207273
50;-0,121012727
51;-0,118136364
52;-0,107452727
53;-0,07458
54;0,02712
55;0,12882
56;0,183676364
57;0,161692727
58;0,09492
59;0,026914545
60;-0,02034
61;-0,016230909
62;-0,010683636
63;-0,014381818
64;-0,004725455
65;0,059170909
66;0,153885455
67;0,23052
68;0,258872727
69;0,213467273
70;0,160049091
71;0,125532727
72;0,107863636
73;0,113
74;0,101083636
75;0,084647273
76;0,11752
77;0,175869091
78;0,245723636
79;0,280856364
80;0,241203636
81;0,186552727
82;0,125121818
83;0,082181818
84;0,080332727
85;0,070470909
86;0,060814545
87;0,071087273
88;0,109507273
89;0,189018182
90;0,238121818
91;0,234012727
92;0,184087273
93;0,099234545
94;0,032050909
95;-0,010683636
96;-0,04068
97;-0,086907273
98;-0,104987273
99;-0,083825455
100;-0,03616
101;0,044994545
102;0,078689091
103;0,059376364
104;0,017669091
105;-0,029585455
106;-0,069854545
107;-0,103754545
108;-0,150598182
109;-0,193538182
110;-0,196825455
111;-0,16272
112;-0,061430909
113;0,036365455
114;0,087318182
115;0,095741818
116;0,056089091
117;0,012532727
118;-0,023627273
119;-0,059376364
120;-0,105603636
121;-0,12204
122;-0,093481818
123;-0,008012727
124;0,094098182
125;0,135805455
126;0,1356
127;0,100056364
128;0,067594545
129;0,057116364
130;0,052801818
131;0,031229091
132;-0,004725455
133;-0,026298182
134;-0,010067273
135;0,039036364
136;0,076018182
137;0,10396
138;0,089578182
139;0,075607273
140;0,07684
141;0,061636364
142;0,035749091
143;-0,028763636
144;-0,065745455
145;-0,070265455
146;-0,047254545
147;-0,016847273
148;-0,003698182
149;-0,002465455
150;-0,028558182
151;-0,025887273
152;-0,022394545
153;-0,033489091
154;-0,066567273
155;-0,098412727
156;-0,095947273
157;-0,071909091
158;-0,012327273
159;0,027530909
160;0,062458182
161;0,076429091
162;0,086701818
163;0,108274545
164;0,090194545
165;0,065334545
166;0,0113
167;-0,041501818
168;-0,044994545
169;-0,008012727
170;0,044378182
171;0,09492
172;0,123478182
173;0,131490909
174;0,151214545
175;0,1469
176;0,118136364
177;0,071087273
178;0,015203636
179;-0,009245455
180;-0,004109091
181;0,018696364
182;0,0452
183;0,064307273
184;0,064923636
185;0,091016364
186;0,130052727
187;0,132312727
188;0,111767273
189;0,039858182
190;-0,036776364
191;-0,073758182
192;-0,084852727
193;-0,072730909
194;-0,059170909
195;-0,03842
196;-0,002054545
197;0,025065455
198;0,036365455
199;0,023832727
200;-0,037392727
201;-0,087729091
202;-0,102727273
203;-0,091221818
204;-0,056705455
205;-0,04068
206;-0,026503636
207;0,005752727
208;0,039036364
209;0,069443636
210;0,087934545
211;0,051158182
212;-0,014792727
213;-0,038625455
214;-0,046227273
215;-0,024243636
216;0,009450909
217;0,021778182
218;0,058965455
219;0,113821818
220;0,162514545
221;0,181416364
222;0,151214545
223;0,08362
224;0,032050909
225;0,00904
226;0,012327273
227;0,038830909
228;0,071292727
229;0,105809091
230;0,141147273
231;0,180594545
232;0,179361818
233;0,133750909
234;0,049514545
235;-0,026092727
236;-0,052185455
237;-0,0339
238;0,024449091
239;0,069032727
240;0,100878182
241;0,112178182
242;0,130874545
243;0,138887273
244;0,094509091
245;0,033694545
246;-0,047254545
247;-0,087729091
248;-0,084236364
249;-0,057938182
250;-0,031229091
251;-0,029174545
252;-0,02486
253;0,009450909
254;0,068827273
255;0,094098182
256;0,103138182
257;0,066978182
258;0,027736364
259;0,01808
260;0,019518182
261;0,031229091
262;-0,005752727
263;-0,032667273
264;-0,050541818
265;-0,037598182
266;-0,011916364
267;-0,010478182
268;-0,015203636
269;-0,041912727
270;-0,039447273
271;-0,037803636
272;-0,016641818
273;-0,021161818
274;-0,076429091
275;-0,093687273
276;-0,091221818
277;-0,059170909
278;-0,036981818
279;-0,06102
280;-0,108685455
281;-0,134367273
282;-0,11074
283;-0,062252727
284;-0,02034
285;-0,021572727
286;-0,041090909
287;-0,056910909
288;-0,046432727
289;-0,038009091
290;-0,052390909
291;-0,066156364
292;-0,074990909
293;-0,040269091
294;0,016847273
295;0,084647273
296;0,113205455
297;0,104370909
298;0,084852727
299;0,070676364
300;0,094509091
301;0,084236364
302;0,071703636
303;0,064512727
304;0,071292727
305;0,124916364
306;0,169910909
307;0,189223636
308;0,171349091
309;0,128614545
310;0,106836364
311;0,114438182
312;0,114849091
313;0,113616364
314;0,090810909
315;0,071498182
316;0,101083636
317;0,151214545
318;0,199496364
319;0,191483636
320;0,143407273
321;0,095125455
322;0,063690909
323;0,055472727
324;0,039241818
325;0,01582
326;-0,000205455
327;0,020545455
328;0,087523636
329;0,157172727
330;0,187785455
331;0,152652727
332;0,083414545
333;0,044378182
334;0,017258182
335;-0,005752727
336;-0,02486
337;-0,043556364
338;-0,028969091
339;0,030818182
340;0,12204
341;0,183265455
342;0,179156364
343;0,115876364
344;0,044994545
345;0,012327273
346;-0,018696364
347;-0,053418182
348;-0,07684
349;-0,09266
350;-0,044583636
351;0,041912727
352;0,109712727
353;0,141763636
354;0,100878182
355;0,057527273
356;0,035132727
357;0,013765455
358;0,008218182
359;-0,027325455
360;-0,066772727
361;-0,076634545
362;-0,054034545
363;0,006985455
364;0,043350909
365;0,037803636
366;0,010889091
367;-0,007396364
368;0,002670909
369;0,020545455
370;0,021778182
371;-0,021778182
372;-0,069443636
373;-0,079305455
374;-0,050336364
375;-0,004725455
376;-0,002670909
377;-0,023832727
378;-0,02712
379;-0,008012727
380;0,0339
381;0,053418182
382;0,031434545
383;-0,004314545
384;-0,035338182
385;-0,012943636
386;0,042118182
387;0,052801818
388;0,044789091
389;0,042529091
390;0,058349091
391;0,098618182
392;0,132107273
393;0,130052727
394;0,068210909
395;-0,003492727
396;-0,032872727
397;-0,017258182
398;0,021161818
399;0,030407273
400;0,024243636
401;0,025681818
402;0,06328
403;0,115876364
404;0,118547273
405;0,062663636
406;-0,021367273
407;-0,076634545
408;-0,093276364
409;-0,06554
410;-0,046638182
411;-0,037392727
412;-0,020545455
413;0,017463636
414;0,08136
415;0,111150909
416;0,089783636
417;-0,002670909
418;-0,082592727
419;-0,137038182
420;-0,131696364
421;-0,078689091
422;-0,061636364
423;-0,029585455
424;0,009245455
425;0,088550909
426;0,167650909
427;0,195181818
428;0,150187273
429;0,05424
430;-0,012121818
431;-0,049925455
432;-0,028763636
433;-0,025065455
434;-0,046227273
435;-0,020134545
436;0,021983636
437;0,091838182
438;0,13786
439;0,132929091
440;0,1017
441;0,03842
442;-0,000410909
443;0,001643636
444;-0,005136364
445;-0,034105455
446;-0,066772727
447;-0,061636364
448;0,019107273
449;0,104781818
450;0,141558182
451;0,107452727
452;0,021983636
453;-0,034105455
454;-0,063485455
455;-0,058349091
456;-0,064718182
457;-0,066567273
458;-0,033489091
459;0,031229091
460;0,127792727
461;0,176485455
462;0,189634545
463;0,135394545
464;0,053829091
465;0,024038182
466;-0,011094545
467;-0,031845455
468;-0,033078182
469;-0,036981818
470;0,008423636
471;0,090810909
472;0,157994545
473;0,182443636
474;0,132518182
475;0,046021818
476;-0,009245455
477;-0,044378182
478;-0,062252727
479;-0,066156364
480;-0,074169091
481;-0,052596364
482;0,001643636
483;0,088961818
484;0,161692727
485;0,162309091
486;0,112383636
487;0,057527273
488;0,013765455
489;-0,029790909
490;-0,056294545
491;-0,106014545
492;-0,139503636
493;-0,088550909
494;-0,001232727
495;0,088961818
496;0,138887273
497;0,111150909
498;0,053418182
499;0,00452
500;-0,037803636
501;-0,059376364
502;-0,100672727
503;-0,139298182
504;-0,116903636
505;-0,051774545
506;0,050336364
507;0,13334
508;0,151214545
509;0,111561818
510;0,06328
511;0,016025455
512;-0,028147273
513;-0,047665455
514;-0,096769091
515;-0,099234545
516;-0,053212727
517;0,007190909
518;0,095330909
519;0,116903636
520;0,104576364
521;0,076429091
522;0,050541818
523;0,050541818
524;0,032461818
525;-0,013765455
526;-0,067594545
527;-0,081154545
528;-0,0452
529;0,037392727
530;0,098207273
531;0,099234545
532;0,079921818
533;0,047049091
534;0,026503636
535;0,013149091
536;-0,036365455
537;-0,08362
538;-0,092043636
539;-0,075607273
540;0,003903636
541;0,080538182
542;0,094509091
543;0,093276364
544;0,064512727
545;0,048281818
546;0,050952727
547;0,0113
548;-0,046021818
549;-0,097590909
550;-0,111561818
551;-0,055883636
552;0,019518182
553;0,068827273
