Case_No;Measurements
1;-0,004725455
2;-0,106630909
3;-0,074169091
4;0,208947273
5;-0,056705455
6;-0,175458182
7;0,051774545
8;0,041501818
9;-0,024449091
10;0,167445455
11;-0,165185455
12;0,022805455
13;0,468641818
14;0,242230909
15;0,019723636
16;-0,010889091
17;-0,125943636
18;-0,041501818
19;0,267090909
20;-0,074169091
21;0,008629091
22;-0,081565455
23;-0,410292727
24;0,092043636
25;0,046227273
26;0,137243636
27;0,380707273
28;0,223945455
29;0,032872727
30;-0,231752727
31;-0,08588
32;0,2486
33;0,457341818
34;0,12882
35;-0,058349091
36;-0,041912727
37;-0,281883636
38;0,01582
39;0,064101818
40;-0,339616364
41;-0,114027273
42;0,086907273
43;-0,154912727
44;0,116903636
45;-0,016847273
46;-0,249421818
47;0,358518182
48;0,03164
49;-0,118958182
50;0,556576364
51;0,391596364
52;0,252503636
53;0,156145455
54;-0,217370909
55;-0,140736364
56;0,048281818
57;0,059170909
58;0,194565455
59;0,041501818
60;-0,219425455
61;-0,126149091
62;-0,13334
63;0,032872727
64;0,234834545
65;0,308798182
66;0,146078182
67;0,018901818
68;0,058349091
69;-0,143612727
70;-0,007396364
71;0,064718182
72;0,075401818
73;0,211823636
74;0,130258182
75;0,231752727
76;0,156967273
77;-0,243463636
78;-0,355847273
79;-0,237916364
80;-0,206276364
81;0,024243636
82;0,113205455
83;0,041707273
84;0,1695
85;-0,033078182
86;-0,166007273
87;0,061430909
88;0,180389091
89;0,154501818
90;0,1808
91;0,263803636
92;0,27346
93;0,106836364
94;-0,185114545
95;-0,455287273
96;-0,159432727
97;0,3164
98;0,165596364
99;0,269145455
100;0,05198
101;-0,443370909
102;-0,347218182
103;-0,27798
104;0,114643636
105;0,439056364
106;0,23956
107;-0,025887273
108;0,120396364
109;-0,009861818
110;-0,365914545
111;-0,18306
112;-0,119369091
113;0,364887273
114;0,405361818
115;0,068621818
116;0,47234
117;0,591709091
118;-0,072936364
119;-0,755867273
120;-0,42262
121;-0,041090909
122;0,161281818
123;0,246750909
124;0,132518182
125;0,228054545
126;-0,027325455
127;-0,270172727
128;-0,074990909
129;0,240587273
130;0,16046
131;0,113
132;0,188196364
133;0,176690909
134;0,331398182
135;0,113
136;-0,090605455
137;-0,052185455
138;0,07232
139;0,019518182
140;0,003287273
141;0,198469091
142;-0,040063636
143;-0,048692727
144;-0,201550909
145;-0,209563636
146;0,346807273
147;0,225589091
148;0,047870909
149;0,207509091
150;-0,080332727
151;-0,287636364
152;-0,058965455
153;-0,113
154;-0,059992727
155;0,134572727
156;0,067594545
157;0,276336364
158;0,242230909
159;-0,047254545
160;-0,179567273
161;-0,328932727
162;-0,195592727
163;0,042323636
164;0,177718182
165;0,207303636
166;0,375776364
167;0,37968
168;-0,058965455
169;-0,514458182
170;-0,465970909
171;0,261954545
172;0,631978182
173;0,339821818
174;0,179156364
175;-0,193743636
176;-0,65314
177;-0,404129091
178;0,142996364
179;0,345163636
180;0,200523636
181;0,094303636
182;-0,394061818
183;-0,385843636
184;-0,134161818
185;-0,182032727
186;0,228054545
187;0,307565455
188;0,211823636
189;0,237505455
190;0,496378182
191;0,452821818
192;0,223123636
193;-0,344136364
194;-0,734294545
195;0,010272727
196;0,079510909
197;0,196414545
198;0,449945455
199;-0,106014545
200;-0,114232727
201;-0,120601818
202;-0,311263636
203;0,224561818
204;0,574656364
205;0,212645455
206;0,067183636
207;-0,133545455
208;-0,108685455
209;0,42714
210;0,229903636
211;-0,052390909
212;-0,092043636
213;-0,189223636
214;-0,305510909
215;-0,019312727
216;0,026298182
217;-0,204016364
218;0,245929091
219;0,049514545
220;0,014381818
221;0,270789091
222;0,161898182
223;0,161692727
224;0,019929091
225;-0,156967273
226;-0,136216364
227;0,294827273
228;0,32318
229;0,17628
230;0,103138182
231;-0,064101818
232;-0,017463636
233;0,158610909
234;0,145050909
235;-0,317427273
236;-0,247367273
237;-0,172581818
238;-0,145461818
239;0,156556364
240;0,037392727
