Id,ActivityDay,Calories
1503960366,4/12/2016,1985
1503960366,4/13/2016,1797
1503960366,4/14/2016,1776
1503960366,4/15/2016,1745
1503960366,4/16/2016,1863
1503960366,4/17/2016,1728
1503960366,4/18/2016,1921
1503960366,4/19/2016,2035
1503960366,4/20/2016,1786
1503960366,4/21/2016,1775
1503960366,4/22/2016,1827
1503960366,4/23/2016,1949
1503960366,4/24/2016,1788
1503960366,4/25/2016,2013
1503960366,4/26/2016,1970
1503960366,4/27/2016,2159
1503960366,4/28/2016,1898
1503960366,4/29/2016,1837
1503960366,4/30/2016,1947
1503960366,5/1/2016,1820
1503960366,5/2/2016,2004
1503960366,5/3/2016,1990
1503960366,5/4/2016,1819
1503960366,5/5/2016,1959
1503960366,5/6/2016,1896
1503960366,5/7/2016,1821
1503960366,5/8/2016,1740
1503960366,5/9/2016,1819
1503960366,5/10/2016,1859
1503960366,5/11/2016,1783
1503960366,5/12/2016,0
1624580081,4/12/2016,1432
1624580081,4/13/2016,1411
1624580081,4/14/2016,1572
1624580081,4/15/2016,1344
1624580081,4/16/2016,1463
1624580081,4/17/2016,1554
1624580081,4/18/2016,1604
1624580081,4/19/2016,1435
1624580081,4/20/2016,1446
1624580081,4/21/2016,1467
1624580081,4/22/2016,1470
1624580081,4/23/2016,1562
1624580081,4/24/2016,1617
1624580081,4/25/2016,1492
1624580081,4/26/2016,1402
1624580081,4/27/2016,1670
1624580081,4/28/2016,1401
1624580081,4/29/2016,1404
1624580081,4/30/2016,1655
1624580081,5/1/2016,2690
1624580081,5/2/2016,1497
1624580081,5/3/2016,1334
1624580081,5/4/2016,1368
1624580081,5/5/2016,1370
1624580081,5/6/2016,1341
1624580081,5/7/2016,1474
1624580081,5/8/2016,1427
1624580081,5/9/2016,1328
1624580081,5/10/2016,1393
1624580081,5/11/2016,1359
1624580081,5/12/2016,1002
1644430081,4/12/2016,3199
1644430081,4/13/2016,2902
1644430081,4/14/2016,3226
1644430081,4/15/2016,2750
1644430081,4/16/2016,3493
1644430081,4/17/2016,3011
1644430081,4/18/2016,2806
1644430081,4/19/2016,3300
1644430081,4/20/2016,2430
1644430081,4/21/2016,2140
1644430081,4/22/2016,2344
1644430081,4/23/2016,2677
1644430081,4/24/2016,2413
1644430081,4/25/2016,2497
1644430081,4/26/2016,3123
1644430081,4/27/2016,2489
1644430081,4/28/2016,3108
1644430081,4/29/2016,2498
1644430081,4/30/2016,3846
1644430081,5/1/2016,2696
1644430081,5/2/2016,2580
1644430081,5/3/2016,3324
1644430081,5/4/2016,2222
1644430081,5/5/2016,2463
1644430081,5/6/2016,3328
1644430081,5/7/2016,3404
1644430081,5/8/2016,2987
1644430081,5/9/2016,3008
1644430081,5/10/2016,2799
1644430081,5/11/2016,1276
1844505072,4/12/2016,2030
1844505072,4/13/2016,1860
1844505072,4/14/2016,2130
1844505072,4/15/2016,1725
1844505072,4/16/2016,1657
1844505072,4/17/2016,1793
1844505072,4/18/2016,1814
1844505072,4/19/2016,1366
1844505072,4/20/2016,1349
1844505072,4/21/2016,2062
1844505072,4/22/2016,1827
1844505072,4/23/2016,1645
1844505072,4/24/2016,1347
1844505072,4/25/2016,1347
1844505072,4/26/2016,1347
1844505072,4/27/2016,1348
1844505072,4/28/2016,1992
1844505072,4/29/2016,1856
1844505072,4/30/2016,1763
1844505072,5/1/2016,1541
1844505072,5/2/2016,1348
1844505072,5/3/2016,1742
1844505072,5/4/2016,1549
