Id,ActivityDay,StepTotal
1503960366,4/12/2016,13162
1503960366,4/13/2016,10735
1503960366,4/14/2016,10460
1503960366,4/15/2016,9762
1503960366,4/16/2016,12669
1503960366,4/17/2016,9705
1503960366,4/18/2016,13019
1503960366,4/19/2016,15506
1503960366,4/20/2016,10544
1503960366,4/21/2016,9819
1503960366,4/22/2016,12764
1503960366,4/23/2016,14371
1503960366,4/24/2016,10039
1503960366,4/25/2016,15355
1503960366,4/26/2016,13755
1503960366,4/27/2016,18134
1503960366,4/28/2016,13154
1503960366,4/29/2016,11181
1503960366,4/30/2016,14673
1503960366,5/1/2016,10602
1503960366,5/2/2016,14727
1503960366,5/3/2016,15103
1503960366,5/4/2016,11100
1503960366,5/5/2016,14070
1503960366,5/6/2016,12159
1503960366,5/7/2016,11992
1503960366,5/8/2016,10060
1503960366,5/9/2016,12022
1503960366,5/10/2016,12207
1503960366,5/11/2016,12770
1503960366,5/12/2016,0
1624580081,4/12/2016,8163
1624580081,4/13/2016,7007
1624580081,4/14/2016,9107
1624580081,4/15/2016,1510
1624580081,4/16/2016,5370
1624580081,4/17/2016,6175
1624580081,4/18/2016,10536
1624580081,4/19/2016,2916
1624580081,4/20/2016,4974
1624580081,4/21/2016,6349
1624580081,4/22/2016,4026
1624580081,4/23/2016,8538
1624580081,4/24/2016,6076
1624580081,4/25/2016,6497
1624580081,4/26/2016,2826
1624580081,4/27/2016,8367
1624580081,4/28/2016,2759
1624580081,4/29/2016,2390
1624580081,4/30/2016,6474
1624580081,5/1/2016,36019
1624580081,5/2/2016,7155
1624580081,5/3/2016,2100
1624580081,5/4/2016,2193
1624580081,5/5/2016,2470
1624580081,5/6/2016,1727
1624580081,5/7/2016,2104
1624580081,5/8/2016,3427
1624580081,5/9/2016,1732
1624580081,5/10/2016,2969
1624580081,5/11/2016,3134
1624580081,5/12/2016,2971
1644430081,4/12/2016,10694
1644430081,4/13/2016,8001
1644430081,4/14/2016,11037
1644430081,4/15/2016,5263
1644430081,4/16/2016,15300
1644430081,4/17/2016,8757
1644430081,4/18/2016,7132
1644430081,4/19/2016,11256
1644430081,4/20/2016,2436
1644430081,4/21/2016,1223
1644430081,4/22/2016,3673
1644430081,4/23/2016,6637
1644430081,4/24/2016,3321
1644430081,4/25/2016,3580
1644430081,4/26/2016,9919
1644430081,4/27/2016,3032
1644430081,4/28/2016,9405
1644430081,4/29/2016,3176
1644430081,4/30/2016,18213
1644430081,5/1/2016,6132
1644430081,5/2/2016,3758
1644430081,5/3/2016,12850
1644430081,5/4/2016,2309
1644430081,5/5/2016,4363
1644430081,5/6/2016,9787
1644430081,5/7/2016,13372
1644430081,5/8/2016,6724
1644430081,5/9/2016,6643
1644430081,5/10/2016,9167
1644430081,5/11/2016,1329
1844505072,4/12/2016,6697
1844505072,4/13/2016,4929
1844505072,4/14/2016,7937
1844505072,4/15/2016,3844
1844505072,4/16/2016,3414
1844505072,4/17/2016,4525
1844505072,4/18/2016,4597
1844505072,4/19/2016,197
1844505072,4/20/2016,8
1844505072,4/21/2016,8054
1844505072,4/22/2016,5372
1844505072,4/23/2016,3570
1844505072,4/24/2016,0
1844505072,4/25/2016,0
1844505072,4/26/2016,0
1844505072,4/27/2016,4
1844505072,4/28/2016,6907
1844505072,4/29/2016,4920
1844505072,4/30/2016,4014
1844505072,5/1/2016,2573
1844505072,5/2/2016,0
1844505072,5/3/2016,4059
1844505072,5/4/2016,2080
1844505072,5/5/2016,2237
1844505072,5/6/2016,44
1844505072,5/7/2016,0
1844505072,5/8/2016,0
1844505072,5/9/2016,0
1844505072,5/10/2016,0
1844505072,5/11/2016,0
1844505072,5/12/2016,0
1927972279,4/12/2016,678
1927972279,4/13/2016,356
1927972279,4/14/2016,2163
1927972279,4/15/2016,980
1927972279,4/16/2016,0
1927972279,4/17/2016,0
1927972279,4/18/2016,244
1927972279,4/19/2016,0
1927972279,4/20/2016,0
1927972279,4/21/2016,0
1927972279,4/22/2016,149
1927972279,4/23/2016,2945
1927972279,4/24/2016,2090
1927972279,4/25/2016,152
1927972279,4/26/2016,3761
1927972279,4/27/2016,0
1927972279,4/28/2016,1675
1927972279,4/29/2016,0
1927972279,4/30/2016,0
1927972279,5/1/2016,2704
1927972279,5/2/2016,3790
1927972279,5/3/2016,1326
1927972279,5/4/2016,1786
1927972279,5/5/2016,0
1927972279,5/6/2016,2091
1927972279,5/7/2016,1510
1927972279,5/8/2016,0
1927972279,5/9/2016,0
1927972279,5/10/2016,0
1927972279,5/11/2016,0
1927972279,5/12/2016,0
2022484408,4/12/2016,11875
2022484408,4/13/2016,12024
2022484408,4/14/2016,10690
2022484408,4/15/2016,11034
