index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att_y,Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,Alassane Pléa,14.0,fr FRA,FW,28-156,63,1,0,0,0,1,1,0,0,32.0,0.0,1,0.0,0.4,0.4,0.1,3.0,0.0,19.0,24.0,79.2,3.0,12.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
1,Marcus Thuram,10.0,fr FRA,FW,24-007,27,0,0,0,0,1,0,0,0,10.0,2.0,0,0.0,0.6,0.6,0.1,0.0,0.0,4.0,4.0,100.0,1.0,9.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Hannes Wolf,11.0,at AUT,LW,22-119,71,0,0,0,0,1,1,0,0,40.0,11.0,0,2.0,0.0,0.0,0.0,2.0,0.0,12.0,21.0,57.1,0.0,16.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
3,Keanan Bennetts,37.0,eng ENG,LW,22-157,19,0,0,0,0,1,0,0,0,13.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,8.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
4,Patrick Herrmann,7.0,de GER,RW,30-182,63,0,0,0,0,1,0,0,0,34.0,4.0,2,0.0,0.1,0.1,0.1,4.0,1.0,16.0,25.0,64.0,2.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
5,Jonas Hofmann,23.0,de GER,RW,29-030,27,0,0,0,0,0,0,0,0,18.0,0.0,1,1.0,0.0,0.0,0.8,1.0,0.0,8.0,14.0,57.1,2.0,6.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
6,Lars Stindl,13.0,de GER,AM,32-352,90,0,1,0,0,3,1,1,0,45.0,2.0,1,1.0,0.9,0.9,0.4,2.0,1.0,28.0,34.0,82.4,4.0,20.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Florian Neuhaus,32.0,de GER,DM,24-150,89,0,0,0,0,1,1,1,0,48.0,4.0,4,2.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,80.6,4.0,22.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,0
8,László Bénes,22.0,sk SVK,DM,23-338,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Christoph Kramer,6.0,de GER,DM,30-175,90,0,0,0,0,0,0,0,0,48.0,4.0,0,3.0,0.0,0.0,0.0,1.0,0.0,20.0,36.0,55.6,3.0,17.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
10,Joe Scally,29.0,us USA,LB,18-225,90,0,0,0,0,0,0,0,0,56.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.0,81.1,1.0,26.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Nico Elvedi,30.0,ch SUI,CB,24-317,90,0,0,0,0,1,0,0,0,41.0,0.0,2,2.0,0.1,0.1,0.0,1.0,0.0,25.0,32.0,78.1,0.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Matthias Ginter,28.0,de GER,CB,27-206,90,0,0,0,0,0,0,0,0,37.0,1.0,3,2.0,0.0,0.0,0.0,1.0,0.0,14.0,21.0,66.7,1.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
13,Stefan Lainer,18.0,at AUT,RB,28-351,90,0,0,0,0,1,0,0,0,53.0,1.0,1,0.0,0.1,0.1,0.6,2.0,0.0,31.0,43.0,72.1,6.0,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0
14,Yann Sommer,1.0,ch SUI,GK,32-239,90,0,0,0,0,0,0,0,0,43.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,39.0,59.0,0.0,26.0,0.0,0.0,0.0,9.0,1.0,8.0,88.9,2.1,9.0,25.0,36.0,30.0,4.0,60.0,45.5,9.0,77.8,52.9,17.0,1.0,5.9,0.0,4.3,1,0
0,Robert Lewandowski,9.0,pl POL,FW,32-357,90,1,0,0,0,6,5,0,0,42.0,0.0,0,0.0,1.1,1.1,0.3,3.0,0.0,16.0,28.0,57.1,3.0,24.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
1,Serge Gnabry,7.0,de GER,LW,26-030,74,0,0,0,0,1,0,0,0,56.0,1.0,1,1.0,0.2,0.2,0.2,2.0,0.0,33.0,43.0,76.7,6.0,37.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,0,0
2,Jamal Musiala,42.0,de GER,LW,18-168,16,0,0,0,0,0,0,0,0,12.0,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,9.0,77.8,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
3,Leroy Sané,10.0,de GER,RW,25-214,74,0,0,0,0,3,1,0,0,42.0,1.0,1,0.0,0.1,0.1,0.1,5.0,0.0,19.0,26.0,73.1,5.0,30.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,0,0
4,Kingsley Coman,11.0,fr FRA,RW,25-061,16,0,0,0,0,1,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,53.8,0.0,13.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
5,Thomas Müller,25.0,de GER,AM,31-334,81,0,0,0,0,0,0,0,0,45.0,1.0,1,1.0,0.0,0.0,0.0,3.0,0.0,28.0,40.0,70.0,5.0,27.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
