Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
1.0,Fri,2022-08-05,20:30,Eint Frankfurt,0.9,4.0,Bayern Munich,51500.0,Deutsche Bank Park,Deniz Aytekin,0,1,6,10.0,5.0,15.0,501.0,16.0,17.0,6.0,15.0,4.0,9.0,15.0,56.0,11.0,6.0,14.0,784.0,20.0,11.0,3.0,16.0,3.0,4.0,11.0,57.0
1.0,Sat,2022-08-06,15:30,Wolfsburg,1.0,0.8,Werder Bremen,28015.0,Volkswagen Arena,Sascha Stegemann,1,2,2,11.0,2.0,16.0,678.0,14.0,10.0,11.0,13.0,1.0,4.0,37.0,77.0,14.0,5.0,12.0,515.0,16.0,29.0,20.0,20.0,4.0,11.0,17.0,81.0
1.0,Sat,2022-08-06,15:30,Augsburg,0.7,1.3,Freiburg,25310.0,WWK Arena,Bastian Dankert,2,0,4,13.0,5.0,9.0,519.0,14.0,10.0,18.0,23.0,0.0,7.0,19.0,81.0,13.0,8.0,15.0,468.0,12.0,9.0,32.0,16.0,2.0,4.0,20.0,71.0
1.0,Sat,2022-08-06,15:30,Union Berlin,1.0,0.3,Hertha BSC,22012.0,Stadion An der Alten Försterei,Marco Fritz,3,3,1,23.0,5.0,23.0,514.0,23.0,10.0,28.0,22.0,2.0,5.0,28.0,89.0,17.0,4.0,16.0,540.0,11.0,5.0,16.0,24.0,1.0,7.0,24.0,69.0
1.0,Sat,2022-08-06,15:30,M'Gladbach,1.9,0.1,Hoffenheim,49659.0,Stadion im Borussia-Park,Daniel Siebert,4,3,1,18.0,5.0,21.0,737.0,7.0,9.0,8.0,9.0,2.0,2.0,16.0,44.0,12.0,1.0,9.0,494.0,11.0,5.0,9.0,17.0,2.0,4.0,13.0,56.0
1.0,Sat,2022-08-06,15:30,Bochum,0.9,1.4,Mainz 05,24110.0,Vonovia Ruhrstadion,Felix Zwayer,5,1,2,11.0,3.0,24.0,693.0,19.0,8.0,17.0,16.0,1.0,8.0,17.0,109.0,16.0,5.0,19.0,518.0,14.0,13.0,24.0,20.0,1.0,8.0,27.0,86.0
1.0,Sat,2022-08-06,18:30,Dortmund,1.8,1.3,Leverkusen,81365.0,Signal Iduna Park,Felix Brych,6,1,0,13.0,3.0,12.0,569.0,25.0,14.0,13.0,20.0,2.0,7.0,22.0,64.0,13.0,3.0,16.0,657.0,23.0,11.0,6.0,12.0,4.0,11.0,24.0,43.0
1.0,Sun,2022-08-07,15:30,Stuttgart,0.8,1.6,RB Leipzig,46000.0,Mercedes-Benz Arena,Tobias Stieler,7,1,1,14.0,1.0,4.0,457.0,27.0,14.0,15.0,31.0,1.0,10.0,18.0,73.0,9.0,9.0,29.0,746.0,19.0,8.0,14.0,9.0,2.0,7.0,21.0,56.0
1.0,Sun,2022-08-07,17:30,Köln,4.1,0.2,Schalke 04,50000.0,RheinEnergieSTADION,Robert Schröder,8,3,1,8.0,9.0,38.0,799.0,20.0,12.0,24.0,17.0,2.0,3.0,24.0,78.0,10.0,1.0,8.0,373.0,9.0,15.0,10.0,35.0,1.0,11.0,13.0,62.0
2.0,Fri,2022-08-12,20:30,Freiburg,1.0,1.1,Dortmund,34700.0,Europa-Park Stadion,Tobias Welz,9,1,3,16.0,9.0,29.0,458.0,17.0,11.0,20.0,16.0,3.0,10.0,21.0,86.0,10.0,2.0,15.0,662.0,16.0,10.0,23.0,26.0,2.0,6.0,19.0,58.0
2.0,Sat,2022-08-13,15:30,Hoffenheim,2.6,1.5,Bochum,17005.0,PreZero Arena,Patrick Ittrich,10,3,2,14.0,8.0,21.0,596.0,9.0,5.0,14.0,14.0,2.0,10.0,20.0,55.0,10.0,2.0,15.0,461.0,20.0,14.0,14.0,16.0,2.0,7.0,20.0,88.0
2.0,Sat,2022-08-13,15:30,Werder Bremen,0.5,1.4,Stuttgart,41000.0,Wohninvest Weserstadion,Robert Hartmann,11,2,2,6.0,2.0,15.0,710.0,21.0,8.0,13.0,16.0,0.0,9.0,18.0,90.0,10.0,5.0,16.0,551.0,23.0,5.0,11.0,16.0,0.0,8.0,17.0,76.0
2.0,Sat,2022-08-13,15:30,Leverkusen,2.5,0.4,Augsburg,22903.0,BayArena,Benjamin Cortus,12,1,2,7.0,7.0,32.0,701.0,15.0,12.0,17.0,14.0,3.0,3.0,21.0,77.0,15.0,3.0,10.0,419.0,20.0,12.0,22.0,39.0,2.0,15.0,20.0,78.0
2.0,Sat,2022-08-13,15:30,RB Leipzig,1.0,1.5,Köln,49579.0,Red Bull Arena,Benjamin Brand,13,2,2,8.0,2.0,11.0,595.0,8.0,8.0,13.0,15.0,1.0,11.0,29.0,74.0,18.0,7.0,20.0,534.0,19.0,14.0,13.0,10.0,1.0,7.0,20.0,62.0
2.0,Sat,2022-08-13,15:30,Hertha BSC,1.7,1.6,Eint Frankfurt,45000.0,Olympiastadion Berlin,Frank Willenborg,14,1,1,11.0,4.0,12.0,464.0,11.0,16.0,19.0,28.0,1.0,12.0,20.0,54.0,11.0,5.0,20.0,633.0,22.0,7.0,12.0,9.0,3.0,8.0,25.0,79.0
