year,sex,location,cancer_type,cases
1985,women,Gomel,skin,17.3
1985,women,Mogilev,skin,16.8
1986,women,Gomel,skin,15.6
1986,women,Mogilev,skin,18.3
1985,women,Belarus,skin,14.9
1986,women,Belarus,skin,16.5
1985,men,Gomel,skin,19.9
1985,men,Mogilev,skin,20.5
1986,men,Gomel,skin,20.1
1986,men,Mogilev,skin,22.4
1985,men,Belarus,skin,17.2
1986,men,Belarus,skin,20.3
1985,women,Gomel,thyroid,1.6
1985,women,Mogilev,thyroid,1.3
1986,women,Gomel,thyroid,6.8
1986,women,Mogilev,thyroid,3.5
1985,women,Belarus,thyroid,1.5
1986,women,Belarus,thyroid,4.5
1985,men,Gomel,thyroid,0.7
1985,men,Mogilev,thyroid,0.5
1986,men,Gomel,thyroid,2.5
1986,men,Mogilev,thyroid,1.1
1985,men,Belarus,thyroid,0.8
1986,men,Belarus,thyroid,1.4
1985,women,Gomel,lungs,3.3
1985,women,Mogilev,lungs,4.9
1986,women,Gomel,lungs,4.8
1986,women,Mogilev,lungs,5.6
1985,women,Belarus,lungs,4.7
1986,women,Belarus,lungs,5.7
1985,men,Gomel,lungs,38.1
1985,men,Mogilev,lungs,51.6
1986,men,Gomel,lungs,59.3
1986,men,Mogilev,lungs,73.1
1985,men,Belarus,lungs,44.1
1986,men,Belarus,lungs,65.9
1985,women,Gomel,pancreas,2.8
1985,women,Mogilev,pancreas,3.1
1986,women,Gomel,pancreas,3.9
1986,women,Mogilev,pancreas,3.6
1985,women,Belarus,pancreas,2.5
1986,women,Belarus,pancreas,3.5
1985,men,Gomel,pancreas,6
1985,men,Mogilev,pancreas,8.4
1986,men,Gomel,pancreas,8.7
1986,men,Mogilev,pancreas,8.7
1985,men,Belarus,pancreas,5.2
1986,men,Belarus,pancreas,8
1985,women,Gomel,colon,3.9
1985,women,Mogilev,colon,5.4
1986,women,Gomel,colon,6.2
1986,women,Mogilev,colon,7.5
1985,women,Belarus,colon,4.8
1986,women,Belarus,colon,7.3
1985,men,Gomel,colon,5.4
1985,men,Mogilev,colon,6.8
1986,men,Gomel,colon,8.1
1986,men,Mogilev,colon,10.2
1985,men,Belarus,colon,6.1
1986,men,Belarus,colon,9.4
1985,women,Gomel,rectum,5.8
1985,women,Mogilev,rectum,6.6
1986,women,Gomel,rectum,7.5
1986,women,Mogilev,rectum,7.6
1985,women,Belarus,rectum,6.4
1986,women,Belarus,rectum,8
1985,men,Gomel,rectum,7.3
1985,men,Mogilev,rectum,8
1986,men,Gomel,rectum,10.5
1986,men,Mogilev,rectum,12.7
1985,men,Belarus,rectum,8.1
1986,men,Belarus,rectum,11.8
1985,women,Gomel,kidney,1.5
1985,women,Mogilev,kidney,1.9
1986,women,Gomel,kidney,3
1986,women,Mogilev,kidney,3.1
1985,women,Belarus,kidney,1.7
1986,women,Belarus,kidney,3.7
1985,men,Gomel,kidney,2.8
1985,men,Mogilev,kidney,3.1
1986,men,Gomel,kidney,6.3
1986,men,Mogilev,kidney,6.8
1985,men,Belarus,kidney,3.5
1986,men,Belarus,kidney,7.5
