Make,Model,Year,Min Price,Max Price
BMW,7 Series,2008,"5,500,000","5,500,000"
Daewoo,Racer,1993,"335,000","335,000"
Daihatsu,Charade,1984,"325,000","325,000"
Daihatsu,Charade,1993,"235,000","235,000"
Daihatsu,Cuore,2004,"450,000","450,000"
Daihatsu,Cuore,2007,"500,000","560,000"
Daihatsu,Cuore,2012,"900,000","900,000"
Daihatsu,Cuore CX,2002,"400,000","400,000"
Daihatsu,Cuore CX,2005,"485,000","485,000"
Daihatsu,Cuore CX,2007,"600,000","600,000"
Daihatsu,Cuore CX,2008,"590,000","590,000"
Daihatsu,Mira,2007,"600,000","750,000"
Daihatsu,Mira,2008,"950,000","950,000"
Daihatsu,Mira,2011,"950,000","1,305,000"
Daihatsu,Mira,2013,"1,050,000","1,050,000"
Daihatsu,Mira,2015,"1,225,000","1,230,000"
Daihatsu,Mira,2016,"1,325,000","1,325,000"
Daihatsu,Move,2010,"1,100,000","1,100,000"
Daihatsu,Move,2011,"1,095,000","1,095,000"
Daihatsu,Move,2013,"1,175,000","1,175,000"
Honda,Accord,1994,"725,000","725,000"
Honda,Accord,2002,"1,300,000","1,300,000"
Honda,Accord,2005,"1,430,000","1,430,000"
Honda,Accord,2006,"1,800,000","2,400,000"
Honda,Accord,2008,"4,300,000","4,300,000"
Honda,Accord,2013,"750,000","750,000"
Honda,City,1999,"600,000","600,000"
Honda,City,2002,"575,000","650,000"
Honda,City,2004,"825,000","825,000"
Honda,City,2005,"860,000","936,000"
Honda,City,2006,"800,000","900,000"
Honda,City,2007,"850,000","850,000"
Honda,City,2008,"950,000","965,000"
Honda,City,2011,"1,300,000","1,300,000"
Honda,City Aspire,2013,"1,700,000","1,700,000"
Honda,City IDSI,2006,"750,000","925,000"
Honda,City IDSI,2008,"1,025,000","1,140,000"
Honda,City IVTEC,2009,"1,280,000","1,300,000"
Honda,City IVTEC,2010,"1,300,000","1,300,000"
Honda,City IVTEC,2011,"1,350,000","1,350,000"
Honda,City IVTEC,2012,"1,390,000","1,390,000"
Honda,City IVTEC,2014,"1,510,000","1,510,000"
Honda,City Vario,2007,"975,000","975,000"
Honda,Civic,1994,"410,000","425,000"
Honda,Civic,1998,"640,000","640,000"
Honda,Civic,2004,"850,000","850,000"
Honda,Civic,2007,"1,200,000","1,300,000"
Honda,Civic,2008,"1,100,000","1,250,000"
Honda,Civic,2009,"1,300,000","1,400,000"
Honda,Civic,2010,"1,250,000","1,389,000"
Honda,Civic,2011,"1,400,000","1,450,000"
Honda,Civic EXi,1995,"475,000","650,000"
Honda,Civic EXi,2004,"800,000","800,000"
Honda,Civic EXi,2005,"849,000","930,000"
Honda,Civic EXi,2006,"1,300,000","1,300,000"
Honda,Civic IVTEC,2009,"1,200,000","1,200,000"
Honda,Civic IVTEC,2011,"1,525,000","1,525,000"
