Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Product Page
AMD Ryzen 5 5600X,$158.86 USD,AMD,100-100000065BOX,0730143312042,,3.7 GHz,4.6 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B08166SLDF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Athlon 3000G,$53.22 USD,AMD,YD3000C6FHBOX,0730143311731,,3.5 GHz,"",True,2,4,35 W,AM4,Radeon RX Vega 3,https://www.amazon.ca/dp/B0815JGFQ8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 3 3300X,$150.09 USD,AMD,100-100000159BOX,0730143312172,,3.8 GHz,4.3 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/dp/B0876YS2T4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 5 5500,$87.04 USD,AMD,100-100000457BOX,0730143314121,,3.6 GHz,4.2 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B09VCJ171S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 5 5600,$133.46 USD,AMD,100-100000927BOX,0730143314190,,3.5 GHz,4.4 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B09VCHR1VH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 5 5600G,$122.59 USD,AMD,100-100000252BOX,0730143313414,,3.9 GHz,4.4 GHz,True,6,12,65 W,AM4,"Radeon RX Vega 7, Cezanne",https://www.amazon.ca/dp/B092L9GF5N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 5 7600,$216.89 USD,AMD,100-100001015BOX,0730143314572,,3.8 GHz,5.1 GHz,True,6,12,65 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BMQJWBDM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 5 7600X,$202.37 USD,AMD,100-100000593WOF,0730143314442,,4.7 GHz,5.3 GHz,True,6,12,105 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BBJDS62N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 5700G,$188.59 USD,AMD,100-100000263BOX,0730143313377,,3.8 GHz,4.6 GHz,True,8,16,65 W,AM4,"Radeon RX Vega 8, Cezanne",https://www.amazon.ca/dp/B091J3NYVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 5700X,$187.87 USD,AMD,100-100000926WOF,0730143314275,,3.4 GHz,4.6 GHz,True,8,16,65 W,AM4,False,https://www.amazon.ca/dp/B09VCHQHZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 5800X,$231.38 USD,AMD,100-100000063WOF,0730143312714,,3.8 GHz,4.7 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B0815XFSGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
AMD Ryzen 7 5800X3D,$304.65 USD,AMD,100-100000651WOF,0730143313797,,3.4 GHz,4.5 GHz,False,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B09VCJ2SHD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
