Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Product Page
Sapphire Pulse Radeon RX 6600 Gaming,,SAPPHIRE,11310-01-20G,4895106290662,,193 mm,2.5,1,0,1,3,0,0,2044 MHz,8 GB,,132 W,
Aorus RTX 3070 Master,,Gigabyte,GV-N3070AORUS M-8GD,4719331307844,,290 mm,3.0,2,0,3,3,0,0,1845 MHz,8 GB,14000 MHz,220 W,
ASRock Arc A750 Challenger D OC,,ASRock,90-GA3HZZ-00UANF,4710483940316,,271 mm,2.0,2,0,2,2,0,0,2250 MHz,8 GB,2000 MHz,225 W,
ASRock Radeon RX 7600 Challenger 8GO,,ASRock,90-GA41ZZ-00UANF,4710483942037,,269.2 mm,2.0,1,0,1,3,0,0,2695 MHz,8 GB,18000 MHz,165 W,
ASRock Radeon RX 7600 Phantom Gaming 8GO,,ASRock,90-GA4BZZ-00UANF,4710483943133,,305 mm,2.5,1,0,1,3,0,0,2755 MHz,8 GB,18000 MHz,165 W,
ASRock Radeon RX 7600 Steel Legend 8GO,,ASRock,90-GA4DZZ-00UANF,4710483943201,,303 mm,2.0,1,0,1,3,0,0,2725 MHz,8 GB,18000 MHz,165 W,
ASRock Radeon RX 7700 XT Challenger 12GO,,ASRock,90-GA4QZZ-00UANF,4710483943638,,266 mm,2.5,2,0,1,3,0,0,2854 MHz,12 GB,18000 MHz,245 W,
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,$499.61 USD,ASRock,90-GA4LZZ-00UANF,4710483943614,,328 mm,2.5,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W,https://www.amazon.ca/dp/B0CHK39HDX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Radeon RX 7700 XT Steel Legend 12GO,,ASRock,90-GA4PZZ-00UANF,4710483943621,,304 mm,2.8,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W,
ASRock Radeon RX 7800 XT Challenger 16GO,$547.11 USD,ASRock,90-GA4SZZ-00UANF,4710483943683,,267 mm,2.5,2,0,1,3,0,0,2475 MHz,16 GB,19500 MHz,263 W,https://www.amazon.ca/dp/B0CHK3929K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASRock Radeon RX 7800 XT Phantom Gaming 16GO,,ASRock,90-GA4MZZ-00UANF,4710483943669,,328 mm,2.5,2,0,1,3,0,0,2565 MHz,16 GB,19500 MHz,263 W,
ASRock Radeon RX 7800 XT Steel Legend 16GO,,ASRock,90-GA4RZZ-00UANF,4710483943676,,304 mm,3.0,2,0,1,3,0,0,2520 MHz,16 GB,19500 MHz,263 W,
ASUS GeForce RTX 3050 Dual,,ASUS,90YV0HH0-M0NA00,4711081635321,,200 mm,2.0,1,0,1,3,0,0,1852 MHz,8 GB,4 MHz,130 W,
ASUS GeForce RTX 3050 Phoenix,,ASUS,90YV0HH2-M0NA00,4711081645221,,177 mm,2.55,1,0,1,3,0,0,1807 MHz,8 GB,4 MHz,130 W,
ASUS GeForce RTX 3050 ROG Strix,,ASUS,90YV0HI1-M0NA00,4711081645443,,300 mm,2.7,1,0,2,3,0,0,1890 MHz,8 GB,4 MHz,130 W,
ASUS GeForce RTX 3060 Dual LHR,,ASUS,90YV0GB3-M0NA10,4711081310020,,200 mm,2.5,1,0,1,3,0,0,1807 MHz,12 GB,15000 MHz,170 W,
ASUS GeForce RTX 3060 Dual OC,,ASUS,90YV0GB2-M0NA00,4711081127178,,200 mm,2.5,1,0,1,3,0,0,1867 MHz,12 GB,7500 MHz,170 W,
ASUS GeForce RTX 3060 Phoenix V2 12G LHR,,ASUS,90YV0GB4-M0NA10,4711081310129,,177 mm,2.5,1,0,1,3,0,0,1807 MHz,12 GB,15000 MHz,170 W,
ASUS GeForce RTX 3060 ROG Strix,,ASUS,90YV0GC4-M0NA00,4711081058984,,300 mm,2.75,1,0,2,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,
ASUS GeForce RTX 3060 ROG Strix LHR,,ASUS,90YV0GC2-M0NA10,4711081310426,,300 mm,2.7,1,0,2,3,0,0,1912 MHz,12 GB,15000 MHz,170 W,
ASUS GeForce RTX 3060 ROG Strix OC,,ASUS,90YV0GC2-M0NA00,4711081058953,,300 mm,2.75,1,0,2,3,0,0,1912 MHz,12 GB,7500 MHz,170 W,
ASUS GeForce RTX 3060 Ti Dual Mini V2 O8G LHR,,ASUS,90YV0FT2-M0NA00,4711081322894,,200 mm,2.0,1,0,1,3,0,0,1680 MHz,8 GB,14000 MHz,250 W,
ASUS GeForce RTX 3060 Ti Dual V2 O8G LHR,,ASUS,90YV0G1J-M0NA00,4711081327288,195553327282,269 mm,2.7,1,0,2,3,0,0,1740 MHz,8 GB,14000 MHz,200 W,
ASUS GeForce RTX 3060 Ti ROG Strix V2 O8G LHR,,ASUS,90YV0G03-M0NA00,4711081326809,,318.5 mm,2.9,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3060 Ti TUF V2 8G LHR,,ASUS,90YV0G1B-M0NA00,4711081321699,,301 mm,2.7,1,0,2,3,0,0,1695 MHz,8 GB,14000 MHz,200 W,
ASUS GeForce RTX 3060 Ti TUF V2 O8G LHR,,ASUS,90YV0G1A-M0NA00,4711081321675,195553321679,301 mm,2.7,1,0,2,3,0,0,1755 MHz,8 GB,14000 MHz,200 W,
ASUS GeForce RTX 3060 TUF,,ASUS,90YV0GC1-M0NA00,4711081050285,,301 mm,2.75,1,0,2,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,
ASUS GeForce RTX 3060 TUF LHR,,ASUS,90YV0GC0-M0NA10,4711081310228,,301 mm,2.7,1,0,2,3,0,0,1882 MHz,12 GB,15000 MHz,170 W,
ASUS GeForce RTX 3060 TUF OC,,ASUS,90YV0GC0-M0NA00,4711081050247,,301 mm,2.75,1,0,2,3,0,0,1882 MHz,12 GB,7500 MHz,170 W,
ASUS GeForce RTX 3070 Dual V2 O8G LHR,,ASUS,90YV0FQC-M0NA00,4711081320012,,267 mm,2.7,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3070 Noctua Edition,,ASUS,90YV0FQQ-M0NA00,4711081452416,,310 mm,4.3,2,0,2,3,0,0,1815 MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3070 ROG Strix 8G White LHR,,ASUS,90YV0FRA-M0NA00,4711081320302,,318.5 mm,2.9,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3070 ROG Strix O8G White LHR,,ASUS,90YV0FR9-M0NA00,4711081320289,,318.5 mm,2.9,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3070 ROG Strix V2 O8G LHR,,ASUS,90YV0FR7-M0NA00,4711081320241,,318.5 mm,2.9,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3070 Ti ROG Strix,,ASUS,90YV0GW1-M0NA00,4711081243090,,319 mm,3.0,3,0,2,3,0,0,1800 MHz,8 GB,19000 MHz,290 W,
ASUS GeForce RTX 3070 Ti ROG Strix OC,,ASUS,90YV0GW0-M0NA00,4711081243052,,319 mm,3.0,3,0,2,3,0,0,1875 MHz,8 GB,19000 MHz,290 W,
ASUS GeForce RTX 3070 Ti TUF O8G LHR,,ASUS,90YV0GY0-M0NA00,4711081242970,,299.9 mm,2.7,2,0,2,3,0,0,1815 MHz,8 GB,19000 MHz,290 W,
ASUS GeForce RTX 3070 TUF V2 O8G LHR,,ASUS,90YV0FQI-M0NA00,4711081320135,195553320139,300 mm,2.5,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS GeForce RTX 3080 Noctua,,ASUS,90YV0FB9-M0NA00,4711081800729,,306.2 mm,4.1,2,0,2,3,0,0,1815 MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 ROG Strix 1,,ASUS,90YV0FA0-M0NM00,4718017909150,,318.5 mm,3.0,3,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 ROG Strix O1,,ASUS,90YV0FA1-M0NM00,4718017928786,,318.5 mm,3.0,3,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 ROG Strix V2 10G LHR,,ASUS,90YV0FA8-M0NM00,4711081321774,,318.5 mm,2.9,3,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 ROG Strix V2 O10G LHR,,ASUS,90YV0FA7-M0NM00,4711081321750,195553321754,318.5 mm,2.9,3,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
