Model,Train RMSE,Test RMSE,Train R2,Test R2
Linear Regression,17.647381123395498,302016927576.73517,0.9991482567920041,-1.9900446232960662e+17
Ridge Regression,123.92508660576131,300.16808962390667,0.9579983249054264,0.8034245461894287
Lasso Regression,134.8963445423951,333.58510662503335,0.9502321921750121,0.7572196406459344
Decision Tree Regressor,17.64737830640841,309.87481343277966,0.9991482570639254,0.7905054153630061
Random Forest Regressor,126.92922626266237,338.95991985527183,0.9559372686801817,0.7493331283020898
Gradient Boosting Regressor,105.99150551123878,307.49701578786687,0.9692751146610664,0.7937081572941895
XGBoost Regressor,38.35541713874928,328.19233798284796,0.9959765225688201,0.7650058126646463
CatBoost Regressor,81.89314457208386,330.34568186878647,0.9816581454877237,0.7619119966048983
Support Vector Regressor,626.4523694262396,696.8481267879035,-0.0733077403050506,-0.059440371600980146
K-Nearest Neighbors Regressor,290.0148497472672,364.72292201910454,0.7699678065715658,0.7097806522648277
Extra Trees Regressor,17.64737830640841,358.7695516693132,0.9991482570639254,0.7191778239681932
