Company Name,Job Title,Salaries Reported,Location,Salary
Mu Sigma,Data Scientist,105,Bangalore,"₹6,48,573/yr"
IBM,Data Scientist,95,Bangalore,"₹11,91,950/yr"
Tata Consultancy Services,Data Scientist,66,Bangalore,"₹8,36,874/yr"
Impact Analytics,Data Scientist,40,Bangalore,"₹6,69,578/yr"
Accenture,Data Scientist,32,Bangalore,"₹9,44,110/yr"
Infosys,Data Scientist,30,Bangalore,"₹9,08,764/yr"
Capgemini,Data Scientist,28,Bangalore,"₹9,26,124/yr"
Cognizant Technology Solutions,Data Scientist,26,Bangalore,"₹7,36,708/yr"
Anheuser-Busch InBev,Data Scientist,25,Bangalore,"₹16,46,721/yr"
Fractal,Data Scientist,22,Bangalore,"₹13,92,960/yr"
Embibe,Data Scientist,20,Bangalore,"₹14,04,773/yr"
Amazon,Data Scientist,19,Bangalore,"₹15,07,343/yr"
Google,Data Scientist,19,Bangalore,"₹15,58,095/yr"
Flipkart,Data Scientist,18,Bangalore,"₹25,57,843/yr"
HP Inc.,Data Scientist,16,Bangalore,"₹15,10,081/yr"
Wipro,Data Scientist,15,Bangalore,"₹7,32,821/yr"
Ericsson-Worldwide,Data Scientist,15,Bangalore,"₹12,21,750/yr"
MiQ,Data Scientist,15,Bangalore,"₹17,39,484/yr"
Deloitte,Data Scientist,14,Bangalore,"₹11,24,939/yr"
Microsoft,Data Scientist,14,Bangalore,"₹16,30,396/yr"
Genpact,Data Scientist,14,Bangalore,"₹10,09,436/yr"
Fresher,Data Scientist,14,Bangalore,"₹5,50,980/yr"
Société Générale,Data Scientist,13,Bangalore,"₹18,70,000/yr"
Flutura,Data Scientist,13,Bangalore,"₹7,58,376/yr"
Fuzzy Logix,Data Scientist,13,Bangalore,"₹15,56,575/yr"
DXC Technology,Data Scientist,12,Bangalore,"₹11,94,327/yr"
Jio,Data Scientist,11,Bangalore,"₹14,70,000/yr"
Honeywell,Data Scientist,10,Bangalore,"₹15,49,942/yr"
Affine,Data Scientist,10,Bangalore,"₹10,09,436/yr"
Philips,Data Scientist,9,Bangalore,"₹15,41,572/yr"
Bharat Light & Power,Data Scientist,9,Bangalore,"₹8,11,182/yr"
Antuit,Data Scientist,9,Bangalore,"₹12,05,874/yr"
Nielsen,Data Scientist,9,Bangalore,"₹7,27,111/yr"
[24]7.ai,Data Scientist,9,Bangalore,"₹19,23,257/yr"
Fidelity Investments,Data Scientist,9,Bangalore,"₹21,43,501/yr"
Myntra,Data Scientist,9,Bangalore,"₹19,26,965/yr"
First Student,Data Scientist,9,Bangalore,"₹41,271/mo"
Oracle,Data Scientist,8,Bangalore,"₹12,94,984/yr"
Ola,Data Scientist,8,Bangalore,"₹23,34,960/yr"
Walmart Global Tech,Data Scientist,8,Bangalore,"₹22,67,616/yr"
Tredence,Data Scientist,8,Bangalore,"₹13,66,992/yr"
Intel Corporation,Data Scientist,8,Bangalore,"₹14,53,427/yr"
Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,"₹14,58,032/yr"
SAP,Data Scientist,8,Bangalore,"₹17,30,166/yr"
Wipro Technologies,Data Scientist,8,Bangalore,"₹6,58,109/yr"
Thoucentric,Data Scientist,8,Bangalore,"₹7,94,460/yr"
Walmart,Data Scientist,8,Bangalore,"₹25,67,381/yr"
Brillio,Data Scientist,8,Bangalore,"₹16,37,231/yr"
Great Learning,Data Scientist,7,Bangalore,"₹9,00,000/yr"
Gramener,Data Scientist,7,Bangalore,"₹9,02,935/yr"
HCL Technologies,Data Scientist,7,Bangalore,"₹9,70,782/yr"
Happiest Minds Technologies,Data Scientist,7,Bangalore,"₹10,50,000/yr"
Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,"₹21,19,584/yr"
Noodle.ai,Data Scientist,7,Bangalore,"₹16,87,111/yr"
Cisco Systems,Data Scientist,7,Bangalore,"₹14,65,641/yr"
INSOFE,Data Scientist,7,Bangalore,"₹6,00,000/yr"
Optum,Data Scientist,7,Bangalore,"₹18,05,869/yr"
Adobe,Data Scientist,6,Bangalore,"₹26,24,063/yr"
ABB,Data Scientist,6,Bangalore,"₹9,55,297/yr"
EY,Data Scientist,6,Bangalore,"₹7,61,478/yr"
Swiggy,Data Scientist,6,Bangalore,"₹28,05,476/yr"
Subex,Data Scientist,6,Bangalore,"₹9,69,112/yr"
iNeuron,Data Scientist,6,Bangalore,"₹4,50,979/yr"
ZS Associates,Data Scientist,6,Bangalore,"₹13,38,795/yr"
Robert Bosch India,Data Scientist,6,Bangalore,"₹10,40,493/yr"
Scienaptic Systems,Data Scientist,6,Bangalore,"₹12,91,549/yr"
FlyNava Technologies,Data Scientist,6,Bangalore,"₹49,928/mo"
