iter	RMSE	MAE
0	1823.459915	1560.886928
1	1774.946167	1513.061312
2	1727.010281	1465.778159
3	1682.136895	1421.942075
4	1639.26068	1379.693961
5	1598.331414	1339.705606
6	1558.044647	1300.606177
7	1516.985956	1261.159828
8	1479.137812	1224.365249
9	1443.042293	1189.303088
10	1406.60037	1152.491265
11	1371.329883	1118.581612
12	1336.472701	1085.124836
13	1301.98751	1050.06413
14	1269.63011	1017.514686
15	1239.669321	988.6605085
16	1209.882378	958.0528788
17	1179.280402	929.532025
18	1147.267909	901.4240636
19	1118.020626	874.0138924
20	1091.181904	848.3758934
21	1064.486701	822.7731983
22	1040.528633	800.1910843
23	1014.188465	775.9805735
24	987.3449006	752.4453414
25	962.3105695	729.6928492
26	940.9246335	709.6900563
27	917.3841928	688.5021881
28	895.0500672	669.3703822
29	873.853336	650.5510296
30	852.5075926	631.8457695
31	829.9312142	612.6713404
32	810.8481627	595.5639581
33	791.4651126	578.7284324
34	770.641981	561.2151867
35	750.4091039	544.3615793
36	730.9876386	528.3372965
37	713.1885888	513.4868162
38	695.8111985	498.5218063
39	679.530088	484.9611667
40	664.349409	472.244233
41	648.6842132	459.0868488
42	633.6952199	446.6725712
43	618.0681999	434.2449635
44	603.315487	422.4334333
45	589.9991109	411.3261841
46	576.6587669	400.480371
47	563.914742	390.3655687
48	551.4536563	380.5059744
49	540.1213489	371.412875
50	528.6032081	362.2344852
51	517.3276433	353.289693
52	506.6193793	344.9067609
53	496.2261505	336.685426
54	489.2517852	330.5814707
55	480.0345687	323.2430436
56	470.5079786	315.8685456
57	461.3774085	308.8282899
58	452.4645193	301.9306891
59	444.0691763	295.2662821
60	436.0060016	288.9517316
61	427.6339709	282.3444788
62	419.4671314	275.9309257
63	411.5400916	269.6653279
64	404.7378205	264.3494595
65	397.6856493	258.9020872
66	389.1330677	252.8127772
67	381.5790055	247.1167875
68	373.5567569	241.4181665
69	365.8785212	235.9953386
70	358.7827734	230.7742865
71	351.9046663	225.6559623
72	345.1077131	220.790839
73	338.7346595	216.2838709
74	333.0506381	211.9305424
75	327.1485213	207.6216029
76	322.6108732	204.0026147
77	317.172014	199.9886221
78	311.4950351	196.0215874
79	306.3308469	192.2460194
80	301.2711587	188.5532546
81	296.8785087	185.1345289
82	292.4376729	181.7842381
83	288.2682798	178.7087026
84	284.2736404	175.5851798
85	280.3123454	172.5352965
86	276.4432845	169.5881509
87	272.7232492	166.7533875
88	268.3970921	163.859796
89	264.708704	161.2053229
90	260.957548	158.454085
91	257.5917045	155.8588502
92	254.3298242	153.3335946
93	250.8829436	150.7917957
94	246.985697	148.370604
95	243.961982	146.0338326
96	241.0578384	143.9104649
97	238.3599408	141.8927754
98	235.7447885	139.8272461
99	232.9278863	137.7380345
100	230.3097071	135.7369398
101	227.6283822	133.7268041
102	224.5139329	131.6928516
103	222.1933857	129.9512558
104	220.1780785	128.2174917
105	218.0164977	126.628331
106	216.5024095	125.2393138
107	214.4795768	123.8977814
108	211.8833473	122.2886355
109	210.0004309	121.030979
110	207.6739494	119.4934288
111	205.3596862	117.9324071
112	204.7789878	117.1601488
113	203.2339087	115.9830617
114	201.7555556	114.8806588
115	201.2497451	114.2107084
116	200.766405	113.5601639
117	200.306418	112.9387418
118	200.0597505	112.4633637
119	198.1415693	111.1472601
120	196.4182308	110.0484054
121	194.6353063	108.9493903
122	192.5654803	107.7347559
123	191.6302195	107.1205365
124	191.3174585	106.6817315
125	190.9947583	106.2421999
126	190.6055967	105.7877394
127	190.2272599	105.3538305
128	189.9095311	104.887926
129	188.3233319	103.920137
130	187.9558981	103.4759507
131	187.5992391	103.0503487
132	187.2016471	102.5812027
133	186.9015357	102.1995005
134	186.6056702	101.7823588
135	186.2954938	101.4142673
136	185.8351186	100.9727904
137	185.6007263	100.6544612
138	184.5801144	99.97549241
139	183.5494823	99.34451867
140	183.0771872	98.94988247
141	182.6876189	98.57581
142	182.4396398	98.24900405
143	182.0478502	97.88631674
144	181.8330682	97.55593119
145	181.2764487	97.09041681
146	181.0623694	96.78075501
147	180.8667007	96.50297389
148	180.7223785	96.23926827
149	180.1391352	95.82264558
150	179.8881759	95.54807359
151	179.591847	95.2664247
152	179.4418182	95.0306011
153	179.3220769	94.79921287
154	178.3553605	94.25598376
155	177.6405528	93.78478437
156	177.2583098	93.45209383
157	176.8477374	93.09036625
158	176.4815061	92.75040383
159	175.4976182	92.23093673
160	174.5303191	91.72238981
161	174.4234011	91.55034873
162	173.3784803	91.05190025
163	173.129424	90.82503818
164	172.7821583	90.5634216
165	172.540287	90.33546073
166	172.4394233	90.15791273
167	172.2393594	89.92327187
168	171.7115541	89.68166492
169	170.7393175	89.2427633
170	170.5134546	89.04997642
171	170.4383567	88.91014004
172	170.4228762	88.82841504
173	169.2230659	88.1530841
174	167.9647626	87.5964327
175	167.8618856	87.47878048
176	167.1494309	87.14621463
177	167.1125858	87.07055026
178	166.8800315	86.90709581
179	166.610339	86.78607542
180	166.598238	86.71400219
181	166.4106582	86.50201371
182	166.3781737	86.43654972
183	165.6547223	86.10214076
184	165.6169912	86.00644964
185	165.6147029	85.95781773
186	165.5372831	85.82948378
187	165.5218008	85.75121395
188	165.3508522	85.56003612
189	165.3357821	85.49315705
190	164.3873396	85.08690014
191	164.3719551	85.03976449
192	164.19472	84.91715684
193	163.3459684	84.54996818
194	163.2759149	84.44170967
195	163.1975504	84.35369483
196	163.0716498	84.21439223
197	161.7126778	83.62668495
198	161.0900149	83.31926587
199	161.0236575	83.21660157
