iter	Passed	Remaining
0	538	107118
1	782	77490
2	1032	67770
3	1308	64126
4	1558	60770
5	1804	58351
6	2057	56731
7	2316	55605
8	2568	54518
9	2811	53422
10	3069	52747
11	3327	52129
12	3572	51394
13	3816	50701
14	4064	50133
15	4315	49633
16	4557	49061
17	4802	48559
18	5069	48290
19	5321	47894
20	5574	47515
21	5832	47192
22	6095	46912
23	6354	46599
24	6607	46254
25	6852	45860
26	7107	45542
27	7375	45308
28	7629	44990
29	7879	44649
30	8142	44387
31	8393	44066
32	8638	43715
33	8891	43413
34	9157	43170
35	9406	42851
36	9658	42550
37	9905	42226
38	10160	41946
39	10410	41641
40	10661	41344
41	10908	41036
42	11178	40815
43	11428	40520
44	11674	40212
45	11926	39926
46	12183	39660
47	12432	39369
48	12679	39072
49	12928	38784
50	13183	38516
51	13437	38244
52	13681	37946
53	13947	37708
54	14219	37488
55	14460	37184
56	14713	36912
57	14970	36652
58	15254	36456
59	15499	36165
60	15747	35884
61	16007	35630
62	16278	35399
63	16529	35124
64	16779	34849
65	17045	34606
66	17306	34353
67	17553	34075
68	17807	33808
69	18066	33552
70	18329	33303
71	18572	33017
72	18826	32753
73	19084	32495
74	19354	32256
75	19609	31994
76	19861	31726
77	20137	31497
78	20382	31218
79	20638	30958
80	20894	30696
81	21188	30490
82	21438	30219
83	21688	29950
84	21932	29673
85	22204	29433
86	22455	29166
87	22702	28894
88	22952	28626
89	23217	28376
90	23459	28099
91	23715	27839
92	23973	27582
93	24242	27336
94	24527	27109
95	24791	26857
96	25063	26614
97	25344	26379
98	25591	26108
99	25853	25853
100	26106	25589
101	26375	25340
102	26630	25079
103	26887	24819
104	27147	24561
105	27425	24320
106	27677	24055
107	27930	23792
108	28186	23531
109	28454	23281
110	28706	23016
111	28959	22754
112	29216	22493
113	29474	22235
114	29716	21964
115	29965	21699
116	30222	21439
117	30479	21180
118	30725	20913
119	30982	20655
120	31291	20430
121	31599	20202
122	31884	19960
123	32178	19722
124	32490	19494
125	32786	19255
126	33074	19011
127	33331	18748
128	33581	18483
129	33862	18233
130	34118	17970
131	34367	17704
132	34604	17432
133	34869	17174
134	35138	16918
135	35395	16656
136	35642	16390
137	35895	16127
138	36169	15872
139	36423	15610
140	36673	15345
141	36923	15081
142	37175	14818
143	37423	14553
144	37705	14301
145	37991	14051
146	38252	13791
147	38512	13531
148	38760	13267
149	39024	13008
150	39279	12746
151	39535	12484
152	39782	12220
153	40042	11960
154	40299	11699
155	40552	11437
156	40802	11175
157	41069	10917
158	41347	10661
159	41603	10400
160	41854	10138
161	42114	9878
162	42365	9616
163	42620	9355
164	42870	9093
165	43159	8839
166	43450	8586
167	43744	8332
168	44022	8075
169	44284	7814
170	44541	7553
171	44816	7295
172	45070	7034
173	45362	6778
174	45614	6516
175	45870	6255
176	46126	5993
177	46400	5734
178	46641	5471
179	46905	5211
180	47163	4950
181	47427	4690
182	47671	4428
183	47919	4166
184	48166	3905
185	48419	3644
186	48676	3383
187	48928	3123
188	49202	2863
189	49454	2602
190	49700	2341
191	49952	2081
192	50217	1821
193	50470	1560
194	50720	1300
195	50971	1040
196	51248	780
197	51511	520
198	51768	260
199	52019	0
