Year,Country,Song,Artist,Songwriter(s),Running Order,Semi Final Points,Total Points,Location
1956,Switzerland,"""Refrain""",Lys Assia,"Géo Voumard
Émile Gardaz",9,,0,Lugano
1957,Netherlands,"""Net als toen""",Corry Brokken,"Guus Jansen
Willy van Hemert",6,,31,Frankfurt
1958,France,"""Dors, mon amour""",André Claveau,"Hubert Giraud
Pierre Delanoë",3,,27,Hilversum
1959,Netherlands,"""Een beetje""",Teddy Scholten,"Dick Schallies
Willy van Hemert",5,,21,Cannes
1960,France,"""Tom Pillibi""",Jacqueline Boyer,"André Popp
Pierre Cour",13,,32,London
1961,Luxembourg,"""Nous les amoureux""",Jean-Claude Pascal,"Jacques Datin
Maurice Vidalin",14,,31,Cannes
1962,France,"""Un premier amour""",Isabelle Aubret,"Claude-Henri Vic
Roland Valade",9,,26,Luxembourg
1963,Denmark,"""Dansevise""",Grethe and Jørgen Ingmann,"Otto Francker
Sejr Volmer-Sørensen",8,,42,London
1964,Italy,"""Non ho l'età""",Gigliola Cinquetti,"Nicola Salerno
Mario Panzeri",12,,49,Copenhagen
1965,Luxembourg,"""Poupée de cire, poupée de son""",France Gall,Serge Gainsbourg,15,,32,Naples
1966,Austria,"""Merci, Chérie""",Udo Jürgens,"Udo Jürgens
Thomas Hörbiger",9,,31,Luxembourg
1967,United Kingdom,"""Puppet on a String""",Sandie Shaw,"Bill Martin
Phil Coulter",11,,47,Vienna
1968,Spain,"""La, la, la""",Massiel,"Manuel de la Calva
Ramón Arcusa (Dúo Dinámico)",15,,29,London
1969,Spain,"""Vivo cantando""",Salomé,"María José de Cerato
Aniano Alcalde",3,,18,Madrid
1969,United Kingdom,"""Boom Bang-a-Bang""",Lulu,"Alan Moorhouse
Peter Warne",7,,18,
1969,Netherlands,"""De troubadour""",Lenny Kuhr,"David Hartsema
Lenny Kuhr",8,,18,
1969,France,"""Un jour, un enfant""",Frida Boccara,"Émile Stern
Eddy Marnay",14,,18,
1970,Ireland,"""All Kinds of Everything""",Dana,"Derry Lindsay
Jackie Smith",12,,32,Amsterdam
1971,Monaco,"""Un banc, un arbre, une rue""",Séverine,"Jean-Pierre Bourtayre
Yves Dessca",3,,128,Dublin
1972,Luxembourg,"""Après toi""",Vicky Leandros,"Leo Leandros
Klaus Munro
Yves Dessca",17,,128,Edinburgh
1973,Luxembourg,"""Tu te reconnaîtras""",Anne-Marie David,"Claude Morgan
Vline Buggy",11,,129,Luxembourg
1974,Sweden,"""Waterloo""",ABBA,"Benny Andersson
Björn Ulvaeus
Stig Anderson",8,,24,Brighton
1975,Netherlands,"""Ding-a-dong""",Teach-In,"Dick Bakker
Will Luikinga
Eddy Ouwens",1,,152,Stockholm
1976,United Kingdom,"""Save Your Kisses for Me""",Brotherhood of Man,"Tony Hiller
Lee Sheriden
Martin Lee",1,,164,The Hauge
1977,France,"""L'oiseau et l'enfant""",Marie Myriam,"Jean-Paul Cara
Joe Gracy",18,,135,London
