Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator
1,1/6/2023 11:20,Bus ,FTG-001-ABC-121,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,KA11AB1234,Fraud
2,1/7/2023 14:55,Car,FTG-002-XYZ-451,B-102,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",78,KA66CD5678,Fraud
3,1/8/2023 18:25,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,KA88EF9012,Not Fraud
4,1/9/2023 2:05,Truck,FTG-044-LMN-322,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",92,KA11GH3456,Fraud
5,1/10/2023 6:35,Van,FTG-505-DEF-652,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",60,KA44IJ6789,Fraud
6,1/11/2023 10:00,Sedan,FTG-066-GHI-987,A-101,Regular,Medium,160,100,"13.059816123454882, 77.77068662374292",105,KA77KL0123,Fraud
7,1/12/2023 15:40,SUV,FTG-707-JKL-210,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",70,KA22MN4567,Fraud
8,1/13/2023 20:15,Bus ,FTG-088-UVW-543,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",88,KA21OP8901,Fraud
9,1/14/2023 1:55,Car,FTG-909-RST-876,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",45,KA16QR2345,Fraud
10,1/15/2023 7:30,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",72,KA22ST6789,Not Fraud
11,1/16/2023 12:10,Truck,FTG-021-QWE-765,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",58,KA12UV0123,Fraud
12,1/17/2023 17:45,Van,FTG-011-ZXC-431,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",81,KA35WX3454,Fraud
13,1/18/2023 22:20,Sedan,FTG-013-POI-104,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,KA38YZ6785,Fraud
14,1/19/2023 4:00,SUV,FTG-014-KJH-872,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,KA14AB0123,Not Fraud
15,1/20/2023 8:30,Bus ,FTG-055-DCV-543,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",50,KA40CD4557,Fraud
16,1/21/2023 13:10,Car,FTG-066-NBH-210,B-102,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA17EF8801,Fraud
17,1/22/2023 16:45,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",62,KA20GH1345,Not Fraud
18,1/23/2023 22:25,Truck,FTG-088-EYT-654,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",84,KA53IJ5789,Fraud
