,Paper Code,Paper Name,Applied,Appeared,Year
0,AE,Aerospace Engineering,4639,3697,2019
1,AG,Agricultural Engineering,2088,1848,2019
2,AR,Architecture and Planning,11208,9105,2019
3,BT,Biotechnology,11295,9348,2019
4,CE,Civil Engineering,170999,145064,2019
5,CH,Chemical Engineering,18783,15537,2019
6,CS,Computer Science and Information Technology,124984,99932,2019
7,CY,Chemistry,27800,21908,2019
8,EC,Electronics and Communication Engineering,126148,104782,2019
9,EE,Electrical Engineering,132294,112097,2019
10,EY,Ecology and Evolution,1460,1092,2019
11,GG,Geology and Geophysics,7100,5899,2019
12,IN,Instrumentation Engineering,12289,9999,2019
13,MA,Mathematics,13415,10699,2019
14,ME,Mechanical Engineering,198841,167376,2019
15,MN,Mining Engineering,3179,2633,2019
16,MT,Metallurgical Engineering,4456,3644,2019
17,PE,Petroleum Engineering,2428,2035,2019
18,PH,Physics,20216,16296,2019
19,PI,Production and Industrial Engineering,3503,2890,2019
20,ST,Statistics,1890,1460,2019
21,TF,Textile Engineering and Fibre Science,2093,1795,2019
22,XE,Engineering Sciences,4431,3559,2019
23,XL,Life Sciences,22077,17986,2019
24,AE,Aerospace Engineering,5335,4357,2017
25,AG,Agricultural Engineering,1749,1568,2017
26,AR,Architecture and Planning,6661,5607,2017
27,BT,Biotechnology,9361,7722,2017
28,CE,Civil Engineering,147012,129225,2017
29,CH,Chemical Engineering,17329,14542,2017
30,CS,Computer Science and Information Technology,116754,96878,2017
31,CY,Chemistry,18778,15188,2017
32,EC,Electronics and Communication Engineering,171160,141665,2017
33,EE,Electrical Engineering,135426,117443,2017
34,EY,Ecology and Evolution,906,719,2017
35,GG,Geology and Geophysics,6444,5537,2017
36,IN,Instrumentation Engineering,15570,12858,2017
37,MA,Mathematics,8094,6608,2017
38,ME,Mechanical Engineering,217835,190648,2017
39,MN,Mining Engineering,2426,2129,2017
40,MT,Metallurgical Engineering,4167,3494,2017
41,PE,Petroleum Engineering,1964,1622,2017
42,PH,Physics,13442,11190,2017
43,PI,Production and Industrial Engineering,3457,2915,2017
44,TF,Textile Engineering and Fibre Science,1658,1453,2017
45,XP,Engineering Sciences,3783,3169,2017
46,XL,Life Sciences,12886,10611,2017
47,AE,Aerospace Engineering,4418,3770,2016
48,AG,Agricultural Engineering,1595,1424,2016
49,AR,Architecture and Planning,6806,5812,2016
50,BT,Biotechnology,11161,9124,2016
51,CE,Civil Engineering,138147,119873,2016
52,CH,Chemical Engineering,18642,15495,2016
53,CS,Computer Science and Information Technology,131803,108495,2016
54,CY,Chemistry,18434,14966,2016
55,EC,Electronics and Communication Engineering,183152,152318,2016
56,EE,Electrical Engineering,146293,125859,2016
57,EY,Ecology and Evolution,981,727,2016
58,GG,Geology and Geophysics,6864,5776,2016
59,IN,Instrumentation Engineering,18045,14804,2016
60,MA,Mathematics,7917,6305,2016
61,ME,Mechanical Engineering,234727,197789,2016
62,MN,Mining Engineering,2753,2230,2016
63,MT,Metallurgical Engineering,4475,3691,2016
64,PE,Petroleum Engineering,2773,2326,2016
65,PH,Physics,12243,9910,2016
66,PI,Production and Industrial Engineering,4131,3378,2016
67,TF,Textile Engineering and Fibre Science,1587,1406,2016
68,XE,Engineering Sciences,3722,3074,2016
69,XL,Life Sciences,12791,10298,2016
