Country,latest year available,CH4 emissions,CH4 emissions per capita, % change since 1990,N2O emissions,N2O emissions per capita, % change since 1990,
Afghanistan,2005,10.16,0.42,...,5.94,0.24,...,\
Albania,1994,2.14,0.68,...,0.29,0.09,...,
Algeria,2000,32.92,1.06,...,6.50,0.21,...,
Angola,2005,19.93,1.11,...,13.87,0.77,...,
Antigua and Barbuda,2000,0.14,1.83,43.74,0.08,1.08,5197.47,
Argentina,2000,84.85,2.29,10.50,67.50,1.82,30.26,
Armenia,2010,2.26,0.76,-28.66,0.48,0.16,185.46,
Australia,2012,111.71,4.88,-3.02,25.78,1.13,40.43,
Austria,2012,5.31,0.63,-36.32,5.22,0.62,-15.75,
Azerbaijan,1994,9.29,1.21,-38.78,0.66,0.09,-26.30,
Bahamas,1994,0.02,0.08,0.00,0.31,1.12,...,
Bahrain,2000,3.91,7.11,...,0.04,0.07,...,
Bangladesh,2005,39.47,0.28,...,19.11,0.13,...,
Barbados,1997,1.81,6.77,8.78,0.05,0.19,0.00,
Belarus,2012,15.39,1.62,1.14,16.40,1.73,-18.52,
Belgium,2012,6.39,0.58,-33.82,6.99,0.63,-35.86,
Belize,1994,5.57,27.60,...,0.17,0.85,...,
Benin,2000,2.32,0.33,...,2.51,0.36,...,
Bhutan,2000,0.59,1.05,...,0.47,0.82,...,
Bolivia (Plurinational State of),2004,11.97,1.34,28.03,1.39,0.15,140.53,
Bosnia and Herzegovina,2001,2.42,0.64,-45.70,1.46,0.38,-53.32,
Botswana,2000,2.16,1.40,...,2.04,1.32,...,
Brazil,2005,316.28,1.68,34.49,162.78,0.86,45.06,
Bulgaria,2012,7.19,0.98,-56.60,5.24,0.72,-59.79,
Burkina Faso,1994,4.70,0.48,...,0.37,0.04,...,
Burundi,2005,0.53,0.07,...,25.77,3.25,...,
Cabo Verde,2000,0.07,0.16,...,0.09,0.21,...,
Cambodia,1994,7.77,0.75,...,3.67,0.35,...,
Cameroon,1994,17.71,1.31,...,145.25,10.72,...,
Canada,2012,90.56,2.60,25.78,47.73,1.37,-2.92,
Central African Republic,1994,11.88,3.65,...,25.64,7.88,...,
Chad,1993,6.94,1.06,...,0.77,0.12,...,
Chile,2010,11.46,0.67,...,9.70,0.57,...,
China,2005,932.86,0.71,...,394.10,0.30,...,
Colombia,2004,53.87,1.26,21.37,34.38,0.80,39.53,
Comoros,1994,0.06,0.12,...,0.39,0.83,...,
Congo,2000,0.50,0.16,...,0.27,0.09,...,
Cook Islands,1994,0.01,0.58,...,0.04,2.04,...,
Costa Rica,2005,3.53,0.83,11.89,2.59,0.61,1302.52,
Côte d'Ivoire,2000,25.15,1.52,...,185.68,11.24,...,
Croatia,2012,3.42,0.80,-7.41,3.30,0.77,-17.40,
Cuba,1996,6.64,0.61,-37.81,7.04,0.64,-59.67,
Cyprus,2012,1.30,1.15,43.28,0.61,0.54,11.11,
Czech Republic,2012,10.26,0.97,-42.67,7.73,0.73,-42.69,
Democratic People's Republic of Korea,2002,12.62,0.54,-49.11,0.93,0.04,-76.92,
Democratic Republic of the Congo,2003,37.29,0.71,...,6.06,0.12,...,
Denmark,2012,5.52,0.99,-7.26,5.99,1.07,-38.99,
Djibouti,2000,0.28,0.39,...,0.45,0.62,...,
Dominica,2005,0.03,0.46,...,0.03,0.43,...,
Dominican Republic,2000,4.84,0.56,59.11,3.18,0.37,279.36,
Ecuador,2006,17.17,1.23,31.61,201.48,14.42,33.12,
Egypt,2000,39.43,0.58,77.83,24.45,0.36,136.65,
El Salvador,2005,3.36,0.57,...,1.65,0.28,...,
Eritrea,2000,3.00,0.85,...,0.31,0.09,...,
Estonia,2012,0.93,0.70,-44.58,1.01,0.76,-55.03,
Ethiopia,1995,37.44,0.65,-0.45,7.44,0.13,140.00,
Fiji,2004,0.51,0.63,...,0.63,0.77,...,
Finland,2012,4.08,0.75,-33.82,5.18,0.96,-29.94,
France,2012,51.74,0.81,-13.40,57.77,0.91,-36.95,
Gabon,2000,0.71,0.58,...,0.29,0.24,...,
Gambia,2000,0.80,0.65,...,1.10,0.90,...,
Georgia,2006,4.14,0.93,-42.19,2.20,0.50,-8.84,
Germany,2012,48.71,0.61,-55.23,55.80,0.69,-34.60,
Ghana,2006,6.42,0.31,113.56,3.96,0.18,40.77,
Greece,2012,9.71,309.10,-8.53,6.81,0.61,-33.39,
Grenada,1994,1.47,14.79,...,0.00,0.02,...,
Guatemala,1990,4.09,0.45,0.00,6.41,0.70,0.00,
Guinea,1994,3.25,0.43,...,0.23,0.03,...,
Guinea-Bissau,1994,0.67,0.58,...,0.85,0.73,...,
Guyana,2004,1.19,1.60,11.74,0.23,0.31,6.94,
Haiti,2000,3.67,0.43,...,1.57,0.18,...,
Honduras,2000,3.85,0.62,...,2.29,0.37,...,
