Country,CO2 emissions ,% change since 1990,CO2 emissions per capita,CO2 emissions per km2
,mio. tonnes ,%,tonnes,tonnes
Afghanistan,12.25,357.7,0.43,18.77
Albania,4.67,-37.7,1.62,162.38
Algeria,121.76,54.3,3.32,51.12
Andorra,0.49,...,5.97, 1 050.00
Angola,29.71,570.7,1.35,23.83
Anguilla,0.14,...,10.25, 1 571.43
Antigua and Barbuda,0.51,70.7,5.82, 1 161.54
Argentina,190.03,68.7,4.56,68.35
Armenia,4.96,...,1.67,166.81
Aruba,2.44,32.5,23.92, 13 547.78
Australia,398.16,44.2,17.66,51.76
Austria,70.35,13.4,8.35,838.83
Azerbaijan,33.46,...,3.63,386.35
Bahamas,1.91,-2.3,5.2,136.76
Bahrain,23.44,85.1,17.95, 30 943.23
Bangladesh,57.07,267.4,0.37,386.73
Barbados,1.57,45.7,5.58, 3 641.40
Belarus,55.38,-46.7,5.84,266.77
Belgium,104.27,-12.4,9.47, 3 415.58
Belize,0.55,76.5,1.67,23.95
Benin,4.99,597.4,0.51,43.46
Bermuda,0.39,-34.3,6.17, 7 403.77
Bhutan,0.56,337.3,0.77,14.61
Bolivia (Plurinational State of),16.12,191.7,1.6,14.67
Bosnia and Herzegovina,23.75,...,6.2,463.74
Botswana,4.86,122.9,2.32,8.34
Brazil,439.41,110.4,2.19,51.61
British Virgin Islands,0.18,166.7,6.31, 1 165.56
Brunei Darussalam,9.74,56.8,24.39, 1 690.06
Bulgaria,53.2,-33.7,7.23,479.78
Burkina Faso,1.93,229.4,0.12,7.08
Burundi,0.21,-28.8,0.02,7.51
Cabo Verde,0.43,383.4,0.86,105.48
Cambodia,4.5,896.8,0.31,24.83
Cameroon,5.66,225.7,0.27,11.9
Canada,557.29,21.4,16.15,55.81
Cayman Islands,0.58,130.5,10.31, 2 208.71
Central African Republic,0.29,44.4,0.06,0.46
Chad,0.54,267.4,0.04,0.42
Chile,79.41,138.4,4.62,105.02
China,  9 019.52,266.5,6.69,939.83
