Country,latest year available_x,CH4 emissions,CH4 emissions per capita, % change since 1990,N2O emissions,N2O emissions per capita, % change since 1990.1,NOx emissions,% change since 1990_x,NOx emissions per capita,CO2 emissions ,% change since 1990_y,CO2 emissions per capita,CO2 emissions per km2,Total GHG emissions _perc,GHG from Energy_perc,"GHG from Energy 
of which: from Transport_perc",GHG from Industrial Processes_perc,GHG from Agriculture_perc,GHG from Waste_perc,Total GHG emissions _tonnes,GHG from Energy_tonnes,"GHG from Energy 
of which: from Transport_tonnes",GHG from Industrial Processes_tonnes,GHG from Agriculture_tonnes,GHG from Waste_tonnes,Consumption of CFCs_odptonnes,Consumption of all ODS,consumptionof all_odptonnesin 2013,reduction in odp,SO2 emissions,% change since 1990,SO2 emissions per capita
Argentina,2000,84.85,2.29,10.5,67.5,1.82,30.26,675.79,31.1,18.24,190.03,68.7,4.56,68.35,282,46.79,14.27,3.94,44.3,4.97,282,131.96,40.24,11.11,124.92,14.01, 4 697.2, 2 386.0,497.7,79.1,87.62,10.63,2.36
Armenia,2010,2.26,0.76,-28.66,0.48,0.16,185.46,17.21,-77.5,5.81,4.96,0,1.67,166.81,7.2,69.54,17.32,3.14,18.36,8.97,7.2,5.01,1.25,0.23,1.32,0.65,196.5,174.4,4.5,97.4,29.44, 7 448.72,9.93
Australia,2012,111.71,4.88,-3.02,25.78,1.13,40.43, 2 536.45,44.6,110.71,398.16,44.2,17.66,51.76,543.65,76.03,16.59,5.74,16.07,2.16,543.65,413.36,90.21,31.21,87.36,11.72, 14 290.4,389.7,48.3,87.6,797.76,-48.69,34.82
Belarus,2012,15.39,1.62,1.14,16.4,1.73,-18.52,189.92,-43.5,20.01,55.38,-46.7,5.84,266.77,89.28,61.94,8.08,4.79,26.18,7.02,89.28,55.3,7.22,4.27,23.37,6.27, 2 510.9,2.7,7,-159.3,146.86,-86.44,15.47
Bolivia (Plurinational State of),2004,11.97,1.34,28.03,1.39,0.15,140.53,64.92,31.1,7.24,16.12,191.7,1.6,14.67,43.67,20.69,9.79,48.71,26.7,3.9,43.67,9.03,4.27,21.27,11.66,1.7,75.7,67.4,0.4,99.4,12.1,8.42,1.45
Brazil,2005,316.28,1.68,34.49,162.78,0.86,45.06, 3 400.00,35.8,18.04,439.41,110.4,2.19,51.61,862.81,38.11,15.59,8.95,48.19,4.76,862.81,328.79,134.54,77.2,415.77,41.05, 10 525.8, 3 589.4, 1 189.3,66.9,0,0,0
Canada,2012,90.56,2.6,25.78,47.73,1.37,-2.92,0,0,0,557.29,21.4,16.15,55.81,698.63,80.98,27.93,8.08,7.95,2.94,698.63,565.76,195.11,56.46,55.53,20.57, 19 958.2,923.1,65.9,92.9,0,0,0
Colombia,2004,53.87,1.26,21.37,34.38,0.8,39.53,335.16,24.5,7.84,72.42,26.3,1.56,63.43,153.88,42.87,14.15,5.89,44.56,6.68,153.88,65.97,21.77,9.07,68.57,10.28, 2 208.2, 1 002.2,176.7,82.4,142.81,0.71,3.34
Costa Rica,2005,3.53,0.83,11.89,2.59,0.61,1302.52,26.88,-19.7,6.33,7.84,165.4,1.7,153.5,12.11,47.0,32.12,4.1,38.0,10.9,12.11,5.69,3.89,0.5,4.6,1.32,250.2,425.4,12.6,97.0,4.85,0,1.14
Croatia,2012,3.42,0.8,-7.41,3.3,0.77,-17.4,55.19,-40.9,12.87,20.92,-10.4,4.86,369.62,26.45,71.54,21.59,10.78,12.83,4.26,26.45,18.92,5.71,2.85,3.39,1.13,219.3,172.3,0,100.0,25.58,-85.3,5.97
