Country,latest year available_perc,Total GHG emissions _perc,GHG from Energy_perc,"GHG from Energy 
of which: from Transport_perc",GHG from Industrial Processes_perc,GHG from Agriculture_perc,GHG from Waste_perc,Total GHG emissions _tonnes,GHG from Energy_tonnes,"GHG from Energy 
of which: from Transport_tonnes",GHG from Industrial Processes_tonnes,GHG from Agriculture_tonnes,GHG from Waste_tonnes
,,mio. tonnes of CO2 equivalent,%,%,%,%,%,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent
Afghanistan,2005,19.33,19.54,8.75,1.62,78.17,0.67,19.33,3.78,1.69,0.31,15.11,0.13
Albania,1994,5.53,56.11,14.41,3.79,33.96,6.14,5.53,3.1,0.8,0.21,1.88,0.34
Algeria,2000,111.02,78.9,11.52,4.92,5.89,10.29,111.02,87.6,12.79,5.46,6.53,11.43
Angola,2005,61.61,61.24,...,0.57,36.64,1.54,61.61,37.73,...,0.35,22.58,0.95
Antigua and Barbuda,2000,0.6,62.35,30.55,...,17.45,20.19,0.6,0.37,0.18,...,0.1,0.12
Argentina,2000,282,46.79,14.27,3.94,44.3,4.97,282,131.96,40.24,11.11,124.92,14.01
Armenia,2010,7.2,69.54,17.32,3.14,18.36,8.97,7.2,5.01,1.25,0.23,1.32,0.65
Australia,2012,543.65,76.03,16.59,5.74,16.07,2.16,543.65,413.36,90.21,31.21,87.36,11.72
Austria,2012,80.06,74.56,27.02,13.59,9.37,2.07,80.06,59.69,21.64,10.88,7.5,1.66
Azerbaijan,1994,43.17,10.44,...,...,8.53,4.08,43.17,4.51,...,...,3.68,1.76
Bahamas,1994,2.2,84.94,...,...,0.96,...,2.2,1.87,...,...,0.02,...
Bahrain,2000,22.37,77.12,6.79,11.24,...,11.64,22.37,17.25,1.52,2.52,...,2.6
Bangladesh,2005,99.44,38.86,5.53,2.93,43.36,14.85,99.44,38.65,5.5,2.91,43.12,14.77
Barbados,1997,4.06,49.98,6.2,4.22,1.65,44.16,4.06,2.03,0.25,0.17,0.07,1.79
Belarus,2012,89.28,61.94,8.08,4.79,26.18,7.02,89.28,55.3,7.22,4.27,23.37,6.27
Belgium,2012,116.52,81.02,21.41,9.59,7.94,1.29,116.52,94.4,24.95,11.17,9.26,1.51
Belize,1994,6.34,9.58,4.96,0,4.27,86.15,6.34,0.61,0.31,0,0.27,5.46
Benin,2000,6.25,30.09,14.53,...,67.81,2.1,6.25,1.88,0.91,...,4.24,0.13
Bhutan,2000,1.56,17.23,7.59,15.28,64.59,2.9,1.56,0.27,0.12,0.24,1,0.05
