rank;name;country_of_origin;retail_revenue;parent_company_revenue;parent_company_net_income;dominant_operational_format;countries_of_operation;retail_revenue_cagr
1;Wal-Mart Stores, Inc.;US;485873.0;485873.0;14293.0;Hypermarket/Supercenter/Superstore;29;0.017
2;Costco Wholesale Corporation;US;118719.0;118719.0;2376.0;Cash & Carry/Warehouse Club;10;0.06
3;The Kroger Co.;US;115337.0;115337.0;1957.0;Supermarket;1;0.05
4;Schwarz Group;Germany;99256.0;99256.0;;Discount Store;27;0.073
5;Walgreens Boots Alliance, Inc.;US;97058.0;117351.0;4191.0;Drug Store/Pharmacy;10;0.061
6;Amazon.com, Inc.;US;94665.0;135987.0;2371.0;Non-Store;14;0.176
7;The Home Depot, Inc.;US;94595.0;94595.0;7957.0;Home Improvement;4;0.061
8;Aldi Group;Germany;84923.0;84923.0;;Discount Store;17;0.077
9;Carrefour S.A.;France;84131.0;87139.0;989.0;Hypermarket/Supercenter/Superstore;34;-0.011
10;CVS Health Corporation;US;81100.0;177526.0;5319.0;Drug Store/Pharmacy;3;0.064
11;Tesco PLC;UK;72390.0;73724.0;668.0;Hypermarket/Supercenter/Superstore;8;-0.029
12;Aeon Co., Ltd.;Japan;70854.0;75774.0;699.0;Hypermarket/Supercenter/Superstore;11;0.101
13;Target Corporation;US;69495.0;69495.0;2737.0;Discount Department Store;1;0.003
14;Ahold Delhaize (formerly Koninklijke Ahold N.V.);Netherlands;68950.0;68950.0;1192.0;Supermarket;11;0.155
15;Lowe's Companies, Inc.;US;65017.0;65017.0;3093.0;Home Improvement;3;0.053
16;Metro Ag;Germany;64863.0;64863.0;729.0;Cash & Carry/Warehouse Club;30;-0.026
17;Albertsons Companies, Inc.;US;59678.0;59678.0;373.0;Supermarket;1;0.74
18;Auchan Holding SA (formerly Groupe Auchan SA);France;57219.0;58429.0;888.0;Hypermarket/Supercenter/Superstore;14;0.035
19;Edeka Group;Germany;53540.0;54867.0;;Supermarket;1;0.025
20;Seven & i Holdings Co., Ltd.;Japan;51385.0;53859.0;1023.0;Convenience/Forecourt Store;20;0.04
21;Wesfarmers Limited;Australia;47690.0;51569.0;2165.0;Supermarket;4;0.046
22;Rewe Group;Germany;44641.0;50482.0;512.0;Supermarket;11;0.018
23;Woolworths Limited;Australia;40773.0;41943.0;1201.0;Supermarket;3;0.001
24;Casino Guichard-Perrachon S.A.;France;39856.0;40456.0;2429.0;Hypermarket/Supercenter/Superstore;27;0.013
25;Centres Distributeurs E. Leclerc;France;39646.0;;;Hypermarket/Supercenter/Superstore;7;0.019
26;Best Buy Co., Inc.;US;39403.0;39403.0;1228.0;Electronics Specialty;4;-0.049
27;The IKEA Group (INGKA Holding B.V.);Netherlands;37982.0;38953.0;4676.0;Other Specialty;48;0.067
28;JD.com, Inc;China;35777.0;39152.0;514.0;Non-Store;1;0.626
29;Publix Super Markets, Inc.;US;34274.0;34274.0;2026.0;Supermarket;1;0.047
30;Loblaw Companies Limited;Canada;34235.0;34990.0;747.0;Hypermarket/Supercenter/Superstore;6;0.081
31;J Sainsbury plc;UK;34048.0;34575.0;497.0;Hypermarket/Supercenter/Superstore;2;0.03
32;The TJX Companies, Inc.;US;33184.0;33184.0;2298.0;Apparel/Footwear Specialty;10;0.074
33;ITM Développement International (Intermarché);France;30774.0;44469.0;;Supermarket;4;0.009
34;Apple Inc. / Apple Retail Stores;US;28600.0;215639.0;45687.0;Electronics Specialty;22;0.151
35;LVMH Moët Hennessy-Louis Vuitton S.A.;France;26904.0;41593.0;4826.0;Other Specialty;80;0.103
36;Rite Aid Corporation;US;26817.0;32845.0;4.0;Drug Store/Pharmacy;1;0.005
37;Macy's, Inc.;US;25778.0;25778.0;611.0;Department Store;4;-0.005
