Interest in Large Language Model by Region throughout 2023,,,,,,Sourced from Google Trends Searches,,,,,Data is created by cumulating interest throughout periods of a month,
,,,,,,,,,,,"If data includes numbers from other months, will be included in other months instead. (i.e. if data runs from November 26th to December 4th, the data will be counted for December)",
Month:,January,February,March,April,May,June,July,August,September,October,November,December
Regions:,,,,,,,,,,,,
WorldWide,0,0,0,27,51,158,149,260,312,280,303,386
China,0,7,0,46,35,73,161,303,214,217,277,234
Singapore,6,0,5,33,69,120,218,205,324,237,320,328
South Korea,3,0,0,17,25,30,153,163,252,238,313,307
Japan,1,0,1,10,44,123,239,242,338,326,351,366
United States,0,0,0,28,65,181,193,242,310,279,294,369
,,,,,,,,,,,,
"Max interest a month is four hundred, because each month has a period of four.",,,,,,,,,,,,
