color,start time,start date,end time,end date,duration
Amber,5:15,12-Apr-98,8:00,12-Apr-98,02 45
Amber,21:15,26-Apr-98,21:50,26-Apr-98,00 35
Red,21:50,26-Apr-98,4:00,27-Apr-98,06 10
Amber,4:00,27-Apr-98,5:45,27-Apr-98,01 45
Amber,16:20,2-May-98,17:50,2-May-98,01 30
Red,17:50,2-May-98,20:00,2-May-98,02 10
Amber,8:40,15-May-98,13:10,15-May-98,04 30
Amber,8:15,24-May-98,12:45,24-May-98,04 30
Red,12:45,24-May-98,15:45,24-May-98,03 00
Amber,5:00,4-Jun-98,8:15,4-Jun-98,03 15
Amber,19:00,4-Jun-98,22:15,4-Jun-98,03 15
Amber,2:45,9-Jun-98,4:40,9-Jun-98,01 55
Red,4:40,9-Jun-98,6:35,9-Jun-98,01 55
Black,6:35,9-Jun-98,9:50,9-Jun-98,03 15
Red,9:50,9-Jun-98,21:00,9-Jun-98,11 10
Amber,4:00,10-Jun-98,11:30,10-Jun-98,07 30
Amber,5:25,11-Jun-98,8:20,11-Jun-98,02 55
Amber,14:50,23-Jun-98,19:50,23-Jun-98,05 00
Amber,16:00,2-Jul-98,18:20,2-Jul-98,02 20
Amber,10:00,3-Jul-98,15:00,3-Jul-98,05 00
Amber,8:00,4-Jul-98,11:15,4-Jul-98,03 15
Amber,17:40,4-Jul-98,20:45,4-Jul-98,03 05
Amber,4:25,13-Jul-98,6:45,13-Jul-98,02 20
Amber,5:40,7-Aug-98,8:30,7-Aug-98,02 50
Amber,15:10,28-Aug-98,17:20,28-Aug-98,02 10
Amber,22:20,30-Aug-98,6:45,31-Aug-98,08 25
Amber,11:45,1-Sep-98,13:30,1-Sep-98,01 45
Amber,15:45,6-Sep-98,17:45,6-Sep-98,02 00
Amber,1:15,12-Apr-99,8:00,12-Apr-99,06 45
Amber,4:40,19-May-99,13:45,19-May-99,09 05
Amber,3:20,7-Jun-99,10:35,7-Jun-99,07 15
Amber,8:40,17-Jun-99,10:30,17-Jun-99,01 50
Amber,11:20,20-Jun-99,13:50,20-Jun-99,02 30
Amber,9:00,21-Jun-99,10:40,21-Jun-99,01 40
Amber,10:30,8-Jul-99,11:45,8-Jul-99,01 15
Amber,11:20,9-Jul-99,13:45,9-Jul-99,02 25
Amber,7:35,4-Aug-99,9:40,4-Aug-99,02 05
Amber,18:25,5-Aug-99,21:30,5-Aug-99,03 05
Amber,5:00,10-Aug-99,7:00,10-Aug-99,02 00
Amber,17:35,11-Aug-99,19:25,11-Aug-99,01 50
Amber,13:55,22-Aug-99,5:25,23-Aug-99,15 30
Red,5:25,23-Aug-99,6:13,23-Aug-99,00 48
Black,6:13,23-Aug-99,12:00,23-Aug-99,05 47
Amber,12:00,23-Aug-99,19:00,23-Aug-99,07 00
Amber,2:05,24-Aug-99,3:00,24-Aug-99,00 55
Red,3:00,24-Aug-99,4:35,24-Aug-99,01 35
Black,4:35,24-Aug-99,10:00,24-Aug-99,05 25
Red,10:00,24-Aug-99,12:00,24-Aug-99,02 00
Amber,3:30,25-Aug-99,4:05,25-Aug-99,00 35
Red,4:05,25-Aug-99,5:45,25-Aug-99,01 40
Amber,5:45,25-Aug-99,16:00,25-Aug-99,10 15
Amber,4:50,16-Sep-99,5:27,16-Sep-99,00 37
Red,5:27,16-Sep-99,18:40,16-Sep-99,13 13
Amber,9:55,26-Sep-99,13:20,26-Sep-99,03 25
Amber,6:30,16-Oct-99,8:35,16-Oct-99,02 05
Amber,22:15,2-Apr-00,24:00:00,2-Apr-00,01 45
Red,0:00,3-Apr-00,5:50,3-Apr-00,05 50
Amber,5:50,3-Apr-00,7:30,3-Apr-00,01 40
Amber,20:05,3-Apr-00,22:30,3-Apr-00,02 25
Amber,3:00,14-Apr-00,5:35,14-Apr-00,02 35
Red,5:35,14-Apr-00,10:55,14-Apr-00,05 20
Amber,10:55,14-Apr-00,14:05,14-Apr-00,03 10
Red,14:05,14-Apr-00,16:20,14-Apr-00,02 15
Amber,23:40,22-Apr-00,1:10,23-Apr-00,01 30
Red,1:10,23-Apr-00,1:50,23-Apr-00,00 40
Black,1:50,23-Apr-00,5:55,23-Apr-00,04 05
Amber,5:55,23-Apr-00,10:15,23-Apr-00,04 20
Amber,16:55,26-Apr-00,20:30,26-Apr-00,03 35
Amber,15:25,28-Apr-00,21:00,28-Apr-00,05 35
Amber,5:40,2-May-00,11:30,2-May-00,05 50
Amber,20:15,2-May-00,22:00,2-May-00,01 45
Amber,12:38,10-May-00,15:30,10-May-00,02 52
Amber,1:10,25-May-00,3:50,25-May-00,02 40
Amber,3:00,12-Jun-00,5:30,12-Jun-00,02 30
Red,5:30,12-Jun-00,6:20,12-Jun-00,00 50
Black,6:20,12-Jun-00,8:50,12-Jun-00,02 30
Amber,8:50,12-Jun-00,9:35,12-Jun-00,00 45
Amber,6:20,18-Jun-00,11:10,18-Jun-00,04 50
Amber,6:40,20-Jun-00,9:15,20-Jun-00,02 35
Amber,5:05,18-Jul-00,13:50,18-Jul-00,08 45
Amber,12:55,19-Jul-00,14:00,19-Jul-00,01 05
Amber,10:40,1-Aug-00,12:00,1-Aug-00,01 20
Amber,5:45,2-Aug-00,10:05,2-Aug-00,04 20
Amber,5:40,3-Aug-00,8:30,3-Aug-00,02 50
Amber,11:15,3-Aug-00,13:30,3-Aug-00,02 15
Amber,7:35,4-Aug-00,11:15,4-Aug-00,03 40
Amber,14:40,4-Aug-00,16:00,4-Aug-00,01 20
Amber,8:35,6-Aug-00,10:50,6-Aug-00,02 15
Amber,0:25,24-Aug-00,1:36,24-Aug-00,01 11
Red,1:36,24-Aug-00,3:05,24-Aug-00,01 29
Black,3:05,24-Aug-00,5:55,24-Aug-00,02 50
Amber,13:50,24-Aug-00,18:30,24-Aug-00,04 40
Amber,11:20,26-Aug-00,14:00,26-Aug-00,02 40
Amber,14:00,27-Aug-00,17:45,27-Aug-00,03 45
Amber,8:25,2-Sep-00,13:45,2-Sep-00,05 20
Amber,13:25,25-Mar-01,15:15,25-Mar-01,01 50
Amber,17:35,9-Apr-01,19:05,9-Apr-01,01 30
Amber,15:35,9-May-01,17:30,9-May-01,01 55
Amber,9:20,18-May-01,14:45,18-May-01,05 25
Amber,17:35,21-May-01,21:00,21-May-01,03 25
Amber,16:05,30-May-01,19:30,30-May-01,03 25
Amber,18:05,5-Jun-01,11:30,6-Jun-01,17 25
Amber,5:00,7-Jun-01,22:05,7-Jun-01,17 05
Amber,4:25,8-Jun-01,8:20,8-Jun-01,03 55
Red,8:20,8-Jun-01,14:15,8-Jun-01,05 55
Amber,14:15,8-Jun-01,16:30,8-Jun-01,02 15
Amber,4:15,9-Jun-01,9:30,9-Jun-01,05 15
Red,9:30,9-Jun-01,13:30,9-Jun-01,04 00
Amber,13:30,9-Jun-01,15:30,9-Jun-01,02 00
Amber,8:20,10-Jun-01,13:30,10-Jun-01,05 10
Amber,7:20,11-Jun-01,10:35,11-Jun-01,03 15
Red,10:35,11-Jun-01,13:30,11-Jun-01,02 55
Amber,13:30,11-Jun-01,15:15,11-Jun-01,01 45
Amber,2:35,12-Jun-01,4:35,12-Jun-01,02 00
Red,4:35,12-Jun-01,6:15,12-Jun-01,01 40
Amber,6:15,12-Jun-01,15:00,12-Jun-01,08 45
Amber,5:35,13-Jun-01,10:30,13-Jun-01,04 55
Amber,20:35,23-Jun-01,6:30,24-Jun-01,09 55
Amber,18:05,25-Jun-01,23:00,25-Jun-01,04 55
Amber,15:00,26-Jun-01,18:15,26-Jun-01,03 15
Amber,8:45,27-Jun-01,14:35,27-Jun-01,05 50
Red,14:35,27-Jun-01,19:55,27-Jun-01,05 20
Amber,19:55,27-Jun-01,22:05,27-Jun-01,02 10
Amber,12:30,6-Jul-01,0:30,7-Jul-01,12 00
Amber,1:30,13-Jul-01,4:15,13-Jul-01,02 45
