Year,Host,World Final Ranking,University,Country,Medal,Percentage Score,num_of_top_100_last_20_year
2020,Russia,1,Nizhny Novgorod State University,Russia,Yes,80,8
2020,Russia,2,Seoul National University,South Korea,Yes,73.33,16
2020,Russia,3,St. Petersburg ITMO University,Russia,Yes,73.33,21
2020,Russia,4,Moscow Institute of Physics and Technology,Russia,Yes,73.33,11
2020,Russia,5,University of Wroclaw,Poland,Yes,73.33,12
2020,Russia,6,University of Cambridge,UK,Yes,73.33,5
2020,Russia,7,Belarusian State University,Belarus,Yes,73.33,18
2020,Russia,8,University of Bucharest,Romania,Yes,66.67,10
2020,Russia,9,Massachusetts Institute of Technology,USA,Yes,66.67,20
2020,Russia,10,Kharkiv National University of Radio Electronics,Ukraine,Yes,66.67,1
2020,Russia,11,University of Illinois at Urbana-Champaign,USA,Yes,66.67,11
2020,Russia,12,National Research University Higher School of Economics,Russia,Yes,60,7
2020,Russia,13,St. Petersburg State University,Russia,No,60,21
2020,Russia,14,University of Warsaw,Poland,No,60,21
2020,Russia,15,Utrecht - Leiden University,Netherlands,No,60,2
2020,Russia,16,Harvard University,USA,No,60,11
2020,Russia,17,University of Central Florida,USA,No,53.33,19
2020,Russia,18,National Taiwan University,Taiwan,No,53.33,19
2020,Russia,19,St. Petersburg Campus of Higher School of Economics,Russia,No,53.33,2
2020,Russia,20,Moscow State University,Russia,No,53.33,21
2020,Russia,21,University of Wisconsin - Madison,USA,No,53.33,19
2020,Russia,22,Universidad de Buenos Aires - FCEN,Argentina,No,53.33,11
2020,Russia,23,Korea University,South Korea,No,53.33,5
2020,Russia,24,"Faculty of Computer Science, Belgrade",Serbia,No,46.67,1
2020,Russia,25,University of British Columbia,Canada,No,46.67,15
2020,Russia,26,University of Latvia,Latvia,No,46.67,6
2020,Russia,27,University of Aizu,Japan,No,46.67,4
2020,Russia,28,Bangladesh University of Engineering and Technology,Bangladesh,No,46.67,17
2020,Russia,29,Amirkabir University of Technology,Iran,No,46.67,9
2020,Russia,30,Indraprastha Institute of Information Technology,India,No,46.67,1
2020,Russia,31,Ecole Polytechnique,France,No,46.67,2
2020,Russia,32,Universitas Indonesia,Indonesia,No,46.67,3
2020,Russia,33,University of Dhaka,Bangladesh,No,40,4
2020,Russia,34,Yonsei University,South Korea,No,40,5
2020,Russia,35,Innopolis University,Russia,No,40,2
2020,Russia,36,Jagiellonian University in Krakow,Poland,No,40,13
2020,Russia,37,Indian Institute of Technology - Bombay,India,No,40,12
2020,Russia,38,Universidad Nacional de Córdoba - FaMAF,Argentina,No,40,9
2020,Russia,39,Saratov State University,Russia,No,40,17
2020,Russia,40,ETH Zürich,Switzerland,No,40,9
2020,Russia,41,Indian Institute of Technology - Delhi,India,No,40,6
2020,Russia,42,Technische Universität München,Germany,No,40,3
2020,Russia,43,Princess Sumaya University for Technology,Jordan,No,40,2
2020,Russia,44,Sharif University of Technology,Iran,No,40,19
2020,Russia,45,Indian Institute of Technology - Kanpur,India,No,40,7
2020,Russia,46,International Institute of Information Technology - Hyderabad,India,No,33.33,9
2020,Russia,47,Universidade de Brasília,Brazil,No,33.33,2
2020,Russia,48,Indian Institute of Technology - Kharagpur,India,No,33.33,3
2020,Russia,49,Kazan (Volga Region) Federal University,Russia,No,33.33,2
2020,Russia,50,Free University of Tbilisi,Georgia,No,33.33,2
2019,Portugal,1,Moscow State University,Russia,Yes,90.91,21
2019,Portugal,2,Massachusetts Institute of Technology,USA,Yes,81.82,20
2019,Portugal,3,The University of Tokyo,Japan,Yes,81.82,18
2019,Portugal,4,University of Warsaw,Poland,Yes,72.73,21
2019,Portugal,5,National Taiwan University,Taiwan,Yes,72.73,19
2019,Portugal,6,University of Wroclaw,Poland,Yes,72.73,12
2019,Portugal,7,Seoul National University,South Korea,Yes,63.64,16
2019,Portugal,8,KimChaek University of Technology,North Korea,Yes,63.64,1
2019,Portugal,9,Sharif University of Technology,Iran,Yes,63.64,19
