State_UT,Year,Primary_Boys,Primary_Girls,Primary_Total,Upper_Primary_Boys,Upper_Primary_Girls,Upper_Primary_Total,Secondary_Boys,Secondary_Girls,Secondary_Total,Higher_Secondary_Boys,Higher_Secondary_Girls,Higher_Secondary_Total
Andaman & Nicobar Islands,2013-14,95.88,91.97,93.93,94.7,88.98,91.83,102.89,97.36,100.16,105.4,96.61,101.28
Andhra Pradesh,2013-14,96.62,96.87,96.74,82.81,84.38,83.57,73.76,76.77,75.2,59.83,60.83,60.3
Arunachal Pradesh,2013-14,129.12,127.77,128.46,112.64,115.27,113.94,88.37,84.89,86.65,65.16,65.38,65.27
Assam,2013-14,111.77,115.16,113.43,87.85,98.69,93.13,65.6,77.2,71.21,31.78,34.27,32.94
Bihar,2013-14,95.03,101.15,97.96,80.6,94.92,87.24,57.66,62.96,60.08,23.33,24.17,23.7
Chandigarh,2013-14,88.42,96.09,91.85,99.93,103.02,101.27,92.08,92.16,92.11,90.5,92.88,91.49
Chhattisgarh,2013-14,104.06,103.93,103.99,100.35,101.1,100.72,96.68,99.32,97.99,58.27,56.16,57.23
Dadra & Nagar Haveli,2013-14,89.5,81.89,85.78,100.76,91.43,96.22,87.79,79.08,83.66,37.77,41.99,39.64
Daman & Diu,2013-14,87.8,89.78,88.69,84.06,90.61,86.97,67.94,82.2,73.88,34.37,64.55,44.36
Delhi,2013-14,108.78,112.95,110.67,117.76,129.5,122.91,102.02,102.86,102.4,98.88,102.3,100.42
Goa,2013-14,104.97,105.32,105.14,106.29,105.16,105.76,110.77,102.14,106.66,68.32,72.36,70.24
Gujarat,2013-14,100.32,102.06,101.13,91.82,89.72,90.86,81.8,65.93,74.5,53.06,43.25,48.51
Haryana,2013-14,96.62,100.57,98.39,91.24,98.01,94.17,88.83,82.92,86.21,72.84,65.43,69.55
Himachal Pradesh,2013-14,99.8,101.27,100.49,101.57,102.04,101.79,122.77,117.53,120.31,96.15,96.11,96.13
Jammu And Kashmir,2013-14,84.03,85.88,84.9,71.64,73.33,72.43,67.82,63.93,65.97,54.47,47.92,51.33
Jharkhand,2013-14,109.57,110.92,110.23,91.7,99.09,95.25,68.67,71.79,70.14,43.91,44.02,43.96
Karnataka,2013-14,101.18,100.73,100.96,91.72,91.91,91.81,76.9,78.15,77.49,16.89,20.03,18.39
Kerala,2013-14,95.68,95.15,95.42,98.35,98.32,98.34,103.83,101.12,102.51,85.96,89.27,87.58
Lakshadweep,2013-14,83.42,77.76,80.59,100.53,94.14,97.09,119.61,135.39,127.61,110.06,80.91,94.66
Madhya Pradesh,2013-14,111.85,111.09,111.49,96.04,105.88,100.67,84.15,82.45,83.35,47.27,41.91,44.76
Maharashtra,2013-14,99.93,99.68,99.81,96.93,96.76,96.69,87.5,83.39,85.58,58.87,58.66,58.77
Manipur,2013-14,145.68,152.81,149.15,111.62,115.08,113.31,84.81,83.78,84.3,65.46,58.91,62.18
Meghalaya,2013-14,132.89,137.89,135.35,102.24,119.99,110.97,67.09,78.61,72.8,19.56,26.41,22.94
Mizoram,2013-14,127.88,123.89,125.96,119.38,118.03,118.72,105.92,107.34,106.62,57.97,61.85,59.88
Nagaland,2013-14,116.66,121.05,118.78,99.06,106.65,102.68,66.33,70.3,68.24,33.65,32.28,32.98
Odisha,2013-14,107.15,104.48,105.84,86.44,85.95,86.2,74.94,74.63,74.79,NR,NR,NR
Pondicherry,2013-14,89.53,95.38,92.29,92.38,98.13,95.08,97.82,104.63,101.01,64.15,84.18,73.5
Punjab,2013-14,104.33,107.2,105.61,94.04,97.03,95.34,87.67,84.74,86.39,72.12,71.37,71.79
Rajasthan,2013-14,102.35,100.6,101.53,86.83,81.94,84.58,85.33,71.02,78.68,60.47,44.51,53.03
