State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Andaman & Nicobar Islands,2013-14,30.4,73.68,89.74,0.0,100.0,97.92,0.0,0.0,100.0,0.0,53.06
Andaman & Nicobar Islands,2014-15,30.94,76.54,92.11,100.0,94.74,100.0,0.0,0.0,100.0,0.0,57.25
Andaman & Nicobar Islands,2015-16,28.44,78.57,92.5,0.0,94.74,100.0,0.0,0.0,100.0,0.0,57.0
Andhra Pradesh,2013-14,12.73,42.72,86.99,45.45,17.07,68.18,73.23,60.0,33.33,19.32,29.57
Andhra Pradesh,2014-15,10.29,44.15,88.46,50.0,62.22,68.38,76.59,70.97,66.67,41.6,28.06
Andhra Pradesh,2015-16,11.47,44.81,89.47,50.0,72.41,69.92,77.08,65.22,75.0,61.43,30.59
Arunachal Pradesh,2013-14,4.32,45.05,90.63,46.51,98.0,89.11,75.0,0.0,52.17,100.0,24.28
Arunachal Pradesh,2014-15,4.06,43.83,95.24,48.78,100.0,89.62,81.58,0.0,62.96,0.0,24.68
Arunachal Pradesh,2015-16,4.06,41.2,94.03,50.0,98.11,86.16,84.62,0.0,71.88,0.0,24.36
Assam,2013-14,1.08,29.12,64.75,18.29,80.48,44.8,56.01,25.89,36.81,16.93,8.85
Assam,2014-15,1.13,30.75,75.0,18.1,82.18,50.5,61.4,33.32,36.97,25.69,9.83
Assam,2015-16,1.18,29.69,78.23,18.09,82.53,53.37,64.06,37.77,37.93,33.62,10.76
Bihar,2013-14,1.42,7.61,35.15,10.79,51.25,14.94,12.25,17.77,30.8,22.5,5.47
Bihar,2014-15,2.29,11.15,28.91,11.65,62.5,15.39,15.14,23.02,46.43,36.74,8.19
Bihar,2015-16,2.37,12.87,29.0,11.64,66.3,17.97,17.07,24.19,54.31,42.08,9.37
Chandigarh,2013-14,54.55,92.31,100.0,0.0,100.0,98.57,0.0,0.0,0.0,0.0,95.83
Chandigarh,2014-15,45.45,93.1,100.0,0.0,100.0,98.55,0.0,0.0,0.0,0.0,95.43
Chandigarh,2015-16,50.0,93.1,100.0,0.0,100.0,95.71,0.0,0.0,0.0,0.0,94.53
Chhattisgarh,2013-14,2.64,36.63,72.35,13.04,39.24,59.14,16.55,17.77,28.2,0.0,9.8
Chhattisgarh,2014-15,3.3,41.44,76.93,14.7,47.39,64.96,20.5,25.11,41.2,14.29,11.88
Chhattisgarh,2015-16,3.02,43.42,79.3,14.72,50.0,65.37,20.86,26.11,45.83,40.0,12.7
Dadra & Nagar Haveli,2013-14,8.84,66.94,100.0,100.0,100.0,100.0,0.0,54.55,91.67,0.0,38.19
Dadra & Nagar Haveli,2014-15,7.39,69.29,100.0,100.0,100.0,100.0,0.0,72.73,100.0,0.0,40.12
Dadra & Nagar Haveli,2015-16,11.86,68.75,100.0,100.0,100.0,100.0,0.0,81.82,100.0,0.0,42.65
Daman & Diu,2013-14,14.55,88.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,61.11
Daman & Diu,2014-15,21.67,80.0,100.0,100.0,100.0,100.0,0.0,92.31,100.0,100.0,66.21
Daman & Diu,2015-16,16.95,100.0,100.0,94.74,100.0,100.0,0.0,92.31,100.0,100.0,64.14
Delhi,2013-14,80.55,91.82,86.61,55.26,65.09,93.82,58.46,0.0,0.0,0.0,81.56
Delhi,2014-15,79.65,92.41,84.91,42.11,63.94,94.38,51.28,0.0,66.67,0.0,81.0
Delhi,2015-16,80.18,93.81,89.69,31.43,75.78,96.54,64.1,0.0,66.67,100.0,83.89
Goa,2013-14,12.02,89.66,100.0,83.33,100.0,99.35,100.0,0.0,0.0,81.58,40.63
Goa,2014-15,13.62,81.82,100.0,83.33,100.0,97.11,99.08,0.0,0.0,92.94,43.51
