State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Andaman & Nicobar Islands,2013-14,82.42,96.05,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,88.86
Andaman & Nicobar Islands,2014-15,80.72,96.3,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,88.89
Andaman & Nicobar Islands,2015-16,82.11,97.62,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,90.1
Andhra Pradesh,2013-14,87.66,93.57,99.32,100.0,67.48,96.19,96.15,97.5,100.0,91.27,90.34
Andhra Pradesh,2014-15,91.08,94.7,100.0,100.0,86.11,97.6,97.11,93.55,83.33,93.21,92.76
Andhra Pradesh,2015-16,91.65,95.62,100.0,100.0,90.23,97.09,97.58,91.3,100.0,95.8,93.5
Arunachal Pradesh,2013-14,19.72,53.59,92.19,79.07,92.0,81.68,81.25,0.0,100.0,100.0,36.35
Arunachal Pradesh,2014-15,21.53,54.96,96.83,82.93,95.92,81.13,92.11,0.0,100.0,0.0,38.6
Arunachal Pradesh,2015-16,22.64,53.87,95.52,84.0,94.34,82.59,87.18,0.0,100.0,100.0,39.54
Assam,2013-14,9.51,51.14,81.15,28.18,87.61,72.54,72.64,43.79,68.73,85.66,19.39
Assam,2014-15,11.5,56.42,90.91,33.0,89.43,76.95,75.75,47.12,59.51,85.54,22.4
Assam,2015-16,12.76,58.5,92.34,34.77,93.6,79.84,83.41,64.22,67.08,87.09,25.55
Bihar,2013-14,4.12,13.04,53.96,16.19,72.5,23.08,29.64,30.6,39.32,60.83,9.96
Bihar,2014-15,13.76,36.32,51.49,34.96,81.82,37.29,33.07,34.88,47.95,64.86,25.22
Bihar,2015-16,22.28,53.42,62.69,47.6,84.78,56.86,41.46,41.06,64.66,68.58,37.78
Chandigarh,2013-14,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2014-15,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chhattisgarh,2013-14,49.75,84.67,98.22,62.85,86.5,93.68,65.82,47.25,84.33,43.48,57.28
Chhattisgarh,2014-15,60.51,88.83,98.92,72.18,89.93,96.02,75.38,55.21,86.54,47.62,66.88
Chhattisgarh,2015-16,66.51,90.56,99.35,76.94,89.82,95.74,81.69,65.58,93.13,80.0,72.66
Dadra & Nagar Haveli,2013-14,93.92,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,96.79
Dadra & Nagar Haveli,2014-15,97.16,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,98.55
Dadra & Nagar Haveli,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
