State/UT,Year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Andaman & Nicobar Islands,2013-14,98.17,98.68,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,98.69
Andaman & Nicobar Islands,2014-15,99.55,98.77,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,99.52
Andaman & Nicobar Islands,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Andhra Pradesh,2013-14,86.89,94.53,99.66,90.91,87.26,98.84,96.02,97.5,100.0,97.52,90.35
Andhra Pradesh,2014-15,91.85,96.07,100.0,100.0,90.0,99.56,97.48,100.0,100.0,98.37,93.74
Andhra Pradesh,2015-16,93.89,97.02,100.0,100.0,91.95,99.66,98.13,100.0,100.0,98.53,95.37
Arunachal Pradesh,2013-14,72.32,89.46,100.0,95.35,94.0,95.54,100.0,0.0,100.0,100.0,79.79
Arunachal Pradesh,2014-15,73.34,89.99,100.0,97.56,89.8,95.28,94.74,0.0,88.89,0.0,80.64
Arunachal Pradesh,2015-16,73.85,90.13,100.0,96.0,96.23,97.77,97.44,0.0,93.75,100.0,81.47
Assam,2013-14,78.32,91.18,95.9,79.55,97.01,93.25,93.46,88.3,88.6,96.22,80.3
Assam,2014-15,81.76,92.63,93.94,83.08,98.19,94.76,94.17,86.78,85.56,96.92,83.36
Assam,2015-16,84.64,93.19,96.37,86.06,97.96,96.36,95.39,89.62,89.34,97.44,86.21
Bihar,2013-14,87.75,98.04,94.31,99.28,95.0,98.1,98.42,96.96,96.42,97.92,92.53
Bihar,2014-15,87.54,98.34,98.39,99.25,97.73,99.07,98.01,98.02,98.27,96.81,92.74
Bihar,2015-16,90.31,98.81,98.72,99.32,98.91,99.56,99.19,98.13,98.85,93.72,94.43
Chandigarh,2013-14,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2014-15,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chhattisgarh,2013-14,95.51,98.32,99.9,94.82,97.05,99.55,96.61,86.71,95.75,86.96,95.47
Chhattisgarh,2014-15,96.95,98.55,99.8,96.95,98.88,99.24,97.48,89.87,97.03,100.0,97.03
Chhattisgarh,2015-16,99.03,98.91,99.82,99.47,100.0,99.81,100.0,91.69,98.62,100.0,99.06
Dadra & Nagar Haveli,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Dadra & Nagar Haveli,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Dadra & Nagar Haveli,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Daman & Diu,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Daman & Diu,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Daman & Diu,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Delhi,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Delhi,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Delhi,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Goa,2013-14,99.61,100.0,100.0,100.0,100.0,100.0,99.55,0.0,0.0,100.0,98.61
Goa,2014-15,99.6,100.0,100.0,100.0,100.0,97.11,98.62,0.0,0.0,100.0,99.23
Goa,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Gujarat,2013-14,99.97,99.99,100.0,99.85,100.0,100.0,100.0,99.92,100.0,99.85,99.97
Gujarat,2014-15,99.74,99.94,100.0,100.0,100.0,100.0,98.67,99.72,100.0,99.87,99.88
Gujarat,2015-16,99.97,99.94,100.0,100.0,100.0,100.0,100.0,99.94,100.0,99.87,99.95
Haryana,2013-14,99.8,100.0,100.0,99.76,100.0,100.0,100.0,0.0,94.87,0.0,99.87
Haryana,2014-15,99.63,100.0,100.0,99.5,100.0,100.0,99.86,0.0,89.58,100.0,99.75
Haryana,2015-16,99.85,100.0,100.0,100.0,99.95,100.0,100.0,0.0,89.13,100.0,99.91
Himachal Pradesh,2013-14,98.95,100.0,100.0,98.24,99.86,100.0,99.4,100.0,100.0,100.0,99.06
Himachal Pradesh,2014-15,98.95,99.87,100.0,98.05,100.0,100.0,99.76,100.0,100.0,100.0,99.08
Himachal Pradesh,2015-16,99.89,100.0,100.0,99.44,100.0,100.0,100.0,100.0,100.0,100.0,99.86
Jammu And Kashmir,2013-14,86.04,92.42,98.8,94.85,97.14,97.48,97.99,94.12,98.69,66.67,89.95
Jammu And Kashmir,2014-15,87.17,92.94,99.8,94.03,98.96,98.33,97.54,96.77,97.88,50.0,90.82
Jammu And Kashmir,2015-16,89.68,93.78,99.59,94.74,96.84,98.07,96.86,97.06,98.33,50.0,92.35
Jharkhand,2013-14,88.72,94.68,97.78,95.12,93.57,96.83,95.65,96.69,96.83,96.61,91.35
Jharkhand,2014-15,89.37,95.12,99.17,95.79,92.44,97.2,96.18,96.37,97.85,96.48,91.93
Jharkhand,2015-16,91.75,95.91,99.2,87.97,93.12,97.36,96.45,97.66,97.85,98.08,93.6
Karnataka,2013-14,99.56,99.92,99.76,99.74,100.0,99.25,100.0,99.69,99.78,94.42,99.54
Karnataka,2014-15,99.75,99.97,99.22,100.0,100.0,99.84,100.0,99.89,99.9,97.87,99.8
Karnataka,2015-16,99.96,99.99,100.0,100.0,100.0,100.0,99.87,99.99,100.0,98.04,99.91
Kerala,2013-14,98.94,99.88,99.85,99.85,99.85,99.9,100.0,0.0,0.0,100.0,99.4
Kerala,2014-15,99.17,99.97,99.93,100.0,99.9,100.0,99.74,99.4,100.0,100.0,99.56
Kerala,2015-16,99.45,99.94,99.79,100.0,99.9,99.83,100.0,99.37,100.0,100.0,99.68
Lakshadweep,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2014-15,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Madhya Pradesh,2013-14,95.78,99.65,99.41,94.61,100.0,99.68,100.0,95.33,97.88,100.0,96.13
Madhya Pradesh,2014-15,95.76,99.77,99.89,94.89,100.0,99.84,100.0,94.8,98.12,100.0,96.23
Madhya Pradesh,2015-16,95.76,99.74,99.95,95.24,100.0,99.93,100.0,96.11,98.71,100.0,96.37
Maharashtra,2013-14,98.94,99.53,99.83,100.0,99.94,99.94,99.86,99.9,99.9,99.82,99.31
