State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Andaman & Nicobar Islands,2013-14,91.58,97.37,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,94.52
Andaman & Nicobar Islands,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Andaman & Nicobar Islands,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Andhra Pradesh,2013-14,53.03,62.58,82.05,45.45,64.11,76.24,60.63,59.26,85.71,73.44,56.88
Andhra Pradesh,2014-15,57.91,76.51,96.0,75.0,93.33,91.43,77.99,80.65,60.0,86.54,65.34
Andhra Pradesh,2015-16,99.58,99.88,98.96,100.0,100.0,99.53,99.91,100.0,100.0,100.0,99.69
Arunachal Pradesh,2013-14,38.24,61.17,89.06,0.0,70.0,82.32,95.45,0.0,0.0,0.0,48.73
Arunachal Pradesh,2014-15,94.13,98.59,100.0,100.0,100.0,99.52,96.43,0.0,100.0,0.0,95.97
Arunachal Pradesh,2015-16,93.55,98.83,98.51,100.0,96.23,99.55,92.86,0.0,100.0,100.0,95.65
Assam,2013-14,60.81,69.66,87.5,51.47,72.69,82.42,67.94,0.0,0.0,0.0,60.17
Assam,2014-15,55.26,69.61,91.34,44.66,75.97,85.63,67.36,48.36,55.96,68.69,54.8
Assam,2015-16,85.83,84.14,90.95,71.07,89.74,88.28,82.8,72.82,73.55,80.21,82.8
Bihar,2013-14,63.04,86.57,85.68,85.61,87.88,86.09,71.0,0.0,0.0,0.0,73.42
Bihar,2014-15,61.95,87.87,89.91,85.77,94.37,90.0,73.76,76.91,77.63,86.59,73.92
Bihar,2015-16,83.78,95.14,94.4,95.44,98.65,97.0,87.56,90.99,94.29,87.46,89.16
