titles,descriptions,genres,links
"Thereafter of an Exiled Magician ~Somehow My Engagement Was Cancelled, and I Was Driven Out, so I Will Stop Living the Tough Aristocrat Life, and Live Leisurely in a Distant, Foreign, Developing Village~","Lain, a reincarnated person, lives his life as an 「Anti-Demon Aristocrat」 who is responsible for defeating demons in the frontier.At the age of 15, his engagement to the princess, a privilege of the Anti-Demon Aristocrats, is supposed to be announced, but he is told to break the engagement and is also stripped of his status as a member of the anti-demon aristocracy.
Casted out not only by his country, but also by his adoptive-father, Lain leaves the royal capital and uses wind magic to fly through the air to a faraway village.
For some reason, Lain decides to live in the village, where only young girls live, and works with the girls to strengthen the village, teach them magic, and enjoy the freedom he has never had before…
Lain has escaped his black environment and is enjoying the slow life, but Lain’s power is affecting the world――!","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/thereafter-of-an-exiled-magician-somehow-my-engagement-was-cancelled-and-i-was-driven-out-so-i-will-stop-living-the-tough-aristocrat-life-and-live-leisurely-in-a-distant-foreign-developing-villa/
Mahoutsukai no Konyakusha (LN),"I who was reincarnated into a world of sword and magic. The revived Demon King, the Hero chosen by the holy sword─────in the middle of that unfolding common fantasy trope, the position bestowed upon me was to be the magician’s fiancée.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/mahoutsukai-no-konyakusha-ln/
Exiled Prince Without Skills: Infinite Growth in a Mysterious Dungeon,"Henry, born in a royal family without skills, is given territory on the border. It’s a grassland full of monsters,, with no people, no resources, and no hope.Disheartened, Henry wanders the grasslands and falls underground through a hole. However, the moment he touches a stone monument there, words echo in his mind.
It is a mysterious dungeon filled with ancient items, traps, and malevolence. If you die inside, you lose your status and have to start over, but that doesn’t matter to Henry’s off-the-charts skill, “Maintain Status”. No matter how many times he dies, he can always grow and start over.
Henry will die again today. All for the sake of developing his territory with dungeon clear rewards.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/exiled-prince-without-skills-infinite-growth-in-a-mysterious-dungeon/
Reincarnation Of The Strongest Sword God,"Starting over once more, he has entered this “living game” again in order to control his own fate.This time, he will not be controlled by others.
 Previously the Level 200 Sword King, he will rise to a higher peak in this life.
 Methods to earn money! Dungeon conquering strategies! Legendary Quests! Equipment drop locations! Undiscovered battle techniques!
 Even the secrets Beta Testers were unknowledgeable of, he knows of them all.
 Massive wars, life advancement, entering Godhood, sword reaching to the peak; a legend of a man becoming a Sword God has begun.","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/reincarnation-of-the-strongest-sword-god/
Hard Work Will Never Betray Me (LN),"A youth whose effort wasn’t rewarded lost his life in a traffic accident, and reincarnated as Eberhard, the eldest son of the House of Margrave Fahrenheit, a leading nobility of the Heiland Empire in another world.Magic and the like existed in the world he reincarnated in, and so did status. When he checked his status, he found that he possessed a unique ability called Perseverance Makes One Stronger, an ability that could make him stronger the more he put in effort. Not rewarded even if he put in effort in his previous life, the youth rejoiced as effort wouldn’t fail him in this life!
And in this life, he was happily spending time with his cute fiance, Lily, and his childhood friend and blacksmith’s daughter, Mayle. However, an evil clutch is approaching and—
The story of a youth who could infinitely grow through making effort starts now!","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/hard-work-will-never-betray-me-ln/
The Protagonists Are Murdered by Me,"Fantasy World Regressor, Reincarnator, Possessor, Traveler, or Predestined. I will hunt down the protagonists that exist in the countless worlds and absorb their abilities.Here lies the protagonist.
The continent’s hope.
The hero who will save the world.
The hero who currently has a hole through his chest!
With the Spirit of Earth, freed the Dwarfs and gained their trust.
Purified the contaminated Forest of Spirits and became the Fairies’ benefactor.
Resealed the Ancient Stone statues found in one of the ruins.
Exterminated the giant sea serpent that emerged from the sea.
Defeated the 47th Demon Lord of the underworld…
“Aside from assaults and murders there were other death related incidents as well as vandalism, arson, and etc…”
“S-spare me…”
Psh!
That was the protagonist.
But now, he has died by my hands.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/the-protagonists-are-murdered-by-me/
Infinite Lucky Emperor,"As a game designer, Xia Ruize loves to play games, but he doesn't like to play games with lottery, because he is too lucky and has less fun.Until one day,
Xia Ruize fell into a real infinite survival game, relying on excellent luck to survive in a desperate situation. He finally realized that being lucky was cool for a while, and being lucky has always been cool!","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/infinite-lucky-emperor/
Starting from the Dragon Tribe,"A boy with abnormal physical prowess, Lu Chen, arrives in the world of the Dragon Clan. Lu Chen is shocked when faced with the enrollment for Cassell College—it's full of beings who have dragon blood! Only he isn't a hybrid... How will he pass the 3E exam? This is the story of a boy who eventually reaches the pinnacle of Cassell College.","['Comedy', 'Fantasy', 'Slice of Life']",https://www.novelupdates.com/series/starting-from-the-dragon-tribe/
Ars Goetia – The Boy Called Incompetent Uses 72 Demons To Become Unstoppable,"“I have decided not to expect anything from you anymore.”One day, Norman is told this by his father and was kicked out of the house.
There was no way around it. Because Norman could not use magic at all.
However, Norman’s fate changes drastically when he encounters the Grimoire “Goetia”.
The Grimoire called “Goetia” was used to summon 72 demons.
The demons summoned by it, however, bring about a shocking revelation to Norman. Yes, there was a reason why Norman could not use magic.
And so, Norman becomes the strongest sorcerer in the world by subduing numerous demons.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/ars-goetia-the-boy-called-incompetent-uses-72-demons-to-become-unstoppable/
The Section Chief Uncle Who’s a Former Transferee to Another World goes to Another World a Second Time,"Souya, the manager of a trading company in a small city, is a 37-year-old office worker who enjoys single life.One day, when he wakes up in a strange meadow, he sees two moons floating in the night sky and regains the memory of being transferred to another world 20 years ago.
An uncle’s adventure in a different world, wearing a business suit, with a low amount of tension, a high level of ability, and a cool but slightly pathetic personality. It’s a different world transition, but it may have an old-fashioned fantasy atmosphere.","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/the-section-chief-uncle-whos-a-former-transferee-to-another-world-goes-to-another-world-a-second-time/
