Name,marketcap,earnings,employeeCount,OperatingMargin,PERatio,Revenue,country
11 bit studios,260017093,8147710,192,4583.07,40.8881,17777847,Poland
Activision Blizzard,58359599104,2972000000,9500,3582.02,23.4717,8297000000,United States
Appirits,30082613,1591300,411,372.253,31,42747761,Japan
Aristocrat,15513627256,778411000,7000,2266.82,14.297,3433941253,Australia
ATARI,49230001,-13476800,26,-6296.3,-3,21404304,France
Bandai Namco,15000869180,855030000,9550,1160.73,35.6736,7366324185,Japan
Blue Hat,8222565,12263800,110,2330.3,11.1765,52627727,China
Bushiroad,328671709,24925400,620,726.75,22.1277,342970528,Japan
Capcom,5055708673,421968000,3152,3963.39,24.0495,1064662967,Japan
CD Projekt,2057000320,56327200,1177,2500.67,6.36025,225248046,Poland
CI Games,66909115,10903800,156,4057.62,36,26872479,Poland
COLOPL,596743590,37798600,1449,1294.53,22.2381,291985856,Japan
Com2uS,774362851,0,0,0,0,0,South Korea
Corsair Gaming,1333690624,64385000,2490,366.796,26.3774,1755337000,United States
CyberAgent,4746530633,997504000,5944,1559.13,13.4583,6397828877,Japan
DeNA,1531443641,305924000,2100,2569.55,5.95023,1190576400,Japan
Digital Bros,360206982,32903700,330,2285.46,9.89804,143969494,Italy
DoubleDown Interactive,554993088,100996000,281,2869.01,7.02525,352024000,United States
Drecom,111495187,15348600,384,1597.09,8.06,96103805,Japan
Electronic Arts,35650101248,1131000000,11000,1617.79,45.9819,6991000000,United States
Embracer Group,9018601030,-175571000,6860,-1087.1,-24.7812,1615036521,Sweden
enish,35977963,1383920,100,340.628,-3.02469,40628336,Japan
Entain,9498365320,634828000,13849,1227.94,12392.8,5169877030,Isle of Man
Focus Home Interactive,252487237,22909400,146,1183.01,14.424,193653454,France
Frontier Developments,608264195,26883400,745,2196.1,2052.81,122414049,United Kingdom
GameStop,9605195776,-368500000,12000,-613.073,-24.3102,6010700000,United States
geechs,74270597,10611300,357,2156.11,18.3684,49215086,Japan
Gravity Co.,367944256,81585000,279,2546.5,7.38494,320380802,South Korea
Gree,1056105392,109218000,1543,1855.12,11.8491,588734186,Japan
gumi,124323251,-34557000,866,-2169.17,8.45283,159310021,Japan
GungHo Online Entertainment,1069958351,294615000,1335,3398.4,7.54077,866924595,Japan
