Menu Category,Menu Items,Per Serve Size,Energy (kCal),Protein (g),Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Total carbohydrate (g),Total Sugars (g),Added Sugars (g),Sodium (mg)
Regular Menu,McVeggie™ Burger,168 g,402.05,10.24,13.83,5.34,0.16,2.49,56.54,7.9,4.49,706.13
Regular Menu,McAloo Tikki Burger®,146 g,339.52,8.5,11.31,4.27,0.2,1.47,50.27,7.05,4.07,545.34
Regular Menu,McSpicy™ Paneer Burger,199 g,652.76,20.29,39.45,17.12,0.18,21.85,52.33,8.35,5.27,1074.58
Regular Menu,Spicy Paneer Wrap,250 g,674.68,20.96,39.1,19.73,0.26,40.93,59.27,3.5,1.08,1087.46
Regular Menu,American Veg Burger,177 g,512.17,15.3,23.45,10.51,0.17,25.24,56.96,7.85,4.76,1051.24
Regular Menu,Veg Maharaja Mac,306 g,832.67,24.17,37.94,16.83,0.28,36.19,93.84,11.52,6.92,1529.22
Regular Menu,Green Chilli Aloo Naan,132 g,356.09,7.91,15.08,6.11,0.24,9.45,46.36,4.53,1.15,579.6
Regular Menu,Pizza Puff,87 g,228.21,5.45,11.44,5.72,0.09,5.17,24.79,2.73,0.35,390.74
Regular Menu,Mc chicken Burger,173 g,400.8,15.66,15.7,5.47,0.16,31.17,47.98,5.53,4.49,766.33
Regular Menu,FILLET-O-FISH Burger,136 g,348.11,15.44,14.16,5.79,0.21,32.83,38.85,5.58,3.54,530.54
Regular Menu,Mc Spicy Chicken Burger,186 g,451.92,21.46,19.36,7.63,0.18,66.04,46.08,5.88,4.49,928.52
Regular Menu,Spicy Chicken Wrap,257 g,567.19,23.74,26.89,12.54,0.27,87.63,57.06,2.52,1.08,1152.38
Regular Menu,Chicken Maharaja Mac,296 g,689.12,34.0,36.69,10.33,0.25,81.49,55.39,8.92,6.14,1854.71
Regular Menu,American Chicken Burger,165 g,446.95,20.29,22.94,7.28,0.15,47.63,38.54,7.48,4.76,1132.3
Regular Menu,Chicken Kebab Burger,138 g,357.05,8.64,14.02,4.84,0.13,1.51,47.9,5.08,3.49,548.79
Regular Menu,Green Chilli Kebab naan,138 g,230.95,5.67,9.32,3.27,0.19,8.74,31.06,3.64,1.15,410.78
Regular Menu,Mc Egg Masala Burger,126.2 g,290.42,12.45,12.27,3.64,0.11,213.09,32.89,4.89,3.64,757.91
Regular Menu,Mc Egg Burger for Happy Meal,123 g,282.98,12.29,12.21,3.63,0.11,213.09,31.32,4.66,3.64,399.41
Regular Menu,Ghee Rice with Mc Spicy Fried Chicken 1 pc,325 g,720.3,26.91,29.2,5.08,0.3,31.32,77.47,3.28,0.35,2399.49
Regular Menu,McSpicy Fried Chicken 1 pc,115 g,248.76,17.33,14.29,2.82,0.06,31.11,12.7,0.58,0.0,873.89
Regular Menu,4 piece Chicken McNuggets,64 g,169.68,10.03,9.54,4.45,0.06,24.66,10.5,0.32,0.0,313.25
Regular Menu,6 piece Chicken McNuggets,96 g,254.52,15.04,14.3,6.68,0.1,36.99,15.74,0.48,0.0,469.87
Regular Menu,9 piece Chicken McNuggets,144 g,381.77,22.56,21.46,10.02,0.14,55.48,23.62,0.72,0.0,704.81
Regular Menu,2 piece Chicken Strips,58 g,164.44,10.17,12.38,11.41,0.06,30.1,2.68,0.29,0.0,477.22
Regular Menu,3 piece Chicken Strips,87 g,246.65,15.26,18.57,17.12,0.09,45.15,4.02,0.44,0.0,715.83
Regular Menu,5 piece Chicken Strips,145 g,411.09,25.43,28.54,0.15,75.26,6.7,0.73,0.72,0.0,1193.05
Regular Menu,Regular Fries,77 g,224.59,3.38,10.39,4.97,0.08,0.77,27.08,0.39,0.0,153.15
Regular Menu,Medium Fries,109 g,317.92,4.79,14.7,7.04,0.11,1.09,38.34,0.55,0.0,216.79
Regular Menu,Large Fries,154 g,449.17,6.76,20.77,9.95,0.15,1.54,54.16,0.77,0.0,306.29
Regular Menu,Regular Wedges,114 g,204.65,3.97,7.15,3.39,0.1,0.97,28.74,0.48,0.0,356.44
Regular Menu,Medium Wedges,156 g,280.05,5.44,9.79,4.64,0.13,1.33,39.33,0.66,0.0,487.76
Regular Menu,Large Wedges,216 g,387.76,7.53,13.55,6.43,0.18,1.84,54.46,0.92,0.0,675.35
Regular Menu,L1 Coffee,200 ml,6.8,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0
Regular Menu,L1 Coffee with milk,205 ml,35.8,1.0,2.0,1.2,0.08,6.0,1.6,3.45,0.0,14.0
Regular Menu,Double Chocochips Muffin,80 g,341.68,5.13,17.28,7.14,0.08,15.96,40.13,29.44,0.0,313.21
Regular Menu,Vanilla Chocochips Muffin,80 g,329.29,4.48,15.46,7.14,0.08,78.52,40.13,29.6,0.0,254.92
Breakfast Menu,Veg McMuffin,119 g,309.35,10.22,11.78,7.29,0.18,25.31,38.86,3.02,0.75,804.63
Breakfast Menu,Double Cheese McMuffin,100 g,273.78,9.58,12.82,8.84,0.21,37.75,29.0,2.59,0.75,622.95
Breakfast Menu,Spicy Egg McMuffin,123.2 g,278.27,11.49,11.81,3.43,0.11,212.61,31.37,2.63,1.05,773.6
Breakfast Menu,Sausage Mc Muffin,112 g,281.44,16.25,10.81,6.04,0.17,53.02,28.62,2.38,0.75,742.6
Breakfast Menu,Sausage Mc Muffin with egg,157 g,290.42,22.46,15.94,8.08,0.22,264.8,28.87,2.61,0.75,804.04
Breakfast Menu,Egg McMuffin,112 g,283.46,14.05,12.31,6.92,0.17,233.3,28.12,2.38,0.75,519.31
Breakfast Menu,Hot Cake with maple syrup,142 g,432.98,8.6,14.02,7.11,0.32,28.14,68.01,25.72,13.5,615.74
Breakfast Menu,Hash Brown,64 g,140.29,1.93,7.32,3.42,0.06,0.64,15.63,0.32,0.0,275.26
Breakfast Menu,Espresso,26.5 ml,12.87,0.52,0.03,0.03,0.03,0.27,2.55,0.13,0.0,0.32
Breakfast Menu,Espresso Machiato,76.5 ml,44.98,2.09,2.02,1.49,0.08,6.27,4.97,2.5,0.0,26.05
Breakfast Menu,Americano (S),276.5 ml,12.87,0.52,0.03,0.03,0.03,0.27,2.55,0.13,0.0,0.32
Breakfast Menu,Americano (R),347.5 ml,23.07,0.94,0.05,0.05,0.05,0.48,4.57,0.24,0.0,0.57
Breakfast Menu,Americano (L),455 ml,26.71,1.09,0.06,0.06,0.06,0.55,5.3,0.28,0.0,0.65
Breakfast Menu,Cappuccino (S),201.5 ml,125.25,6.02,7.01,5.15,0.2,21.27,11.02,8.4,0.0,90.39
Breakfast Menu,Cappuccino (R),297.5 ml,183.61,8.79,10.02,7.37,0.3,30.48,16.67,12.05,0.0,129.24
McCafe Menu,Cappuccino (L),355 ml,219.36,10.51,12.03,8.85,0.36,36.55,19.81,14.45,0.0,155.06
McCafe Menu,Latte (S),236.5 ml,147.72,7.12,8.41,6.18,0.24,25.47,12.71,10.06,0.0,108.4
McCafe Menu,Latte (R),307.5 ml,190.03,9.1,10.42,7.67,0.31,31.68,17.15,12.52,0.0,134.39
McCafe Menu,Latte (L),375 ml,232.2,11.14,12.82,9.43,0.38,38.95,20.77,15.4,0.0,165.36
McCafe Menu,Flat White (S),266.5 ml,166.99,8.06,9.6,7.06,0.27,29.07,14.16,11.47,0.0,123.84
McCafe Menu,Flat White (R),347.5 ml,215.72,10.36,12.02,8.84,0.35,36.48,19.08,14.41,0.0,154.98
McCafe Menu,Flat White (L),405 ml,251.47,12.08,14.02,10.31,0.41,42.55,22.22,16.81,0.0,180.8
McCafe Menu,Mocha (S),242.5 ml,185.85,7.15,8.2,5.94,0.26,24.43,22.59,17.57,6.08,132.84
McCafe Menu,Mocha (R),311.5 ml,244.0,8.99,9.91,7.17,0.34,29.52,31.72,23.56,9.12,168.47
McCafe Menu,Mocha (L),377 ml,302.02,10.88,12.01,8.67,0.41,35.67,40.04,29.96,12.16,209.09
McCafe Menu,Babycino,127 ml,143.5,3.87,4.38,3.08,0.15,12.27,22.85,18.53,9.21,96.44
McCafe Menu,Hot Chocolate (S),223 ml,239.42,6.73,7.77,5.49,0.26,22.03,37.08,30.31,15.29,167.21
McCafe Menu,Hot Chocolate (R),259 ml,296.81,7.7,8.76,6.13,0.32,24.59,48.41,39.24,21.37,207.09
McCafe Menu,Hot Chocolate (L),367 ml,383.29,11.01,12.84,9.09,0.43,36.67,58.43,47.96,24.41,273.35
McCafe Menu,Premium Dark Hot Chocolate,153 ml,214.21,6.15,5.96,4.27,0.15,14.73,33.04,25.73,1.04,68.28
McCafe Menu,Double Dark Hot Chocolate,163 ml,255.78,6.87,6.32,4.49,0.16,14.83,41.29,31.81,1.35,70.26
McCafe Menu,English Breakfast (S),279 ml,9.93,0.56,0.28,0.28,0.28,2.79,0.28,1.4,0.0,13.84
McCafe Menu,English Breakfast (R),330 ml,11.75,0.66,0.33,0.33,0.33,3.3,0.33,1.65,0.0,16.37
McCafe Menu,English Breakfast (L),456 ml,16.23,0.91,0.46,0.46,0.46,4.56,0.46,2.28,0.0,22.62
McCafe Menu,Moroccon Mint Green Tea (S),279 ml,6.25,0.33,0.28,0.28,0.28,2.79,2.79,1.4,0.0,14.95
McCafe Menu,Moroccon Mint Green Tea (R),330 ml,7.39,0.4,0.33,0.33,0.33,3.3,3.3,1.65,0.0,17.69
McCafe Menu,Moroccon Mint Green Tea (L),456 ml,10.21,0.55,0.46,0.46,0.46,4.56,4.56,2.28,0.0,24.44
McCafe Menu,Strawberry Green Tea (S),279 ml,7.03,0.47,0.28,0.28,0.28,2.79,2.79,1.4,0.0,14.54
McCafe Menu,Strawberry Green Tea (R),330 ml,8.32,0.56,0.33,0.33,0.33,3.3,3.3,1.65,0.0,17.19
McCafe Menu,Strawberry Green Tea (L),456 ml,11.49,0.78,0.46,0.46,0.46,4.56,4.56,2.28,0.0,23.76
McCafe Menu,Lemon Ice Tea,245 ml,121.86,0.27,0.17,0.17,0.17,1.65,30.59,26.53,25.6,10.26
McCafe Menu,Strawberry Ice Tea,236.5 ml,94.95,0.24,0.16,0.16,0.16,1.57,24.17,21.1,20.27,9.72
McCafe Menu,Green Apple Ice Tea,236.5 ml,94.94,0.24,0.16,0.16,0.16,1.57,24.17,20.75,19.94,9.61
McCafe Menu,Iced Coffee,291.5 ml,185.34,4.36,4.45,3.26,0.15,12.13,31.88,26.95,17.5,78.35
McCafe Menu,Cold Coffee Frappe,296.5 ml,331.17,4.98,14.73,13.91,0.16,9.18,45.39,35.57,27.51,188.93
McCafe Menu,Mocha Frappe,320.5 ml,397.98,5.49,15.01,14.0,0.2,9.42,60.93,47.55,36.63,233.32
McCafe Menu,Chocolate Oreo Frappe,334 ml,481.11,6.03,18.89,15.91,0.22,9.36,72.51,55.14,44.35,332.6
McCafe Menu,Strawberry Shake,259 ml,255.51,3.67,7.44,6.68,0.12,8.39,44.07,37.42,29.8,139.97
McCafe Menu,Chocolate Shake,259 ml,270.9,4.16,7.7,6.74,0.14,8.39,46.76,37.78,27.88,178.46
