Book,Author(s),Original language,First published,Approximate sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,>200 million[20][circular reporting?],Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200 million[21][22],"Fantasy, Children's fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[23][24],"Fantasy, Children's fiction"
And Then There Were None,Agatha Christie,English,1939,100 million[25],Mystery
Dream of the Red Chamber (???),Cao Xueqin,Chinese,1791,100 million[26][27],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million[28][29][30],"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[31],Adventure
Vardi Wala Gunda (????? ???? ?????),Ved Prakash Sharma,Hindi,1992,>80 million[32][better source needed],Detective
The Da Vinci Code,Dan Brown,English,2003,80 million[33],Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[34],Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[35],Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[35],Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million[35],Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[35],Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[35],Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 million[36][37][obsolete source],Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million[38],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[39],Romance
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[40][41][42],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[43],Novel
Heidi,Johanna Spyri,German,1880,50 million[44],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[45],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[46],Children's novel
Black Beauty,Anna Sewell,English,1877,50 million[47],Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[48],"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50 million[49],"War, thriller"
Watership Down,Richard Adams,English,1972,50 million[50],Fantasy
The Hite Report,Shere Hite,English,1976,50 million[51],Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50 million[52],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[53],Novel
Where the Crawdads Sing,Delia Owens,English,2018,18 million[120],Coming-of-age Murder mystery
Matilda,Roald Dahl,English,1988,17 million[121],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[122],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[123],Young Adult Fiction
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[124],Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[125],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[126],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[127],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[128],Erotica
Guess How Much I Love You,Sam McBratney,English,1994,15 million[129],Erotica
Sh?gun,James Clavell,English,1975,15 million[130],Erotica
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[131],Erotica
