,textDisplay,likeCount,label
0,"hurray for Brics nation, I hope this changes the World Economic Order!",0,0
1,BRICS are modern Axis Powers😂,0,0
2,"As France is asked to remove Troops from Niger,  the implication that the G-7 Groups Colonial exploitation appears to have ended?<br>As Israel provokes every Moslem Nation to condemn them, and the US,  the economic situation that appears to be centered on Military threats to promote trade that is arranged at the G-7 nations terms,  seems to be over?<br>Co-operation appears to work better than Confrontation at a much lower cost?",0,0
3,BE WARNED,0,0
4,"India should kick out from Brics, cause everyone is using yuan, India is using rupee, so what for India doing in brics, wasting brics growing",0,0
5,Lol😊,0,0
6,Hold up... But argentina is poor like.... Why?,0,0
7,Thank you BRICS members for inviting Argentina 🇦🇷 to join in. I look forward to seeing my country cooperate in this world forum in the future.,0,0
8,brics will not be a success story untill India and China comes to a common ground,0,0
9,"Finally. The most maginalized, populations, the poorest, in our planet living in the BRICK countries, for over 300 years. Might get a chance to enjoy, a lil bit of progress",0,0
10,"<a href=""https://www.youtube.com/watch?v=PYulNJjgCGs&amp;t=1m23s"">1:23</a>: ሰይጣን",1,1
11,"Nice to see I hope they all do well, anything has got to be better than the US. I see there is a global push to “ditch the dollar” and it seems to be gaining momentum.",0,0
12,Wooo I can’t believe 6 new countries get to listen to putin’s annual rambles about the west,0,0
13,Argentina?! a heavy hitter for sure<br><br><br><br><br>lmao,0,0
14,"From arch rivals to being in an economic union, Iran and Saudi Arabia got along once ans forever. Congratulations to the rest as well.",0,0
15,"Together they hold the largest reserves of natural energy, resources, manpower, population..etc they are now directly becoming a threat to the UN",0,0
16,wait till America fuks this up somehow jijijiji😅,0,0
17,Iran and Saudi on the same block?,0,0
18,"Sheesh!!! BRICS is GONE!!!!!!! The Oil moneys joined too. My dear Nigerians, why isn&#39;t BALABLU making any move on this. Which nation has suffered the most from Dollarization of their economy?? I expect him to be flying to receive this development rly. At least we can begin to explore large scale trades in Naira subsequently.",0,0
19,Brics vs nato will happen in future,1,1
20,"I think Argentina is a weak link. Argentina must get its hyperinflation under control. The BRICS have a strong national identity, some technological advances, a strong cultural heritage. I think Argentina has none of these.",0,0
21,"Iraq, Sudan, Honduras, Iran, Turkey. BRICS new name is i.s.h.i.t.b.r.i.c.s",0,0
22,USA sweating buckets.,0,0
23,A who&#39;s who of dysfunctional countries and dictatorships.,0,0
24,Nearly all dictatorships…,0,0
25,"BRICS, or how WW3 got started.",0,0
26,I have a feeling their alliance is out of necessity and not amicable nation building and harmony.,0,0
27,It would be better if Indonesia and Mexico was added,0,0
28,"….meanwhile, everyone forgets China is a Communist nation. By definition, they are against Democracy and Capitalism.",0,0
29,Looks like MURICA will increase the budget for the CIA.  More countries needs destabilizing.  😂,0,0
30,Modernized conquer,0,0
31,Sounds like a lot of people are from these countries in the comments,0,0
32,Interesting,0,0
33,"Good luck getting this lot to cooperate, sincerely.",0,0
34,"If india and china solves border dispute,than it will end end western hegemony over world...💪💪💪🇮🇳🇮🇳🇮🇳",3,1
35,If Javier Milei wins the argentinian elections I don&#39;t really think Argentina will be part of this.,1,1
36,Brics making the world a better place.,0,0
37,Is brics apart of WEF?,0,0
38,3ww nato vs brics planet destroyed.,0,0
39,"If it really were about developing economies and making lives of your own citizens better, those countries would get rid of their discriminatory beliefs and would start cooperating with the West as well. But somehow there is a problem and they prefer to keep to countries such as russia which shows only aggression and ways how to destroy your own economy. Its not caring about your people, its political siding with authoritarian regimes... thats what it is",0,0
40,this gets interesting.,0,0
41,BRICS has 2 dictatorships.  Russia and China.,1,1
42,Who’s ready for brics v nato in less than a decade,0,0
43,Now its called BRICSAEEISU,1,1
44,India &amp; Brazil should stay away from this cult group,0,0
45,Founded in 2009 and the BRICS have accomplished NOTHING!,0,0
46,While NATO plans more Invasions 😅,0,0
47,Welcome new members of brics ❤,0,0
48,Congratulation!,0,0
49,Mexico should join,0,0
50,WOW! what an EXTRAORDINARY list of countries with amazing economical achievements😂😂😂😂😂😂,0,0
51,Yes .. Need more new members of in BRICS to throw west..,0,0
52,Good news. Let&#39;s put an end to American and European bullying and political blackmail. The world can do away with countries who have lost their moral compass,2,1
53,"These are all 3rd world countries, and I quote here “trying” to over throw the us dollar. Good luck 😅",0,0
54,"In less than a year, they will all fight one another.",0,0
55,Don&#39;t make the mistakes of G7,0,0
