Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-03,1482.15,1592.9,1482.15,1592.2,25358322,884.15,25.91,4.63,0.95
2000-01-04,1594.4,1641.95,1594.4,1638.7,38787872,1973.69,26.67,4.76,0.92
2000-01-05,1634.55,1635.5,1555.05,1595.8,62153431,3084.79,25.97,4.64,0.95
2000-01-06,1595.8,1639,1595.8,1617.6,51272875,2531.18,26.32,4.7,0.94
2000-01-07,1616.6,1628.25,1597.2,1613.3,54315945,1914.63,26.25,4.69,0.94
2000-01-10,1615.65,1662.1,1614.95,1632.95,45013949,2375.35,26.57,4.74,0.93
2000-01-11,1633.25,1639.9,1548.25,1572.5,49120254,2596.95,25.59,4.57,0.96
2000-01-12,1572.3,1631.55,1571.7,1624.8,38364961,1895,26.44,4.72,0.93
2000-01-13,1627.85,1671.15,1613.65,1621.4,44738447,2237.61,26.38,4.71,0.93
2000-01-14,1622.15,1627.4,1591.4,1622.75,43292009,1979.98,26.41,4.71,0.93
2000-01-17,1623.5,1668.45,1604.65,1611.6,42683260,2161.59,26.22,4.68,0.94
2000-01-18,1611.65,1615.15,1587.85,1606.7,37564199,1787.35,26.15,4.67,0.94
2000-01-19,1610.05,1644.45,1608.85,1634.85,42981295,2162.92,26.6,4.75,0.93
2000-01-20,1634.65,1644.4,1596.65,1601.1,42625471,2016.77,26.05,4.65,0.95
2000-01-21,1601.25,1626.5,1593.2,1620.6,39715905,2012.48,26.37,4.71,0.93
2000-01-24,1623.05,1645,1608.3,1613.6,34726595,1905.45,26.26,4.69,0.94
2000-01-25,1612.95,1613.65,1579.55,1586.4,36881758,1884.76,25.81,4.61,0.95
2000-01-27,1600.5,1633.55,1600.05,1603.9,38102878,1956.9,26.1,4.66,0.94
2000-01-28,1603.65,1610.9,1592.7,1599.1,46563431,2147.53,26.02,4.65,0.95
2000-01-31,1598.35,1598.35,1538.7,1546.2,36153239,1501.04,25.16,4.49,0.98
2000-02-01,1546.2,1554.15,1521.4,1549.5,37161352,1692.07,25.13,4.51,0.98
2000-02-02,1554.2,1605.9,1554.2,1588,39358471,1760.18,25.75,4.62,0.95
2000-02-03,1591.25,1616.7,1591.25,1597.9,40826374,1538.89,25.91,4.65,0.95
2000-02-04,1598.5,1621.35,1596.45,1599.75,30459542,1694.66,25.94,4.65,0.94
2000-02-07,1599.8,1645.9,1599.8,1636.6,34666978,2036.07,26.54,4.76,0.92
2000-02-08,1636.6,1676.1,1636.6,1662.75,40722843,1975.29,26.96,4.83,0.91
2000-02-09,1666.95,1731.65,1666.7,1689.65,41767017,2096,27.4,4.91,0.93
2000-02-10,1692.1,1713.7,1692.1,1711.2,30110126,1664.86,27.75,4.98,0.92
2000-02-11,1712.85,1771.65,1712.85,1756,33406798,1834.58,28.47,5.11,0.9
2000-02-14,1777.75,1795.45,1738.75,1744.5,31621011,1728.72,28.29,5.07,0.9
2000-02-15,1744.5,1744.5,1694.45,1702.55,39135619,2370.94,27.19,4.93,0.92
2000-02-16,1704.85,1742.8,1704.15,1711.1,31314383,1811.4,27.32,4.95,0.92
2000-02-17,1710.05,1753.1,1710.05,1742.1,28333952,1822.56,27.82,5.04,0.9
2000-02-18,1742.3,1764.15,1713.45,1717.8,24491796,1473.39,27.43,4.97,0.9
2000-02-21,1719.55,1767.8,1719.55,1753.5,26015488,1918.38,28,5.08,0.89
