Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-01,,,,1000,,,,,
2000-01-03,,,,1054.81,,,11.4,1.27,2.31
2000-01-04,,,,1092.08,,,11.8,1.32,2.23
2000-01-05,,,,1055.99,,,11.41,1.27,2.31
2000-01-06,,,,1086.67,,,11.74,1.31,2.24
2000-01-07,,,,1126.99,,,12.18,1.36,2.16
2000-01-10,,,,1088.97,,,11.77,1.31,2.24
2000-01-11,,,,1033.55,,,11.17,1.25,2.36
2000-01-12,,,,1036.63,,,11.2,1.25,2.35
2000-01-13,,,,1034.19,,,11.18,1.25,2.36
2000-01-14,,,,1023.41,,,11.06,1.23,2.38
2000-01-17,,,,1035.99,,,11.2,1.25,2.35
2000-01-18,,,,1021.69,,,11.04,1.23,2.38
2000-01-19,,,,1057.89,,,11.43,1.28,2.3
2000-01-20,,,,1046.31,,,11.31,1.26,2.33
2000-01-21,,,,1058.91,,,11.44,1.28,2.3
2000-01-24,,,,1049.82,,,11.35,1.27,2.32
2000-01-25,,,,1061.6,,,11.47,1.28,2.29
2000-01-27,,,,1096.45,,,11.85,1.32,2.22
2000-01-28,,,,1153.35,,,12.46,1.39,2.11
2000-01-31,,,,1148.89,,,12.42,1.39,2.12
2000-02-01,,,,1175.15,,,12.7,1.42,2.07
2000-02-02,,,,1186.97,,,12.83,1.43,2.05
2000-02-03,,,,1185.11,,,12.81,1.43,2.06
2000-02-04,,,,1172.21,,,12.67,1.41,2.08
2000-02-07,,,,1158.08,,,12.52,1.4,2.1
2000-02-08,,,,1150.2,,,12.43,1.39,2.12
2000-02-09,,,,1154.25,,,12.47,1.39,2.11
2000-02-10,,,,1181.48,,,12.77,1.42,2.06
2000-02-11,,,,1156.67,,,12.5,1.39,2.11
2000-02-14,,,,1212.66,,,13.11,1.46,2.01
2000-02-15,,,,1148.1,,,12.41,1.38,2.12
2000-02-16,,,,1167.64,,,12.62,1.41,2.09
2000-02-17,,,,1178.51,,,12.74,1.42,2.07
2000-02-18,,,,1151.56,,,12.45,1.39,2.12
2000-02-21,,,,1142.8,,,12.35,1.38,2.13
2000-02-22,,,,1091.48,,,11.8,1.32,2.23
2000-02-23,,,,1092.85,,,11.81,1.32,2.23
2000-02-24,,,,1103.9,,,11.93,1.33,2.21
2000-02-25,,,,1109.38,,,11.99,1.34,2.2
2000-02-28,,,,1141.18,,,12.33,1.38,2.13
2000-02-29,,,,1075.15,,,11.62,1.3,2.27
2000-03-01,,,,1139.88,,,12.57,1.4,2.1
2000-03-02,,,,1141.08,,,12.58,1.4,2.09
2000-03-03,,,,1124.7,,,12.4,1.38,2.12
2000-03-06,,,,1126.59,,,12.42,1.39,2.12
2000-03-07,,,,1104.42,,,12.17,1.36,2.16
2000-03-08,,,,1057.46,,,11.66,1.3,2.26
2000-03-09,,,,1004.31,,,11.07,1.24,2.38
2000-03-10,,,,987.88,,,10.89,1.22,2.42
2000-03-13,,,,978.64,,,10.79,1.2,2.44
2000-03-14,,,,996.36,,,10.98,1.23,2.4
