Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-03,0,0,0,45015.92,3777566,5584100000,196.98,52.27,0.06
2000-01-04,0,0,0,48221.5,12128996,18186700000,211,55.99,0.06
2000-01-05,0,0,0,46430.77,23400610,31360100000,203.17,53.91,0.06
2000-01-06,0,0,0,44433.55,18408571,23709600000,194.43,51.59,0.06
2000-01-07,0,0,0,41106.21,2762086,2938500000,179.87,47.73,0.07
2000-01-10,0,0,0,41674.89,13774143,19530300000,182.36,48.39,0.07
2000-01-11,0,0,0,38970.78,16998087,22258800000,170.53,45.25,0.07
2000-01-12,0,0,0,40098.4,10883409,14404900000,175.46,46.56,0.07
2000-01-13,0,0,0,38931.1,12781435,17534500000,170.35,45.2,0.07
2000-01-14,0,0,0,38980.62,9556909,12818300000,170.57,45.26,0.07
2000-01-17,0,0,0,39986.65,10126027,14100300000,174.97,46.43,0.07
2000-01-18,0,0,0,40184.89,12234830,16364400000,175.84,46.66,0.07
2000-01-19,0,0,0,42040.8,10672554,15650500000,185.12,49.12,0.06
2000-01-20,0,0,0,42053.87,13386776,17818300000,185.18,49.14,0.06
2000-01-21,0,0,0,44498.92,13927857,18574800000,195.95,51.99,0.06
2000-01-24,0,0,0,45887.72,16584494,22250600000,202.06,53.62,0.06
2000-01-25,0,0,0,47946.4,14813227,20436000000,211.13,56.02,0.06
2000-01-27,0,0,0,50147.75,14419974,19000800000,220.82,58.59,0.05
2000-01-28,0,0,0,52634.75,16063380,21596500000,231.77,61.5,0.05
2000-01-31,0,0,0,50705.62,20932144,25353300000,223.28,59.25,0.05
2000-02-01,0,0,0,52828.84,17715614,22458100000,232.63,61.73,0.05
2000-02-02,0,0,0,55348.61,18820298,23389400000,243.72,64.67,0.05
2000-02-03,0,0,0,57942.12,16284887,19323600000,255.14,67.7,0.05
2000-02-04,0,0,0,61568.98,16505989,23587400000,271.12,71.94,0.04
2000-02-07,0,0,0,62957.54,21872549,32891300000,277.23,73.56,0.04
2000-02-08,0,0,0,61895.17,19727324,28920700000,272.55,72.32,0.04
2000-02-09,0,0,0,63573.28,21415165,30679300000,279.94,74.28,0.04
2000-02-10,0,0,0,67288.59,19238221,28363900000,296.3,78.62,0.04
2000-02-11,0,0,0,71879.95,16920922,25382600000,316.52,83.99,0.04
2000-02-14,0,0,0,75718.95,18276956,27721300000,303.19,82.08,0.06
2000-02-15,0,0,0,77024.37,18302864,31226100000,339.17,90,0.04
2000-02-16,0,0,0,80853.71,14506067,25055500000,356.03,94.47,0.03
2000-02-17,0,0,0,85991.18,18233330,30158100000,378.66,100.48,0.03
2000-02-18,0,0,0,90027.95,18179125,29936100000,396.47,105.2,0.03
2000-02-21,0,0,0,95501.55,15033018,30505200000,420.58,111.6,0.03
2000-02-22,0,0,0,90909.94,18614722,38862500000,400.36,106.23,0.03
2000-02-23,0,0,0,85082.19,18423831,38617900000,340.72,92.24,0.06
2000-02-24,0,0,0,82230.22,15542131,30286900000,329.3,89.15,0.06
2000-02-25,0,0,0,77275.52,10511173,20813700000,309.46,83.78,0.06
2000-02-28,0,0,0,76282.86,14091297,23772800000,305.48,82.7,0.06
2000-02-29,0,0,0,74537.88,21015144,40954400000,298.49,80.81,0.06
2000-03-01,0,0,0,79742.65,10223191,19891000000,319.34,86.45,0.06
2000-03-02,0,0,0,84763.31,9072865,16236700000,339.44,91.9,0.06
2000-03-03,0,0,0,82696.52,15072653,28206300000,331.25,89.68,0.06
2000-03-06,0,0,0,85600.62,9095551,18396300000,342.88,92.83,0.06
2000-03-07,0,0,0,85595.3,13819940,28022500000,342.86,92.82,0.06
2000-03-08,0,0,0,85552.65,18777707,41729800000,342.69,92.78,0.06
2000-03-09,0,0,0,81787.56,15242547,38955600000,327.61,88.69,0.06
2000-03-10,0,0,0,80159.09,11480032,28744900000,321.08,86.93,0.06
2000-03-13,0,0,0,73951.85,8403078,24610000000,296.22,80.2,0.06
2000-03-14,0,0,0,68430.53,10897865,24739200000,274.1,74.21,0.07
2000-03-15,0,0,0,66953.33,17180125,31557800000,268.19,72.61,0.07
2000-03-16,0,0,0,62902.68,14767110,30909500000,251.96,68.21,0.08
2000-03-21,0,0,0,60907.66,13754568,31262000000,243.97,66.05,0.08
2000-03-22,0,0,0,65100.88,13070571,24283000000,260.77,70.6,0.07
2000-03-23,0,0,0,65527.76,15865122,28741700000,262.48,71.06,0.07
2000-03-24,0,0,0,68919.43,15504119,27891000000,276.06,74.74,0.07
2000-03-27,0,0,0,71179.7,13616471,21602800000,285.11,77.19,0.07
2000-03-28,0,0,0,73433.65,16015174,29319500000,294.14,79.63,0.06
2000-03-29,0,0,0,75545.05,16810024,27176300000,302.6,81.92,0.06
2000-03-30,0,0,0,70505.73,12866967,22086800000,282.42,76.46,0.07
2000-03-31,0,0,0,65240.55,8751786,15092400000,261.33,70.75,0.07
2000-04-03,0,0,0,59926.91,5378362,7782200000,240.04,64.99,0.08
2000-04-04,0,0,0,55134.36,494780,524100000,220.84,59.79,0.09
2000-04-05,0,0,0,55011.28,6724624,10028500000,220.35,59.66,0.09
2000-04-06,0,0,0,56163.42,12260874,15885500000,224.97,60.9,0.08
2000-04-07,0,0,0,60041.69,1311800,1409200000,240.5,65.11,0.08
2000-04-10,0,0,0,64845.59,196452,253000000,259.74,70.32,0.07
2000-04-11,0,0,0,66487.4,16273774,25403000000,266.32,72.1,0.07
2000-04-12,0,0,0,65245.86,14313092,23089000000,261.35,70.75,0.07
2000-04-13,0,0,0,60601.7,13197740,19490700000,242.74,65.72,0.08
2000-04-17,0,0,0,55686.03,1033672,802300000,223.05,60.39,0.08
2000-04-18,0,0,0,51763.3,12329328,15601400000,207.34,56.13,0.09
2000-04-19,0,0,0,49136.39,14423128,18961100000,196.82,53.28,0.1
2000-04-20,0,0,0,49885.55,8808326,16410800000,199.82,54.1,0.09
2000-04-24,0,0,0,46967.11,14848814,17292200000,188.13,50.93,0.1
2000-04-25,0,0,0,45762.22,4968402,5875100000,183.3,49.63,0.1
2000-04-26,0,0,0,48441.49,6954691,7249100000,194.04,52.53,0.1
2000-04-27,0,0,0,46733.72,16665453,21130000000,187.19,50.68,0.1
2000-04-28,0,0,0,45085.8,12984936,14345400000,181.37,49.1,0.1
2000-05-02,0,0,0,41133.23,11401426,13915100000,165.47,44.8,0.11
2000-05-03,0,0,0,38226.77,14748171,15882800000,153.78,41.63,0.12
2000-05-04,0,0,0,41810.67,16263564,15396300000,168.19,45.54,0.11
2000-05-05,0,0,0,45327.22,18666885,18183100000,182.34,49.36,0.1
2000-05-08,0,0,0,41238.92,24775224,28948500000,165.89,44.91,0.11
2000-05-09,0,0,0,42959.14,21390598,21837200000,172.81,46.79,0.11
2000-05-10,0,0,0,41331.21,25160629,25373100000,166.27,45.01,0.11
2000-05-11,0,0,0,37791.85,19268124,19552900000,152.03,41.16,0.12
2000-05-12,0,0,0,35637.12,23938676,22480500000,143.36,38.81,0.13
2000-05-15,0,0,0,36380.34,23625034,23197900000,146.35,39.62,0.13
2000-05-16,0,0,0,36396.22,17718954,16567900000,146.41,39.64,0.13
2000-05-17,0,0,0,35809.55,19273347,20062400000,144.06,39,0.13
2000-05-18,0,0,0,34399.63,17162436,16206200000,138.39,37.47,0.14
2000-05-19,0,0,0,33145.67,19253893,20699300000,133.34,36.1,0.14
2000-05-22,0,0,0,30167.05,18316881,15946300000,121.36,32.86,0.16
2000-05-23,0,0,0,30899.56,20202353,17371700000,124.31,33.65,0.15
2000-05-24,0,0,0,30262.56,17099115,16950800000,129.11,35.19,0.15
2000-05-25,0,0,0,29923.74,17921554,18446800000,127.66,34.8,0.15
2000-05-26,0,0,0,27915.01,17097685,16596700000,119.09,32.46,0.16
2000-05-29,0,0,0,27732.46,19328530,19138300000,118.31,32.25,0.16
2000-05-30,0,0,0,29563.77,18592214,17231600000,126.13,34.38,0.15
2000-05-31,0,0,0,32394.06,15521509,13817100000,138.2,37.67,0.14
2000-06-01,0,0,0,31782.65,24297184,22878700000,135.59,36.96,0.14
2000-06-02,0,0,0,34161.14,23421931,25087900000,145.74,39.73,0.13
2000-06-05,0,0,0,36434.08,22584786,26672700000,155.44,42.37,0.12
2000-06-06,0,0,0,38396.37,23202147,25552300000,163.81,44.65,0.11
2000-06-07,0,0,0,38934.6,32295451,35705600000,166.1,45.28,0.11
2000-06-08,0,0,0,39915.46,25968273,32186400000,170.23,46.4,0.11
2000-06-09,0,0,0,39263.44,30353542,33885700000,167.45,45.64,0.11
2000-06-12,0,0,0,38608.15,23907111,23123500000,164.66,44.88,0.11
2000-06-13,0,0,0,38495.35,22277316,23427900000,164.17,44.75,0.11
2000-06-14,0,0,0,39307.35,23859168,26602400000,167.64,45.69,0.11
2000-06-15,0,0,0,41113.61,21252388,30703700000,175.34,47.79,0.11
2000-06-16,0,0,0,43434.81,28268130,35837500000,185.24,50.49,0.1
2000-06-19,0,0,0,44648.77,29543539,36896600000,190.43,51.91,0.1
2000-06-20,0,0,0,45385.41,29561525,36633700000,193.57,52.76,0.1
2000-06-21,0,0,0,42870.73,37962928,41948100000,182.85,49.84,0.1
2000-06-22,0,0,0,43176.34,25645602,30666900000,146.99,43.26,0.12
2000-06-23,0,0,0,41063.2,27396228,29253600000,139.79,41.14,0.12
2000-06-26,0,0,0,41737.45,22441294,22819000000,142.09,41.82,0.12
2000-06-27,0,0,0,41235.94,23359590,26513700000,140.38,41.32,0.12
2000-06-28,0,0,0,42194.73,26716740,23888100000,143.65,42.28,0.12
2000-06-29,0,0,0,42314,28667372,27973300000,144.05,42.4,0.12
2000-06-30,0,0,0,42411.04,26722535,25545000000,144.38,42.49,0.12
2000-07-03,0,0,0,45031.88,22162004,27335800000,153.3,45.12,0.11
2000-07-04,0,0,0,45724.51,24799227,29501300000,155.66,45.81,0.11
2000-07-05,0,0,0,44866.44,24272938,27197400000,152.74,44.95,0.11
2000-07-06,0,0,0,43977.81,18481153,20542600000,149.72,44.06,0.11
2000-07-07,0,0,0,43461.3,17283252,19828900000,147.96,43.55,0.12
2000-07-10,0,0,0,43018.37,16302270,17632300000,146.45,43.1,0.12
2000-07-11,0,0,0,41892.93,19142532,22300100000,142.62,41.97,0.12
2000-07-12,0,0,0,43690.42,22841898,26526500000,148.74,43.77,0.12
