Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2011-07-12,,,,3795.9,36832864,10777300000,13.88,2.18,0.93
2011-07-13,,,,3837.31,26967174,8053100000,14.03,2.21,0.92
2011-07-14,,,,3868.91,29769692,9018400000,14.14,2.22,0.91
2011-07-15,,,,3831.68,18883114,5301400000,14.01,2.2,0.92
2011-07-18,,,,3854.3,22637597,5928800000,14.09,2.22,0.91
2011-07-19,,,,3884.52,19215501,5952000000,14.19,2.23,0.91
2011-07-20,,,,3845.38,16740986,5079000000,14.05,2.21,0.92
2011-07-21,,,,3824.44,12832785,3733900000,13.97,2.2,0.92
2011-07-22,,,,3863.09,24191896,6773100000,14.29,2.22,0.91
2011-07-25,,,,3902.45,21955899,5975500000,14.44,2.24,0.9
2011-07-26,,,,3863.45,20883957,6789300000,14.33,2.22,0.91
2011-07-27,,,,3880.4,26540217,8680300000,14.27,2.23,0.91
2011-07-28,,,,3793.06,33402279,11438100000,13.95,2.18,0.93
2011-07-29,,,,3718.06,31957816,9735300000,13.73,2.14,0.95
2011-08-01,,,,3680.52,37045773,13794500000,13.65,2.12,0.96
2011-08-02,,,,3629.35,29741393,9763300000,13.46,2.09,0.97
2011-08-03,,,,3629.26,31698965,11200200000,13.45,2.09,0.97
2011-08-04,,,,3578.49,31145047,9914900000,13.27,2.06,0.99
2011-08-05,,,,3486.23,54887979,13434300000,12.92,2,1.01
2011-08-08,,,,3361.35,48504566,12890700000,12.45,1.93,1.05
2011-08-09,,,,3264.2,63730457,15140300000,12.09,1.88,1.08
2011-08-10,,,,3316.85,51615067,12417400000,12.29,1.91,1.06
2011-08-11,,,,3317.65,28012515,7815100000,12.29,1.91,1.06
2011-08-12,,,,3278.38,34372214,9273000000,12.15,1.89,1.08
2011-08-16,,,,3217.85,30543324,7750200000,11.92,1.85,1.1
2011-08-17,,,,3241.47,26921500,7689900000,11.16,1.86,1.09
2011-08-18,,,,3150.91,27068761,7085300000,10.84,1.69,1.17
2011-08-19,,,,3141.73,38058560,9622900000,10.8,1.68,1.17
2011-08-22,,,,3202.63,31241259,7539100000,11.01,1.72,1.15
2011-08-23,,,,3220.54,27261078,7254300000,11.07,1.73,1.15
2011-08-24,,,,3144.2,35328426,9488900000,10.81,1.69,1.17
2011-08-25,,,,3083.89,43272998,12258300000,10.6,1.65,1.2
2011-08-26,,,,2972.57,34643302,9815800000,10.22,1.59,1.24
2011-08-29,,,,3107.26,37584593,9831500000,10.68,1.67,1.19
2011-08-30,,,,3226.05,52719760,13105200000,11.09,1.73,1.14
2011-09-02,,,,3325.26,50476211,13708100000,11.43,1.78,1.11
2011-09-05,,,,3321.34,34329214,9678700000,11.42,1.78,1.11
2011-09-06,,,,3354.07,38168961,10360100000,11.53,1.8,1.1
2011-09-07,,,,3423.46,40414753,10276400000,11.77,1.84,1.08
2011-09-08,,,,3391.13,34162184,7985000000,11.66,1.82,1.09
2011-09-09,,,,3275.68,32858401,8221200000,11.26,1.76,1.13
2011-09-12,,,,3161.12,30359912,8353900000,10.87,1.7,1.17
2011-09-13,,,,3168.43,28343101,7269000000,10.9,1.7,1.16
2011-09-14,,,,3222.02,32503425,8232800000,11.08,1.73,1.15
2011-09-15,,,,3236.51,32594426,8614300000,11.13,1.74,1.14
2011-09-16,,,,3242.84,44262773,10521100000,11.15,1.74,1.14
2011-09-19,,,,3207.6,20430759,4871400000,11.04,1.72,1.15
2011-09-20,,,,3268.89,26203213,6703900000,11.25,1.75,1.13
2011-09-21,,,,3261.8,30509062,7564800000,11.23,1.75,1.13
2011-09-22,,,,3126.02,35590210,9477100000,10.76,1.68,1.18
2011-09-23,,,,3056.74,41846578,9797200000,10.52,1.64,1.21
2011-09-26,,,,2977.55,45281823,10290100000,10.25,1.6,1.24
2011-09-27,,,,3052.08,37700048,10143900000,10.51,1.64,1.21
2011-09-28,,,,2996.5,31351371,7678200000,10.32,1.61,1.23
2011-09-29,,,,3006.06,36307494,9180000000,10.35,1.61,1.23
2011-09-30,,,,2921.39,52448999,14481800000,10.06,1.57,1.26
2011-10-03,2877.75,2877.75,2798.5,2804.7,44481268,11592900000,9.66,1.5,1.31
2011-10-04,2789,2835.4,2726.6,2760.45,44854372,10473800000,9.5,1.48,1.34
2011-10-05,2782.1,2808.3,2738.85,2745.3,52547557,10377400000,9.45,1.47,1.34
2011-10-07,2832.5,2895.8,2832.5,2889.55,51353782,11318100000,9.95,1.55,1.28
2011-10-10,2886.45,2951.9,2876.35,2943.7,53634854,12313900000,10.13,1.58,1.25
2011-10-11,2975.45,2999.2,2949.5,2972.85,50649690,11535800000,10.23,1.6,1.24
2011-10-12,2985.95,3046.05,2972.8,3037.75,45338758,11200100000,10.46,1.63,1.21
2011-10-13,3050.75,3051,2996.5,3013.95,40668023,10127000000,10.38,1.62,1.22
2011-10-14,2987.1,2998.3,2943.4,2987.9,44775685,11271600000,10.29,1.6,1.23
2011-10-17,3005.85,3011.1,2958.85,2983.75,32030741,7383000000,10.27,1.6,1.24
2011-10-18,2934.75,2948.2,2909.75,2941.1,36507440,9224400000,10.12,1.58,1.25
2011-10-19,2974.6,2997.15,2971,2988.7,27176294,6634200000,10.32,1.6,1.23
2011-10-20,2955.8,2978.6,2919.65,2972.05,28866092,7593900000,10.26,1.59,1.24
2011-10-21,2984.4,2991.25,2924.15,2932.85,25074601,6283600000,10.12,1.57,1.26
2011-10-24,2976.05,2995.65,2925.95,2942.95,29282263,6549800000,10.28,1.58,1.25
2011-10-25,2962,3014.6,2938.85,3004.8,45334630,9970200000,10.54,1.61,1.23
2011-10-26,3020.7,3031.4,3014.7,3020.6,8243583,1820600000,10.6,1.62,1.22
2011-10-28,3126,3256.45,3126,3220.05,80504838,19305300000,11.44,1.73,1.14
2011-10-31,3214.95,3214.95,3148.9,3157.15,35364930,8658500000,11.22,1.69,1.17
2011-11-01,3130,3132.4,3082.5,3112.65,31191069,6780800000,11.06,1.67,1.18
2011-11-02,3070.35,3129.35,3059.75,3105.2,26277246,6491400000,11.03,1.67,1.19
2011-11-03,3095,3107.05,3052.85,3096.35,36451039,8126900000,11,1.66,1.19
2011-11-04,3135.7,3172.45,3134,3145.85,39621566,10373000000,11.29,1.68,1.17
2011-11-08,3165.55,3172.5,3127.7,3148.75,21167273,5609200000,11.3,1.68,1.17
2011-11-09,3160.1,3174.8,3052.2,3062.8,31232043,8138400000,10.99,1.63,1.2
2011-11-11,3025.55,3025.55,2967.6,2989.7,36762080,8987600000,10.69,1.59,1.23
2011-11-14,3019.5,3028.15,2914.25,2922.55,28401065,7452600000,10.81,1.55,1.27
2011-11-15,2920.45,2944.15,2852.4,2866.4,29917611,7953700000,10.77,1.52,1.29
2011-11-16,2861.6,2910,2809.2,2868.45,37887407,9411900000,10.77,1.52,1.29
2011-11-17,2871.4,2879.5,2793.05,2806.3,37646924,8422000000,10.54,1.49,1.32
2011-11-18,2784.8,2784.8,2728.5,2768.9,45381575,10487900000,10.4,1.47,1.34
2011-11-21,2748.05,2749.15,2661.5,2671.85,33603910,6913200000,10.03,1.42,1.39
2011-11-22,2717.05,2746.85,2679.75,2711.35,36433275,8672800000,10.2,1.46,1.38
2011-11-23,2691.55,2691.55,2621.25,2659,31014047,6900300000,10,1.43,1.4
2011-11-24,2656.65,2675.1,2599.3,2667.4,46238652,9570100000,10.03,1.43,1.4
2011-11-25,2648.8,2662.15,2606.4,2615.2,35168987,7283400000,9.84,1.41,1.43
2011-11-28,2653.1,2754.35,2653.1,2745.2,39058422,8523400000,10.32,1.48,1.36
2011-11-29,2761.8,2764.8,2696.9,2706.8,39580990,8296700000,10.18,1.45,1.34
2011-11-30,2689.55,2722.45,2663.8,2710.3,65074804,9997600000,10.19,1.45,1.34
2011-12-01,2814.2,2867.65,2798.9,2818.9,52206277,10721100000,10.6,1.51,1.28
2011-12-02,2816.9,2907.55,2790.65,2894.05,43811829,9911700000,10.88,1.55,1.25
2011-12-05,2884.65,2894.1,2850.75,2865.3,34789577,7450000000,10.78,1.53,1.26
2011-12-07,2871.95,2900.9,2862,2877.3,45430780,9509700000,10.82,1.54,1.26
2011-12-08,2859.8,2862.7,2776.3,2786.85,44876467,8437100000,10.48,1.49,1.3
2011-12-09,2732.85,2798.4,2709.6,2762.55,45023155,8555000000,10.39,1.48,1.31
2011-12-12,2790.6,2794.45,2643.5,2652.05,45651939,8385000000,9.97,1.42,1.36
2011-12-13,2631.9,2730.85,2618.8,2710.05,51108346,9143500000,10.19,1.45,1.34
2011-12-14,2702,2720.6,2645.95,2652.15,38283506,7551000000,9.97,1.42,1.36
2011-12-15,2616.05,2660.35,2581.55,2652.35,43548979,8775900000,9.98,1.42,1.36
2011-12-16,2662.35,2690,2571.2,2580.3,45571129,8636700000,9.7,1.38,1.4
2011-12-19,2561.5,2566.45,2517.65,2562.3,35604951,6835200000,9.64,1.37,1.41
2011-12-20,2578.8,2582,2462.5,2470.6,40356611,8177400000,9.29,1.32,1.46
2011-12-21,2531.3,2542.1,2491.7,2535.25,41240920,9359200000,9.54,1.35,1.43
2011-12-22,2511.75,2556.1,2481.35,2545.15,39988842,8992100000,9.57,1.36,1.42
2011-12-23,2565.9,2582.1,2516.25,2529.2,35093868,7521100000,9.51,1.35,1.43
