Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2000-01-03,3998.25,4291.15,3998.25,4288.6,7002292,4406400000,39.45,6,0.62
2000-01-04,4298.75,4515.15,4298.75,4488.2,14954843,13608400000,41.29,6.28,0.59
2000-01-05,4495.25,4579.35,4257.75,4291.65,20942962,21272900000,39.48,6,0.62
2000-01-06,4294.75,4377.75,4200.4,4244.3,16377169,13906300000,39.04,5.94,0.62
2000-01-07,4241.85,4241.85,4020.3,4027.8,7166644,4673000000,37.05,5.63,0.66
2000-01-10,4031.25,4056.75,3933.15,3959.7,13307492,9972300000,36.43,5.54,0.67
2000-01-11,3986.35,4097.4,3721.3,3928.75,18670875,14491300000,36.14,5.49,0.67
2000-01-12,3929.9,4109.25,3929.9,4066.1,10672420,8673500000,37.37,5.72,0.66
2000-01-13,4061.2,4117.9,3973.75,3995.05,10127776,8124900000,36.33,5.57,0.67
2000-01-14,3997.9,4019.4,3896.85,3937.4,10186674,7030100000,35.81,5.49,0.68
2000-01-17,3967.1,4056.3,3967.1,4034,11221635,8470500000,36.69,5.62,0.67
2000-01-18,4035.8,4040.4,3946.2,3959,12336920,8764700000,36.01,5.52,0.68
2000-01-19,4004.25,4169.75,4004.25,4158.75,9782259,6839800000,37.82,5.79,0.65
2000-01-20,4159.05,4331.25,4159.05,4252.95,14168513,12548900000,38.68,5.93,0.63
2000-01-21,4253.6,4336.9,4232.65,4325.75,13758457,11088800000,39.34,6.03,0.62
2000-01-24,4341.75,4441.15,4341.75,4378.95,14772185,13457500000,39.83,6.1,0.61
2000-01-25,4381.9,4385.35,4278.75,4328.8,14188580,11607500000,39.37,6.03,0.62
2000-01-27,4330.15,4492.55,4330.15,4364.9,12470300,10632500000,39.83,6.1,0.61
2000-01-28,4362.25,4534.9,4329.6,4509.9,19714921,18534900000,41.15,6.3,0.59
2000-01-31,4506.15,4540.8,4319.25,4351.9,19564683,18081600000,39.71,6.08,0.61
2000-02-01,4353.3,4469.2,4353.3,4432.9,17673586,15588600000,40.19,6.19,0.6
2000-02-02,4447.1,4646.05,4447.1,4574.75,18993014,16495900000,41.48,6.39,0.58
2000-02-03,4592.3,4725.15,4588.25,4715.3,18022630,16568200000,42.75,6.58,0.57
2000-02-04,4717.95,4857.85,4699.1,4719.55,15687310,13521700000,42.79,6.59,0.57
2000-02-07,4719.55,4755.35,4614.55,4679.4,17903417,18778300000,42.43,6.53,0.57
2000-02-08,4681.65,4794.45,4655.05,4679.25,19380442,20310200000,42.43,6.53,0.57
2000-02-09,4688.35,4841.25,4657.25,4684.3,19645997,20386600000,42.47,6.54,0.57
2000-02-10,4676.4,4778.05,4651.7,4755.85,16712905,17852700000,43.12,6.64,0.56
2000-02-11,4758.3,4882.65,4758.1,4785.35,15002649,15502500000,43.39,6.68,0.56
2000-02-14,4787.65,4819,4661.3,4749.35,15947381,17383200000,43.06,6.63,0.56
2000-02-15,4741.8,4761.55,4584.45,4611.8,15980370,15843700000,42.01,6.42,0.58
2000-02-16,4613.65,4796.3,4613.65,4734.7,13729988,14962600000,43.17,6.6,0.56
2000-02-17,4736.1,4893,4736.1,4854.75,18014029,19664300000,44.26,6.76,0.55
2000-02-18,4856.05,4960.1,4825.5,4850.7,16751562,20573000000,44.22,6.76,0.55
2000-02-21,4876.25,5056.8,4876.25,5042.85,14854903,16834800000,45.98,7.03,0.53
2000-02-22,5043.8,5231.65,5043.8,5086.95,16589944,19661400000,46.38,7.09,0.53
2000-02-23,5251.3,5365.9,4886.5,4931.3,15916759,20583800000,44.75,6.86,0.55
2000-02-24,4933.75,5146.8,4887.3,4992.25,13113920,16207300000,45.3,6.95,0.54
