Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-01-01,    14152.10,    14153.10,    13988.70,    14020.60,       39560300,         1429.20
2018-01-02,    14049.75,    14082.85,    13984.55,    14046.50,       39347078,         1412.92
2018-01-03,    14092.90,    14116.90,    14054.80,    14066.65,       35436193,         1310.66
2018-01-04,    14092.75,    14114.10,    14043.35,    14100.15,       41096490,         1042.03
2018-01-05,    14115.90,    14256.65,    14106.55,    14234.20,      110812051,         2525.67
2018-01-08,    14294.40,    14342.40,    14284.30,    14305.80,      126687646,         2217.32
2018-01-09,    14334.55,    14381.80,    14263.65,    14322.75,      135817477,         1993.69
2018-01-10,    14324.30,    14328.25,    14221.60,    14282.40,       65224065,         1493.59
2018-01-11,    14292.85,    14323.55,    14234.15,    14293.45,      107506856,         2432.99
2018-01-12,    14331.90,    14381.50,    14244.90,    14368.20,       89388067,         2106.44
2018-01-15,    14430.65,    14571.85,    14424.10,    14558.60,      166363584,         3436.15
2018-01-16,    14595.45,    14599.90,    14480.40,    14546.15,      132141972,         2783.84
2018-01-17,    14531.45,    14722.20,    14530.35,    14696.10,      108873728,         2979.58
2018-01-18,    14944.85,    15005.85,    14792.15,    14854.60,      155245586,         4959.33
2018-01-19,    14908.80,    15080.95,    14803.80,    15049.90,       92653340,         3055.12
2018-01-22,    15068.45,    15176.25,    15012.85,    15155.15,       88536301,         3486.88
2018-01-23,    15190.85,    15354.55,    15181.75,    15333.85,       96387195,         3324.93
2018-01-24,    15273.20,    15341.30,    15198.70,    15215.70,       72331755,         2161.03
2018-01-25,    15208.45,    15423.10,    15099.95,    15374.50,       85920808,         3309.97
2018-01-29,    15370.15,    15515.35,    15337.60,    15402.65,       65169203,         2440.96
2018-01-30,    15382.80,    15385.40,    15216.20,    15230.65,       62852261,         2133.77
2018-01-31,    15145.40,    15352.90,    15132.25,    15309.25,       72609952,         2632.38
2018-02-01,    15248.60,    15497.45,    15142.65,    15275.35,       93719247,         3710.39
2018-02-02,    15155.30,    15155.45,    14766.20,    14812.70,      101414996,         2843.78
2018-02-05,    14534.55,    14649.95,    14505.85,    14582.40,       83315631,         2701.23
2018-02-06,    14044.90,    14627.10,    13993.75,    14432.20,       98596855,         3252.98
2018-02-07,    14573.30,    14582.20,    14308.85,    14369.65,       76720975,         2508.33
2018-02-08,    14420.45,    14609.55,    14343.95,    14485.55,       55988193,         1718.42
2018-02-09,    14228.20,    14286.35,    14154.25,    14223.55,       49046873,         1788.81
2018-02-12,    14306.45,    14404.45,    14270.55,    14382.25,       51376462,         1550.16
2018-02-14,    14455.75,    14457.90,    14140.85,    14216.00,       55417744,         1876.33
2018-02-15,    14247.45,    14402.80,    14206.55,    14302.50,       79364497,         2554.49
2018-02-16,    14358.10,    14419.50,    14143.95,    14168.60,       72267873,         2113.20
2018-02-19,    14294.40,    14295.50,    14031.10,    14138.75,       69578645,         1819.25
2018-02-20,    14169.80,    14220.20,    13983.70,    14010.70,       57575462,         1618.04
2018-02-21,    14073.85,    14081.90,    13964.55,    14040.25,       51666253,         1849.61
2018-02-22,    13984.10,    14093.45,    13960.30,    14072.80,       93922670,         3393.39
2018-02-23,    14094.80,    14305.75,    14074.10,    14279.90,       56633974,         1616.79
2018-02-26,    14350.70,    14555.90,    14333.20,    14544.80,       46458806,         1582.72
2018-02-27,    14557.25,    14562.35,    14381.90,    14401.65,       47053393,         1591.03
2018-02-28,    14252.30,    14274.20,    14140.30,    14210.05,       56825247,         1838.67
2018-03-01,    14170.10,    14275.90,    14084.95,    14112.35,       54144591,         1917.36
2018-03-05,    14075.15,    14080.15,    13968.15,    14047.20,       53607186,         1782.15
2018-03-06,    14139.35,    14185.95,    13810.10,    13856.80,       62874051,         2360.89
2018-03-07,    13796.90,    13808.90,    13686.45,    13704.55,       87115619,         2686.06
2018-03-08,    13794.85,    13898.35,    13649.40,    13866.45,       94600818,         2674.72
2018-03-09,    13920.30,    13923.35,    13745.10,    13766.25,-0,-0
