Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1931-12-20,-0,-0,-0,5524.05,104233099,3163.68
2018-01-01,-0,-0,-0,     5112.66,-0,-0
2018-01-02,-0,-0,-0,     5099.73,-0,-0
2018-01-03,-0,-0,-0,     5091.04,-0,-0
2018-01-04,-0,-0,-0,     5132.49,-0,-0
2018-01-05,-0,-0,-0,     5125.14,-0,-0
2018-01-08,-0,-0,-0,     5157.37,-0,-0
2018-01-09,-0,-0,-0,     5175.01,-0,-0
2018-01-10,-0,-0,-0,     5178.33,-0,-0
2018-01-11,-0,-0,-0,     5162.45,-0,-0
2018-01-12,-0,-0,-0,     5206.99,-0,-0
2018-01-15,-0,-0,-0,     5176.67,-0,-0
2018-01-16,-0,-0,-0,     5071.44,-0,-0
2018-01-17,-0,-0,-0,     5075.24,-0,-0
2018-01-18,-0,-0,-0,     5013.51,-0,-0
2018-01-19,-0,-0,-0,     5060.15,-0,-0
2018-01-22,-0,-0,-0,     5121.94,-0,-0
2018-01-23,-0,-0,-0,     5206.62,-0,-0
2018-01-24,-0,-0,-0,     5195.10,-0,-0
2018-01-25,-0,-0,-0,     5179.82,-0,-0
2018-01-29,-0,-0,-0,     5140.28,-0,-0
2018-01-30,-0,-0,-0,     5170.52,-0,-0
2018-01-31,-0,-0,-0,     5195.78,-0,-0
2018-02-01,-0,-0,-0,     5130.30,-0,-0
2018-02-02,-0,-0,-0,     4960.25,-0,-0
2018-02-05,-0,-0,-0,     4948.60,-0,-0
2018-02-06,-0,-0,-0,     4882.44,-0,-0
2018-02-07,-0,-0,-0,     4956.09,-0,-0
2018-02-08,-0,-0,-0,     4961.20,-0,-0
2018-02-09,-0,-0,-0,     4923.16,-0,-0
2018-02-12,-0,-0,-0,     4971.14,-0,-0
2018-02-14,-0,-0,-0,     4974.84,-0,-0
2018-02-15,-0,-0,-0,     5014.05,-0,-0
2018-02-16,-0,-0,-0,     4949.08,-0,-0
2018-02-19,-0,-0,-0,     4912.21,-0,-0
2018-02-20,-0,-0,-0,     4908.00,-0,-0
2018-02-21,-0,-0,-0,     4936.56,-0,-0
2018-02-22,-0,-0,-0,     4871.04,-0,-0
2018-02-23,-0,-0,-0,     4916.86,-0,-0
2018-02-26,-0,-0,-0,     4959.22,-0,-0
2018-02-27,-0,-0,-0,     4978.22,-0,-0
2018-02-28,-0,-0,-0,     4975.84,-0,-0
2018-03-01,-0,-0,-0,     4970.24,-0,-0
2018-03-05,-0,-0,-0,     4872.79,-0,-0
2018-03-06,-0,-0,-0,     4857.41,-0,-0
2018-03-07,-0,-0,-0,     4785.50,-0,-0
2018-03-08,-0,-0,-0,     4826.05,-0,-0
2018-03-09,-0,-0,-0,     4815.84,-0,-0
2018-03-12,-0,-0,-0,     4910.49,-0,-0
2018-03-13,-0,-0,-0,     4975.51,-0,-0
2018-03-14,-0,-0,-0,     4931.34,-0,-0
2018-03-15,-0,-0,-0,     4870.19,-0,-0
2018-03-16,-0,-0,-0,     4784.50,-0,-0
2018-03-19,-0,-0,-0,     4716.07,-0,-0
2018-03-20,-0,-0,-0,     4674.38,-0,-0
2018-03-21,-0,-0,-0,     4696.09,-0,-0
2018-03-22,-0,-0,-0,     4697.18,-0,-0
2018-03-23,-0,-0,-0,     4651.23,-0,-0
2018-03-26,-0,-0,-0,     4648.96,-0,-0
2018-03-27,-0,-0,-0,     4688.09,-0,-0
2018-03-28,-0,-0,-0,     4672.47,-0,-0
2018-04-02,-0,-0,-0,     4675.52,-0,-0
2018-04-03,-0,-0,-0,     4705.80,-0,-0
2018-04-04,-0,-0,-0,     4656.14,-0,-0
2018-04-05,-0,-0,-0,     4722.28,-0,-0
2018-04-06,-0,-0,-0,     4757.59,-0,-0
2018-04-09,-0,-0,-0,     4820.96,-0,-0
2018-04-10,-0,-0,-0,     4821.02,-0,-0
2018-04-11,-0,-0,-0,     4745.44,-0,-0
2018-04-12,-0,-0,-0,     4741.34,-0,-0
2018-04-13,-0,-0,-0,     4737.30,-0,-0
2018-04-16,-0,-0,-0,     4730.85,-0,-0
2018-04-17,-0,-0,-0,     4756.15,-0,-0
2018-04-18,-0,-0,-0,     4726.12,-0,-0
2018-04-19,-0,-0,-0,     4681.01,-0,-0
2018-04-20,-0,-0,-0,     4642.23,-0,-0
2018-04-23,-0,-0,-0,     4672.73,-0,-0
2018-04-24,-0,-0,-0,     4756.89,-0,-0
2018-04-25,-0,-0,-0,     4705.41,-0,-0
2018-04-26,-0,-0,-0,     4710.62,-0,-0
2018-04-27,-0,-0,-0,     4771.65,-0,-0
2018-04-30,-0,-0,-0,     4697.65,-0,-0
2018-05-02,-0,-0,-0,     4688.49,-0,-0
2018-05-03,-0,-0,-0,     4650.92,-0,-0
2018-05-04,-0,-0,-0,     4636.27,-0,-0
2018-05-07,-0,-0,-0,     4715.65,-0,-0
2018-05-08,-0,-0,-0,     4725.32,-0,-0
2018-05-09,-0,-0,-0,     4730.85,-0,-0
2018-05-10,-0,-0,-0,     4754.63,-0,-0
2018-05-11,-0,-0,-0,     4798.72,-0,-0
2018-05-14,-0,-0,-0,     4803.28,-0,-0
2018-05-15,-0,-0,-0,     4784.13,-0,-0
2018-05-16,-0,-0,-0,     4697.83,-0,-0
2018-05-17,-0,-0,-0,     4695.81,-0,-0
2018-05-18,-0,-0,-0,     4632.23,-0,-0
2018-05-21,-0,-0,-0,     4626.94,-0,-0
