firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Wilhelm Conrad,Röntgen,DE,DE,male,1901,physics,1,Munich University,Munich,Germany,Mar,78,56
Hendrik A.,Lorentz,NL,NL,male,1902,physics,2,Leiden University,Leiden,the Netherlands,Jul,75,49
Pieter,Zeeman,NL,NL,male,1902,physics,2,Amsterdam University,Amsterdam,the Netherlands,May,78,37
Henri,Becquerel,FR,FR,male,1903,physics,2,École Polytechnique,Paris,France,Dec,56,51
Pierre,Curie,FR,FR,male,1903,physics,4,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,May,47,44
Marie,Curie,PL,FR,female,1903,physics,4,,,,Nov,67,36
Marie,Curie,PL,FR,female,1911,chemistry,1,Sorbonne University,Paris,France,Nov,67,44
Lord,Rayleigh,GB,GB,male,1904,physics,1,Royal Institution of Great Britain,London,United Kingdom,Nov,77,62
Philipp,Lenard,SK,DE,male,1905,physics,1,Kiel University,Kiel,Germany,Jun,85,43
J.J.,Thomson,GB,GB,male,1906,physics,1,University of Cambridge,Cambridge,United Kingdom,Dec,84,50
Albert A.,Michelson,PL,US,male,1907,physics,1,University of Chicago,Chicago IL,USA,Dec,79,55
Gabriel,Lippmann,LU,,male,1908,physics,1,Sorbonne University,Paris,France,Aug,76,63
Guglielmo,Marconi,IT,IT,male,1909,physics,2,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,Apr,63,35
Ferdinand,Braun,DE,US,male,1909,physics,2,Strasbourg University,Strasbourg,Germany (now France),Jun,68,59
Johannes Diderik,van der Waals,NL,NL,male,1910,physics,1,Amsterdam University,Amsterdam,the Netherlands,Nov,86,73
Wilhelm,Wien,RU,DE,male,1911,physics,1,Würzburg University,Würzburg,Germany,Jan,64,47
Gustaf,Dalén,SE,SE,male,1912,physics,1,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,Nov,68,43
Heike,Kamerlingh Onnes,NL,NL,male,1913,physics,1,Leiden University,Leiden,the Netherlands,Sep,73,60
Max,von Laue,DE,DE,male,1914,physics,1,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,Oct,81,35
William,Bragg,GB,GB,male,1915,physics,2,University College,London,United Kingdom,Jul,80,53
Lawrence,Bragg,AU,GB,male,1915,physics,2,Victoria University,Manchester,United Kingdom,Mar,81,25
Charles Glover,Barkla,GB,GB,male,1917,physics,1,Edinburgh University,Edinburgh,United Kingdom,Jun,67,40
Max,Planck,DE,DE,male,1918,physics,1,Berlin University,Berlin,Germany,Apr,89,60
Johannes,Stark,DE,DE,male,1919,physics,1,Greifswald University,Greifswald,Germany,Apr,83,45
Charles Edouard,Guillaume,CH,FR,male,1920,physics,1,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,Feb,77,59
Albert,Einstein,DE,US,male,1921,physics,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,Mar,76,42
Niels,Bohr,DK,DK,male,1922,physics,1,Copenhagen University,Copenhagen,Denmark,Oct,77,37
Robert A.,Millikan,US,US,male,1923,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Mar,85,55
Manne,Siegbahn,SE,SE,male,1924,physics,1,Uppsala University,Uppsala,Sweden,Dec,92,38
James,Franck,DE,DE,male,1925,physics,2,Goettingen University,Göttingen,Germany,Aug,82,43
Gustav,Hertz,DE,DE,male,1925,physics,2,Halle University,Halle,Germany,Jul,88,38
Jean Baptiste,Perrin,FR,US,male,1926,physics,1,Sorbonne University,Paris,France,Sep,72,56
Arthur H.,Compton,US,US,male,1927,physics,2,University of Chicago,Chicago IL,USA,Sep,70,35
C.T.R.,Wilson,GB,GB,male,1927,physics,2,University of Cambridge,Cambridge,United Kingdom,Feb,90,58
Owen Willans,Richardson,GB,GB,male,1928,physics,1,London University,London,United Kingdom,Apr,80,49
Louis,de Broglie,FR,FR,male,1929,physics,1,Sorbonne University Institut Henri Poincaré,Paris,France,Aug,95,37
Sir Chandrasekhara Venkata,Raman,IN,IN,male,1930,physics,1,Calcutta University,Calcutta,India,Nov,82,42
Werner,Heisenberg,DE,DE,male,1932,physics,1,Leipzig University,Leipzig,Germany,Dec,75,31
Erwin,Schrödinger,AT,AT,male,1933,physics,2,Berlin University,Berlin,Germany,Aug,74,46
Paul A.M.,Dirac,GB,US,male,1933,physics,2,University of Cambridge,Cambridge,United Kingdom,Aug,82,31
James,Chadwick,GB,GB,male,1935,physics,1,Liverpool University,Liverpool,United Kingdom,Oct,83,44
Victor F.,Hess,AT,US,male,1936,physics,2,Innsbruck University,Innsbruck,Austria,Jun,81,53
Carl D.,Anderson,US,US,male,1936,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,86,31
Clinton,Davisson,US,US,male,1937,physics,2,Bell Telephone Laboratories,New York NY,USA,Oct,77,56
George Paget,Thomson,GB,GB,male,1937,physics,2,London University,London,United Kingdom,May,83,45
Enrico,Fermi,IT,US,male,1938,physics,1,Rome University,Rome,Italy,Sep,53,37
Ernest,Lawrence,US,US,male,1939,physics,1,University of California,Berkeley CA,USA,Aug,57,38
Otto,Stern,PL,US,male,1943,physics,1,Carnegie Institute of Technology,Pittsburgh PA,USA,Feb,81,55
Isidor Isaac,Rabi,PL,US,male,1944,physics,1,Columbia University,New York NY,USA,Jul,90,46
Wolfgang,Pauli,AT,CH,male,1945,physics,1,Princeton University,Princeton NJ,USA,Apr,58,45
Percy W.,Bridgman,US,US,male,1946,physics,1,Harvard University,Cambridge MA,USA,Apr,79,64
Edward V.,Appleton,GB,GB,male,1947,physics,1,Department of Scientific and Industrial Research,London,United Kingdom,Sep,73,55
Patrick M.S.,Blackett,GB,GB,male,1948,physics,1,Victoria University,Manchester,United Kingdom,Nov,77,51
Hideki,Yukawa,JP,JP,male,1949,physics,1,Kyoto Imperial University,Kyoto,Japan,Jan,74,42
Cecil,Powell,GB,IT,male,1950,physics,1,Bristol University,Bristol,United Kingdom,Dec,66,47
John,Cockcroft,GB,GB,male,1951,physics,2,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,May,70,54
Ernest T.S.,Walton,IE,GB,male,1951,physics,2,Trinity College,Dublin,Ireland,Oct,92,48
Felix,Bloch,CH,CH,male,1952,physics,2,Stanford University,Stanford CA,USA,Oct,78,47
E. M.,Purcell,US,US,male,1952,physics,2,Harvard University,Cambridge MA,USA,Aug,85,40
Frits,Zernike,NL,NL,male,1953,physics,1,Groningen University,Groningen,the Netherlands,Jul,78,65
Max,Born,PL,DE,male,1954,physics,2,Edinburgh University,Edinburgh,United Kingdom,Dec,88,72
Walther,Bothe,DE,DE,male,1954,physics,2,University of Heidelberg,Heidelberg,Germany,Jan,66,63
Willis E.,Lamb,US,US,male,1955,physics,2,Stanford University,Stanford CA,USA,Jul,95,42
Polykarp,Kusch,DE,US,male,1955,physics,2,Columbia University,New York NY,USA,Jan,82,44
William B.,Shockley,GB,US,male,1956,physics,3,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,Feb,79,46
John,Bardeen,US,US,male,1956,physics,3,University of Illinois,Urbana IL,USA,May,83,48
John,Bardeen,US,US,male,1972,physics,3,University of Illinois,Urbana IL,USA,May,83,64
Walter H.,Brattain,CN,US,male,1956,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Feb,85,54
Chen Ning,Yang,CN,,male,1957,physics,2,Institute for Advanced Study,Princeton NJ,USA,Sep,98,35
Tsung-Dao,Lee,CN,,male,1957,physics,2,Columbia University,New York NY,USA,Nov,94,31
Pavel A.,Cherenkov,RU,RU,male,1958,physics,3,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,54
Igor Y.,Tamm,RU,RU,male,1958,physics,3,Lomonosov Moscow State University,Moscow,USSR (now Russia),Jul,76,63
Emilio,Segrè,IT,US,male,1959,physics,2,University of California,Berkeley CA,USA,Feb,84,54
Owen,Chamberlain,US,US,male,1959,physics,2,University of California,Berkeley CA,USA,Jul,86,39
Donald A.,Glaser,US,US,male,1960,physics,1,University of California,Berkeley CA,USA,Sep,87,34
Robert,Hofstadter,US,US,male,1961,physics,2,Stanford University,Stanford CA,USA,Feb,75,46
Rudolf,Mössbauer,DE,,male,1961,physics,2,Technical University,Munich,Germany,Jan,82,32
Lev,Landau,AZ,RU,male,1962,physics,1,Academy of Sciences,Moscow,USSR (now Russia),Jan,60,54
Eugene,Wigner,HU,US,male,1963,physics,2,Princeton University,Princeton NJ,USA,Nov,93,61
Maria,Goeppert Mayer,PL,US,female,1963,physics,4,University of California,San Diego CA,USA,Jun,66,57
J. Hans D.,Jensen,DE,DE,male,1963,physics,4,University of Heidelberg,Heidelberg,Germany,Jun,66,56
Charles H.,Townes,US,US,male,1964,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jul,100,49
Nicolay G.,Basov,RU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Dec,79,42
Aleksandr M.,Prokhorov,AU,RU,male,1964,physics,4,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),Jul,86,48
Sin-Itiro,Tomonaga,JP,JP,male,1965,physics,3,Tokyo University of Education,Tokyo,Japan,Mar,73,59
Julian,Schwinger,US,US,male,1965,physics,3,Harvard University,Cambridge MA,USA,Feb,76,47
Richard P.,Feynman,US,US,male,1965,physics,3,California Institute of Technology (Caltech),Pasadena CA,USA,May,70,47
Alfred,Kastler,FR,FR,male,1966,physics,1,École Normale Supérieure,Paris,France,May,82,64
Hans,Bethe,FR,US,male,1967,physics,1,Cornell University,Ithaca NY,USA,Jul,99,61
Luis,Alvarez,US,US,male,1968,physics,1,University of California,Berkeley CA,USA,Jun,77,57
Murray,Gell-Mann,US,US,male,1969,physics,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,90,40
Hannes,Alfvén,SE,SE,male,1970,physics,2,Royal Institute of Technology,Stockholm,Sweden,May,87,62
Louis,Néel,FR,FR,male,1970,physics,2,University of Grenoble,Grenoble,France,Nov,96,66
Dennis,Gabor,HU,GB,male,1971,physics,1,Imperial College,London,United Kingdom,Jun,79,71
Leon N.,Cooper,US,,male,1972,physics,3,Brown University,Providence RI,USA,Feb,90,42
Robert,Schrieffer,US,US,male,1972,physics,3,University of Pennsylvania,Philadelphia PA,USA,May,88,41
Leo,Esaki,JP,,male,1973,physics,4,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Mar,95,48
Ivar,Giaever,NO,,male,1973,physics,4,General Electric Company,Schenectady NY,USA,Apr,91,44
Brian D.,Josephson,GB,,male,1973,physics,2,University of Cambridge,Cambridge,United Kingdom,Jan,80,33
Martin,Ryle,GB,GB,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,Sep,66,56
Antony,Hewish,GB,,male,1974,physics,2,University of Cambridge,Cambridge,United Kingdom,May,96,50
Aage N.,Bohr,DK,DK,male,1975,physics,3,Niels Bohr Institute,Copenhagen,Denmark,Jun,87,53
Ben R.,Mottelson,US,,male,1975,physics,3,Nordita,Copenhagen,Denmark,Jul,94,49
James,Rainwater,US,US,male,1975,physics,3,Columbia University,New York NY,USA,Dec,69,58
Burton,Richter,US,US,male,1976,physics,2,Stanford Linear Accelerator Center,Stanford CA,USA,Mar,87,45
Samuel C.C.,Ting,US,,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40
Philip W.,Anderson,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54
Sir Nevill F.,Mott,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72
John H.,van Vleck,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78
Pyotr,Kapitsa,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84
Arno,Penzias,DE,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45
Robert Woodrow,Wilson,US,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42
Sheldon,Glashow,US,,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47
Abdus,Salam,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53
Steven,Weinberg,US,,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46
James,Cronin,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49
Val,Fitch,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57
Nicolaas,Bloembergen,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61
Arthur L.,Schawlow,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60
Kai M.,Siegbahn,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63
Kenneth G.,Wilson,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46
Subramanyan,Chandrasekhar,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73
William A.,Fowler,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72
Carlo,Rubbia,IT,,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50
Simon,van der Meer,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59
Klaus,von Klitzing,PL,,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42
Ernst,Ruska,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80
Gerd,Binnig,DE,,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39
Heinrich,Rohrer,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53
J. Georg,Bednorz,DE,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37
K. Alex,Müller,CH,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60
Leon M.,Lederman,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66
Melvin,Schwartz,US,US,male,1988,physics,3,Digital Pathways Inc.,Mountain View CA,USA,Nov,74,56
Jack,Steinberger,DE,,male,1988,physics,3,CERN,Geneva,Switzerland,May,99,67
Norman F.,Ramsey,US,US,male,1989,physics,2,Harvard University,Cambridge MA,USA,Aug,96,74
Hans G.,Dehmelt,DE,US,male,1989,physics,4,University of Washington,Seattle WA,USA,Sep,95,67
Wolfgang,Paul,DE,DE,male,1989,physics,4,University of Bonn,Bonn,Germany,Aug,80,76
Jerome I.,Friedman,US,,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,90,60
Henry W.,Kendall,US,US,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Dec,73,64
Richard E.,Taylor,CA,US,male,1990,physics,3,Stanford University,Stanford CA,USA,Nov,89,61
Pierre-Gilles,de Gennes,FR,FR,male,1991,physics,1,Collège de France,Paris,France,Oct,75,59
Georges,Charpak,PL,FR,male,1992,physics,1,École Supérieure de Physique et Chimie,Paris,France,Aug,86,68
Russell A.,Hulse,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Nov,70,43
Joseph H.,Taylor Jr.,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Mar,79,52
Bertram N.,Brockhouse,CA,CA,male,1994,physics,2,McMaster University,Hamilton Ontario,Canada,Jul,85,76
