index,LOCATION,INDICATOR,SUBJECT,TIME,Value
0,AUS,PISAMATH,BOY,2003,527.0
1,AUS,PISAMATH,BOY,2006,527.0
2,AUS,PISAMATH,BOY,2009,519.0
3,AUS,PISAMATH,BOY,2012,510.115
4,AUS,PISAMATH,BOY,2015,497.0
5,AUS,PISAMATH,BOY,2018,494.0
6,AUS,PISAMATH,GIRL,2003,522.0
7,AUS,PISAMATH,GIRL,2006,513.0
8,AUS,PISAMATH,GIRL,2009,509.0
9,AUS,PISAMATH,GIRL,2012,497.821
10,AUS,PISAMATH,GIRL,2015,491.0
11,AUS,PISAMATH,GIRL,2018,488.0
12,AUT,PISAMATH,BOY,2003,509.0
13,AUT,PISAMATH,BOY,2006,517.0
14,AUT,PISAMATH,BOY,2012,516.682
15,AUT,PISAMATH,BOY,2015,510.0
16,AUT,PISAMATH,BOY,2018,505.0
17,AUT,PISAMATH,GIRL,2003,502.0
18,AUT,PISAMATH,GIRL,2006,494.0
19,AUT,PISAMATH,GIRL,2012,494.462
20,AUT,PISAMATH,GIRL,2015,483.0
21,AUT,PISAMATH,GIRL,2018,492.0
22,BEL,PISAMATH,BOY,2003,533.0
23,BEL,PISAMATH,BOY,2006,524.0
24,BEL,PISAMATH,BOY,2009,526.0
25,BEL,PISAMATH,BOY,2012,520.081
26,BEL,PISAMATH,BOY,2015,514.0
27,BEL,PISAMATH,BOY,2018,514.0
28,BEL,PISAMATH,GIRL,2003,525.0
29,BEL,PISAMATH,GIRL,2006,517.0
30,BEL,PISAMATH,GIRL,2009,504.0
31,BEL,PISAMATH,GIRL,2012,508.935
32,BEL,PISAMATH,GIRL,2015,500.0
33,BEL,PISAMATH,GIRL,2018,502.0
34,CAN,PISAMATH,BOY,2003,541.0
35,CAN,PISAMATH,BOY,2006,534.0
36,CAN,PISAMATH,BOY,2009,533.0
37,CAN,PISAMATH,BOY,2012,523.154
38,CAN,PISAMATH,BOY,2015,520.0
39,CAN,PISAMATH,BOY,2018,514.0
40,CAN,PISAMATH,GIRL,2003,530.0
41,CAN,PISAMATH,GIRL,2006,520.0
42,CAN,PISAMATH,GIRL,2009,521.0
43,CAN,PISAMATH,GIRL,2012,513.022
44,CAN,PISAMATH,GIRL,2015,511.0
45,CAN,PISAMATH,GIRL,2018,510.0
