,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
2,3,Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,Software Engineering & DBMS,
4,5,Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,DBMS,
5,6,Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Information processing, Multimedia mining",
6,7,Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"NLP, Information Retrieval, Question Answering system",
24,25,Samina Azim,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2005.0,VLSI Electronics DLD Database,
25,26,Nausheed Saeed,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MCS,University of Balochistan,Pakistan,2008.0,"Software Engineering, Computer Networks.",
26,27,Shumaila Hussain,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2011.0,"Human computer Interaction, Web Development, Software Engineering, Networking",
27,28,Mirfa Manzoor,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,"Human Computer Interaction, Web",
28,29,Saira Mujahid,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,JAVA Programming,
29,30,Arifa Anwar,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009.0,Programming,
101,102,Mazhar Mohsin,University of Turbat,Computer Science,Balochistan,Assistant Professor,MS,Asian Institute of Technology,Thailand,,"Object Detection, Object Tracking, Pattern Recognition, Human Computer Interaction, Software Engineering, Data Structures and Algorithms, Object Oriented Programming",
102,103,Mukhtar Hussain,University of Turbat,Computer Science,Balochistan,Lecturer,MS,SRH Hochschule Heidelberg,germany,,"Semantic Web, Machine Learning",
104,105,Shamsa Aziz,University of Turbat,Computer Science,Balochistan,Lecturer,MS,"Institute of Business Administration,Karachi",Pakistan,,Semantic Web,
