,pokedex_nr,en_name,type_1,type_2,link,type_list,de_name,type_1_german,type_2_german,type_list_ger,fr_name,jp_name,kor_name,chi_name
0,001,Bulbasaur,Grass,Poison,https://www.pokewiki.de/Bisasam,"['Grass', 'Poison']",Bisasam,Pflanze,Gift,"['Pflanze', 'Gift']",Bulbizarre,フシギダネ(Fushigidane),이상해씨(Isanghaessi),妙蛙種子 / 妙蛙种子(Miàowāzhǒngzǐ)
1,002,Ivysaur,Grass,Poison,https://www.pokewiki.de/Bisaknosp,"['Grass', 'Poison']",Bisaknosp,Pflanze,Gift,"['Pflanze', 'Gift']",Herbizarre,フシギソウ(Fushigisou),이상해풀(Isanghaepul),妙蛙草 / 妙蛙草(Miàowācǎo)
2,003,Venusaur,Grass,Poison,https://www.pokewiki.de/Bisaflor,"['Grass', 'Poison']",Bisaflor,Pflanze,Gift,"['Pflanze', 'Gift']",Florizarre,フシギバナ(Fushigibana),이상해꽃(Isanghaekkot),妙蛙花 / 妙蛙花(Miàowāhuā)
3,004,Charmander,Fire,,https://www.pokewiki.de/Glumanda,['Fire'],Glumanda,Feuer,,['Feuer'],Salamèche,ヒトカゲ(Hitokage),파이리(Pairi),小火龍 / 小火龙(Xiǎohuǒlóng)
4,005,Charmeleon,Fire,,https://www.pokewiki.de/Glutexo,['Fire'],Glutexo,Feuer,,['Feuer'],Reptincel,リザード(Lizardo),리자드(Rijadeu),火恐龍 / 火恐龙(Huǒkǒnglóng)
5,006,Charizard,Fire,Flying,https://www.pokewiki.de/Glurak,"['Fire', 'Flying']",Glurak,Feuer,Flug,"['Feuer', 'Flug']",Dracaufeu,リザードン(Lizardon),리자몽(Rijamong),噴火龍 / 喷火龙(Pēnhuǒlóng)
6,007,Squirtle,Water,,https://www.pokewiki.de/Schiggy,['Water'],Schiggy,Wasser,,['Wasser'],Carapuce,ゼニガメ(Zenigame),꼬부기(Kkobugi),傑尼龜 / 杰尼龟(Jiéníguī)
7,008,Wartortle,Water,,https://www.pokewiki.de/Schillok,['Water'],Schillok,Wasser,,['Wasser'],Carabaffe,カメール(Kameil),어니부기(Eonibugi),卡咪龜 / 卡咪龟(Kǎmīguī)
8,009,Blastoise,Water,,https://www.pokewiki.de/Turtok,['Water'],Turtok,Wasser,,['Wasser'],Tortank,カメックス(Kamex),거북왕(Geobugwang),水箭龜 / 水箭龟(Shuǐjiànguī)
9,010,Caterpie,Bug,,https://www.pokewiki.de/Raupy,['Bug'],Raupy,Käfer,,['Käfer'],Chenipan,キャタピー(Caterpie),캐터피(Kaeteopi),綠毛蟲 / 绿毛虫(Lǜmáochóng)
10,011,Metapod,Bug,,https://www.pokewiki.de/Safcon,['Bug'],Safcon,Käfer,,['Käfer'],Chrysacier,トランセル(Transel),단데기(Dandegi),鐵甲蛹 / 铁甲蛹(Tiějiǎyǒng)
11,012,Butterfree,Bug,Flying,https://www.pokewiki.de/Smettbo,"['Bug', 'Flying']",Smettbo,Käfer,Flug,"['Käfer', 'Flug']",Papilusion,バタフリー(Butterfree),버터플(Beoteopeul),巴大蝶 / 巴大蝶(Bādàdié)
12,013,Weedle,Bug,Poison,https://www.pokewiki.de/Hornliu,"['Bug', 'Poison']",Hornliu,Käfer,Gift,"['Käfer', 'Gift']",Aspicot,ビードル(Beedle),뿔충이(Ppulchungi),獨角蟲 / 独角虫(Dújiǎochóng)
13,014,Kakuna,Bug,Poison,https://www.pokewiki.de/Kokuna,"['Bug', 'Poison']",Kokuna,Käfer,Gift,"['Käfer', 'Gift']",Coconfort,コクーン(Cocoon),딱충이(Ttakchungi),鐵殼蛹 / 铁壳蛹(Tiěkéyǒng)
14,015,Beedrill,Bug,Poison,https://www.pokewiki.de/Bibor,"['Bug', 'Poison']",Bibor,Käfer,Gift,"['Käfer', 'Gift']",Dardargnan,スピアー(Spear),독침붕(Dokchimbung),大針蜂 / 大针蜂(Dàzhēnfēng)
15,016,Pidgey,Normal,Flying,https://www.pokewiki.de/Taubsi,"['Normal', 'Flying']",Taubsi,Normal,Flug,"['Normal', 'Flug']",Roucool,ポッポ(Poppo),구구(Gugu),波波 / 波波(Bōbō)
16,017,Pidgeotto,Normal,Flying,https://www.pokewiki.de/Tauboga,"['Normal', 'Flying']",Tauboga,Normal,Flug,"['Normal', 'Flug']",Roucoups,ピジョン(Pigeon),피죤(Pijyon),比比鳥 / 比比鸟(Bǐbǐniǎo)
17,018,Pidgeot,Normal,Flying,https://www.pokewiki.de/Tauboss,"['Normal', 'Flying']",Tauboss,Normal,Flug,"['Normal', 'Flug']",Roucarnage,ピジョット(Pigeot),피죤투(Pijyontu),大比鳥 / 大比鸟(Dàbǐniǎo)
18,019,Rattata,Normal,,https://www.pokewiki.de/Rattfratz,['Normal'],Rattfratz,Normal,,['Normal'],Rattata,コラッタ(Koratta),꼬렛(Koret),小拉達 / 小拉达(Xiǎolādá)
19,020,Raticate,Normal,,https://www.pokewiki.de/Rattikarl,['Normal'],Rattikarl,Normal,,['Normal'],Rattatac,ラッタ(Ratta),레트라(Reteura),拉達 / 拉达(Lādá)
20,021,Spearow,Normal,Flying,https://www.pokewiki.de/Habitak,"['Normal', 'Flying']",Habitak,Normal,Flug,"['Normal', 'Flug']",Piafabec,オニスズメ(Onisuzume),깨비참(Kkaebicham),烈雀 / 烈雀(Lièquè)
21,022,Fearow,Normal,Flying,https://www.pokewiki.de/Ibitak,"['Normal', 'Flying']",Ibitak,Normal,Flug,"['Normal', 'Flug']",Rapasdepic,オニドリル(Onidrill),깨비드릴조(Kkaebideuriljo),大嘴雀 / 大嘴雀(Dàzuǐquè)
22,023,Ekans,Poison,,https://www.pokewiki.de/Rettan,['Poison'],Rettan,Gift,,['Gift'],Abo,アーボ(Arbo),아보(Abo),阿柏蛇 / 阿柏蛇(Ābóshé)
23,024,Arbok,Poison,,https://www.pokewiki.de/Arbok,['Poison'],Arbok,Gift,,['Gift'],Arbok,アーボック(Arbok),아보크(Abokeu),阿柏怪 / 阿柏怪(Ābóguài)
24,025,Pikachu,Electric,,https://www.pokewiki.de/Pikachu,['Electric'],Pikachu,Elektro,,['Elektro'],Pikachu,ピカチュウ(Pikachu),피카츄(Pikachyu),皮卡丘 / 皮卡丘(Píkǎqiū)
25,026,Raichu,Electric,,https://www.pokewiki.de/Raichu,['Electric'],Raichu,Elektro,,['Elektro'],Raichu,ライチュウ(Raichu),라이츄(Raichyu),雷丘 / 雷丘(Léiqiū)
26,027,Sandshrew,Ground,,https://www.pokewiki.de/Sandan,['Ground'],Sandan,Boden,,['Boden'],Sabelette,サンド(Sand),모래두지(Moraeduji),穿山鼠 / 穿山鼠(Chuānshānshǔ)
27,028,Sandslash,Ground,,https://www.pokewiki.de/Sandamer,['Ground'],Sandamer,Boden,,['Boden'],Sablaireau,サンドパン(Sandpan),고지(Goji),穿山王 / 穿山王(Chuānshānwáng)
28,029,Nidoran♀,Poison,,https://www.pokewiki.de/Nidoran%E2%99%80,['Poison'],Nidoran♀,Gift,,['Gift'],Nidoran♀,ニドラン♀(Nidoran♀),니드런♀(Nideureon♀),尼多蘭 / 尼多兰(Níduōlán)
