pokedex_nr,"('base_stat', 'attack')","('base_stat', 'defense')","('base_stat', 'hp')","('base_stat', 'special-attack')","('base_stat', 'special-defense')","('base_stat', 'speed')","('effort', 'attack')","('effort', 'defense')","('effort', 'hp')","('effort', 'special-attack')","('effort', 'special-defense')","('effort', 'speed')"
001,49.0,49.0,45.0,65.0,65.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0
002,62.0,63.0,60.0,80.0,80.0,60.0,0.0,0.0,0.0,1.0,1.0,0.0
003,82.0,83.0,80.0,100.0,100.0,80.0,0.0,0.0,0.0,2.0,1.0,0.0
004,52.0,43.0,39.0,60.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0
005,64.0,58.0,58.0,80.0,65.0,80.0,0.0,0.0,0.0,1.0,0.0,1.0
006,84.0,78.0,78.0,109.0,85.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0
007,48.0,65.0,44.0,50.0,64.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0
008,63.0,80.0,59.0,65.0,80.0,58.0,0.0,1.0,0.0,0.0,1.0,0.0
009,83.0,100.0,79.0,85.0,105.0,78.0,0.0,0.0,0.0,0.0,3.0,0.0
010,30.0,35.0,45.0,20.0,20.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0
011,20.0,55.0,50.0,25.0,25.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
012,45.0,50.0,60.0,90.0,80.0,70.0,0.0,0.0,0.0,2.0,1.0,0.0
013,35.0,30.0,40.0,20.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0
014,25.0,50.0,45.0,25.0,25.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0
015,90.0,40.0,65.0,45.0,80.0,75.0,2.0,0.0,0.0,0.0,1.0,0.0
016,45.0,40.0,40.0,35.0,35.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0
017,60.0,55.0,63.0,50.0,50.0,71.0,0.0,0.0,0.0,0.0,0.0,2.0
018,80.0,75.0,83.0,70.0,70.0,101.0,0.0,0.0,0.0,0.0,0.0,3.0
019,56.0,35.0,30.0,25.0,35.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
020,81.0,60.0,55.0,50.0,70.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0
021,60.0,30.0,40.0,31.0,31.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0
022,90.0,65.0,65.0,61.0,61.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0
023,60.0,44.0,35.0,40.0,54.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
024,95.0,69.0,60.0,65.0,79.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0
025,55.0,40.0,35.0,50.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0
026,90.0,55.0,60.0,90.0,80.0,110.0,0.0,0.0,0.0,0.0,0.0,3.0
027,75.0,85.0,50.0,20.0,30.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0
028,100.0,110.0,75.0,45.0,55.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0
029,47.0,52.0,55.0,40.0,40.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0
030,62.0,67.0,70.0,55.0,55.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0
031,92.0,87.0,90.0,75.0,85.0,76.0,0.0,0.0,3.0,0.0,0.0,0.0
032,57.0,40.0,46.0,40.0,40.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
033,72.0,57.0,61.0,55.0,55.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
034,102.0,77.0,81.0,85.0,75.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0
035,45.0,48.0,70.0,60.0,65.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0
