Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],air_temp_celsius,process_temp_celsius,temp_diff,temp_diff_above_threshold,power,power_out_of_range,strain,strain_below_11k,strain_above_12k,Machine failure
1,1479,58.5,176,24.850000000000023,35.55000000000001,10.699999999999989,1,9060.53148,1,10296.0,1,0,1
1,2097,18.9,232,27.55000000000001,38.55000000000001,11.0,1,4150.399176,0,4384.799999999999,1,0,1
0,1558,42.4,14,24.950000000000045,35.450000000000045,10.5,1,6917.719423999999,0,593.6,1,0,0
0,1381,49.4,207,29.05000000000001,38.05000000000001,9.0,1,7144.145007999999,0,10225.8,1,0,0
1,1464,49.1,171,30.75,40.25,9.5,1,7527.524928,0,8396.1,1,0,0
0,1809,24.3,110,24.350000000000023,36.25,11.899999999999977,1,4603.355064,0,2673.0,1,0,0
0,1557,40.6,59,26.950000000000045,36.35000000000002,9.399999999999977,1,6619.791024,0,2395.4,1,0,0
2,1436,45.6,9,30.450000000000045,39.25,8.799999999999955,1,6857.233152,0,410.40000000000003,1,0,0
0,1503,42.6,208,26.950000000000045,38.55000000000001,11.599999999999966,1,6704.991216,0,8860.800000000001,1,0,0
1,1638,35.4,116,28.75,37.85000000000002,9.100000000000023,1,6072.210143999999,0,4106.4,1,0,0
1,1377,53.8,125,27.150000000000034,38.150000000000034,11.0,1,7757.929871999999,0,6725.0,1,0,0
0,1409,46.4,12,25.950000000000045,35.05000000000001,9.099999999999966,1,6846.342272,0,556.8,1,0,0
0,1744,29.7,16,29.05000000000001,37.650000000000034,8.600000000000023,1,5424.160895999999,0,475.2,1,0,0
0,1286,64.9,160,27.55000000000001,37.05000000000001,9.5,1,8740.077808,0,10384.0,1,0,0
1,1300,58.3,92,28.150000000000034,37.55000000000001,9.399999999999977,1,7936.728799999999,0,5363.599999999999,1,0,0
0,1323,49.7,79,28.350000000000023,37.55000000000001,9.199999999999989,1,6885.664632,0,3926.3,1,0,0
0,1574,39.2,83,26.450000000000045,35.950000000000045,9.5,1,6461.307776,0,3253.6000000000004,1,0,0
0,1816,23.0,15,26.350000000000023,36.05000000000001,9.699999999999989,1,4373.94496,0,345.0,1,0,0
0,1424,44.6,127,27.25,38.25,11.0,1,6650.809088,0,5664.2,1,0,0
0,1577,36.9,158,29.350000000000023,37.650000000000034,8.300000000000011,0,6093.792936,0,5830.2,1,0,0
2,1410,47.1,9,26.05000000000001,35.950000000000045,9.900000000000034,1,6954.559919999999,0,423.90000000000003,1,0,0
0,1324,52.4,171,27.950000000000045,37.35000000000002,9.399999999999977,1,7265.222272,0,8960.4,1,0,0
2,1438,41.4,60,24.950000000000045,35.85000000000002,10.899999999999977,1,6234.316703999999,0,2484.0,1,0,0
0,1524,38.9,214,27.350000000000023,38.650000000000034,11.300000000000011,1,6208.178591999999,0,8324.6,1,0,1
0,1385,50.7,133,28.55000000000001,37.650000000000034,9.100000000000023,1,7353.386039999999,0,6743.1,1,0,0
0,1466,43.6,56,28.350000000000023,37.55000000000001,9.199999999999989,1,6693.451072,0,2441.6,1,0,0
0,1513,37.9,0,30.05000000000001,38.35000000000002,8.300000000000011,0,6004.927544,0,0.0,1,0,0
1,1503,38.2,200,28.350000000000023,37.35000000000002,9.0,1,6012.456912000001,0,7640.000000000001,1,0,0
0,1512,40.8,137,24.650000000000034,34.25,9.599999999999966,1,6460.1349119999995,0,5589.599999999999,1,0,0
2,1390,49.0,194,27.150000000000034,38.75,11.599999999999966,1,7132.4792,0,9506.0,1,0,0
0,1552,34.9,95,27.75,37.450000000000045,9.700000000000045,1,5672.137856,0,3315.5,1,0,0
0,1574,30.9,151,24.450000000000045,36.35000000000002,11.899999999999977,1,5093.224751999999,0,4665.9,1,0,0
1,1439,41.7,185,24.75,36.85000000000002,12.100000000000023,1,6283.859736,0,7714.500000000001,1,0,0
0,1702,33.1,71,27.350000000000023,37.25,9.899999999999977,1,5899.526864,0,2350.1,1,0,0
0,1407,40.5,87,27.55000000000001,37.450000000000045,9.900000000000034,1,5967.31212,0,3523.5,1,0,0
0,1456,44.7,29,24.350000000000023,35.55000000000001,11.199999999999989,1,6815.512704000001,0,1296.3000000000002,1,0,0
0,1461,52.9,208,28.05000000000001,38.450000000000045,10.400000000000034,1,8093.484167999999,0,11003.199999999999,0,0,1
0,1544,34.3,0,29.150000000000034,38.450000000000045,9.300000000000011,1,5545.887424,0,0.0,1,0,0
0,1588,32.5,207,24.25,35.25,11.0,1,5404.5992,0,6727.5,1,0,0
0,1415,56.4,175,26.25,35.450000000000045,9.200000000000045,1,8357.284319999999,0,9870.0,1,0,0
0,1402,50.1,3,28.55000000000001,36.950000000000045,8.400000000000034,0,7355.553744000001,0,150.3,1,0,0
2,1790,26.7,17,30.75,39.950000000000045,9.200000000000045,1,5004.882959999999,0,453.9,1,0,0
1,1584,40.0,4,24.05000000000001,35.35000000000002,11.300000000000011,1,6635.0592,0,160.0,1,0,0
2,1438,43.2,12,28.850000000000023,37.450000000000045,8.600000000000023,1,6505.373952,0,518.4000000000001,1,0,0
0,1597,39.8,153,29.55000000000001,38.950000000000045,9.400000000000034,1,6656.066031999999,0,6089.4,1,0,0
1,1303,53.9,52,24.950000000000045,34.75,9.799999999999955,1,7354.663623999999,0,2802.7999999999997,1,0,0
0,1678,34.2,114,24.450000000000045,35.35000000000002,10.899999999999977,1,6009.6294720000005,0,3898.8,1,0,0
0,1484,43.1,13,26.950000000000045,38.25,11.299999999999955,1,6697.933087999999,0,560.3000000000001,1,0,0
0,1423,40.2,63,27.75,38.950000000000045,11.200000000000045,1,5990.465712,0,2532.6000000000004,1,0,0
0,1637,34.6,207,25.450000000000045,36.650000000000034,11.199999999999989,1,5931.361744,0,7162.200000000001,1,0,0
2,1631,31.3,124,24.650000000000034,34.35000000000002,9.699999999999989,1,5345.987416,0,3881.2000000000003,1,0,0
1,1532,38.6,104,22.75,33.450000000000045,10.700000000000045,1,6192.6381440000005,0,4014.4,1,0,0
1,1313,55.7,102,29.25,38.75,9.5,1,7658.602951999999,0,5681.400000000001,1,0,0
0,1529,35.5,21,27.05000000000001,38.450000000000045,11.400000000000034,1,5684.14924,0,745.5,1,0,0
2,1381,52.4,140,30.650000000000034,40.05000000000001,9.399999999999977,1,7577.999967999999,0,7336.0,1,0,0
0,1362,59.5,46,25.850000000000023,36.950000000000045,11.100000000000023,1,8486.40408,0,2737.0,1,0,0
0,1377,49.9,124,27.55000000000001,37.85000000000002,10.300000000000011,1,7195.552055999999,0,6187.599999999999,1,0,0
0,1324,52.2,85,27.55000000000001,37.950000000000045,10.400000000000034,1,7237.492416000001,0,4437.0,1,0,0
1,1451,43.8,24,24.150000000000034,35.55000000000001,11.399999999999977,1,6655.353935999999,0,1051.1999999999998,1,0,0
0,1521,37.2,131,26.450000000000045,37.950000000000045,11.5,1,5925.183263999999,0,4873.200000000001,1,0,0
0,1408,46.7,196,25.950000000000045,35.450000000000045,9.5,1,6885.716992,0,9153.2,1,0,0
0,1386,44.9,135,25.25,35.55000000000001,10.300000000000011,1,6516.872208,0,6061.5,1,0,0
0,1553,36.8,174,26.55000000000001,36.450000000000045,9.900000000000034,1,5984.789887999999,0,6403.2,1,0,0
1,1432,41.5,51,28.75,37.85000000000002,9.100000000000023,1,6223.30016,0,2116.5,1,0,0
1,1508,42.3,159,29.150000000000034,38.75,9.599999999999966,1,6679.921247999999,0,6725.7,1,0,0
1,1482,43.8,41,31.150000000000034,40.25,9.099999999999966,1,6797.5427519999985,0,1795.8,1,0,0
0,1713,28.0,116,25.850000000000023,37.25,11.399999999999977,1,5022.79008,0,3248.0,1,0,0
0,1406,47.1,83,28.150000000000034,37.35000000000002,9.199999999999989,1,6934.830671999999,0,3909.3,1,0,0
0,1490,35.0,29,25.650000000000034,35.35000000000002,9.699999999999989,1,5461.147999999999,0,1015.0,1,0,0
0,1766,25.8,7,24.05000000000001,35.35000000000002,11.300000000000011,1,4771.336416,0,180.6,1,0,0
0,1596,35.4,150,28.350000000000023,37.55000000000001,9.199999999999989,1,5916.5124479999995,0,5310.0,1,0,0
1,1578,34.5,127,25.05000000000001,34.650000000000034,9.600000000000023,1,5701.061519999999,0,4381.5,1,0,0
1,1628,37.6,12,24.950000000000045,35.650000000000034,10.699999999999989,1,6410.2044160000005,0,451.20000000000005,1,0,0
0,1376,44.9,186,28.75,37.85000000000002,9.100000000000023,1,6469.852927999999,0,8351.4,1,0,0
1,1524,40.6,98,26.950000000000045,38.25,11.299999999999955,1,6479.487168,0,3978.8,1,0,0
0,1697,29.1,179,24.55000000000001,34.950000000000045,10.400000000000034,1,5171.356344,0,5208.900000000001,1,0,0
0,1580,32.6,142,26.05000000000001,35.25,9.199999999999989,1,5393.917759999999,0,4629.2,1,0,0
0,1356,43.6,22,23.05000000000001,34.05000000000001,11.0,1,6191.213952,0,959.2,1,0,0
0,1364,50.0,205,28.950000000000045,37.85000000000002,8.899999999999977,1,7141.9039999999995,0,10250.0,1,0,0
1,1791,24.1,213,26.850000000000023,38.25,11.399999999999977,1,4520.039832,0,5133.3,1,0,0
0,1603,35.9,104,28.950000000000045,38.25,9.299999999999955,1,6026.395143999999,0,3733.6,1,0,0
0,1564,36.2,31,27.650000000000034,37.650000000000034,10.0,1,5928.911295999999,0,1122.2,1,0,0
0,1532,37.6,47,24.75,35.85000000000002,11.100000000000023,1,6032.207104,0,1767.2,1,0,0
0,1376,57.1,8,29.650000000000034,39.25,9.599999999999966,1,8227.808512,0,456.8,1,0,0
