"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","teamId","ppda_cal","allowed_ppda","matchtime","tot_points","round","tot_goal","tot_con","Referee.x","HS.x","HST.x","HF.x","HC.x","HY.x","HR.x","AS.x","AST.x","AF.x","AC.x","AY.x","AR.x","B365H.x","B365D.x","B365A.x","HtrgPerc","AtrgPerc","matchDay"
"1","h",2.23456,0.842407,2.23456,0.842407,11,5,4,1,2.3863,"w",2019-08-09 20:00:00,1,0,0,3,1.392153,"Liverpool",5.94285714285714,21.4545454545455,20,3,1,4,1,"M Oliver",15,7,9,11,0,0,12,5,9,2,2,0,1.14,10,19,0.466666666666667,0.416666666666667,"Fri"
"2","a",0.842407,2.23456,0.842407,2.23456,5,11,1,4,0.4405,"l",2019-08-09 20:00:00,0,0,1,0,-1.392153,"Norwich",21.4545454545455,5.94285714285714,20,0,1,1,4,"M Oliver",15,7,9,11,0,0,12,5,9,2,2,0,1.14,10,19,0.466666666666667,0.416666666666667,"Fri"
"3","a",3.18377,1.2003,2.42264,1.2003,9,1,5,0,2.6312,"w",2019-08-10 12:30:00,1,0,0,3,1.22234,"Man City",6.93548387096774,16.4,12,3,1,5,0,"M Dean",5,3,6,1,2,0,14,9,13,1,2,0,12,6.5,1.22,0.6,0.642857142857143,"Sat"
"4","h",1.2003,3.18377,1.2003,2.42264,1,9,0,5,0.2522,"l",2019-08-10 12:30:00,0,0,1,0,-1.22234,"West Ham",16.4,6.93548387096774,12,0,1,0,5,"M Dean",5,3,6,1,2,0,14,9,13,1,2,0,12,6.5,1.22,0.6,0.642857142857143,"Sat"
"5","h",1.34099,1.59864,1.34099,1.59864,4,6,1,1,1.0172,"d",2019-08-10 15:00:00,0,1,0,1,-0.25765,"Bournemouth",13.6,9.13333333333333,15,1,1,1,1,"K Friend",13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.230769230769231,0.375,"Sat"
"6","a",0.855516,0.670022,0.855516,0.670022,5,7,3,0,1.5458,"w",2019-08-10 15:00:00,1,0,0,3,0.185494,"Brighton",11.5,9.78571428571429,15,3,1,3,0,"C Pawson",11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4,0.272727272727273,0.6,"Sat"
"7","h",0.909241,1.08752,0.909241,1.08752,0,9,3,0,1.1422,"w",2019-08-10 15:00:00,1,0,0,3,-0.178279,"Burnley",9.27777777777778,5.5,15,3,1,3,0,"G Scott",10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,"Sat"
"8","h",0.87159,1.2246,0.87159,1.2246,5,5,0,0,1.0512,"d",2019-08-10 15:00:00,0,1,0,1,-0.35301,"Crystal Palace",11.3076923076923,4.07407407407407,15,1,1,0,0,"J Moss",6,2,16,6,2,0,10,3,14,2,1,1,3,3.25,2.37,0.333333333333333,0.3,"Sat"
"9","a",1.2246,0.87159,1.2246,0.87159,5,5,0,0,1.6257,"d",2019-08-10 15:00:00,0,1,0,1,0.35301,"Everton",4.07407407407407,11.3076923076923,15,1,1,0,0,"J Moss",6,2,16,6,2,0,10,3,14,2,1,1,3,3.25,2.37,0.333333333333333,0.3,"Sat"
"10","a",1.59864,1.34099,1.59864,1.34099,6,4,1,1,1.5905,"d",2019-08-10 15:00:00,0,1,0,1,0.25765,"Sheffield United",9.13333333333333,13.6,15,1,1,1,1,"K Friend",13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.230769230769231,0.375,"Sat"
