Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Afghanistan,AFG,Asia Pacific,156,122,38.27,44.65,43.88,42.54,43.33,16.96,0,0,0,0,Very Serious
Albania,ALB,Europe,103,83,56.41,50.55,29.39,68.77,66.6,66.75,0,0,0,0,Problematic
Algeria,DZA,Arab States,134,146,45.53,41.21,32.4,54.17,55.88,44.02,0,0,0,0,Difficult
Andorra,AND,Europe,53,39,68.79,68.12,50.41,69.12,68.8,87.48,0,0,0,0,Problematic
Angola,AGO,Africa,99,103,57.17,52.83,35.03,61.11,73.0,63.87,0,0,0,0,Problematic
Argentina,ARG,South America,29,69,77.28,76.36,51.53,90.68,85.75,82.06,0,0,0,0,Satisfactory
Armenia,ARM,Europe,51,63,68.97,66.26,44.44,77.88,76.33,79.91,0,0,0,0,Problematic
Australia,AUS,Asia Pacific,39,25,73.77,77.17,63.44,64.18,84.17,79.88,0,0,0,0,Satisfactory
Austria,AUT,Europe,31,17,76.74,77.82,61.43,78.95,81.2,84.29,0,0,0,0,Satisfactory
Azerbaijan,AZE,Asia Pacific,154,167,39.4,37.66,23.76,48.25,58.86,28.48,0,0,2,0,Very Serious
Bahrain,BHR,Arab States,167,168,30.97,35.15,21.43,28.95,39.67,29.65,0,0,0,0,Very Serious
Bangladesh,BGD,Asia Pacific,162,152,36.63,42.12,32.48,44.15,48.5,15.88,1,0,0,0,Very Serious
Belarus,BLR,Europe,153,158,39.62,32.93,48.75,37.23,60.33,18.85,0,0,13,0,Very Serious
Belgium,BEL,Europe,23,11,78.86,75.03,71.22,79.3,87.4,81.35,0,0,0,0,Satisfactory
Belize,BLZ,South America,47,53,70.67,70.0,52.04,63.6,82.0,85.71,0,0,0,0,Satisfactory
Benin,BEN,Africa,121,114,48.39,47.73,28.19,57.46,55.5,53.1,0,0,0,0,Difficult
Bhutan,BTN,Asia Pacific,33,65,76.46,78.79,62.24,70.39,77.0,93.88,0,0,0,0,Satisfactory
Bolivia,BOL,South America,126,110,47.58,44.55,33.67,58.77,45.0,55.89,0,0,0,0,Difficult
Bosnia-Herzegovina,BIH,Europe,67,58,65.64,61.56,40.23,79.57,71.86,74.95,0,0,0,0,Problematic
Botswana,BWA,Africa,95,38,58.49,56.97,37.24,56.36,69.75,72.11,0,0,0,0,Problematic
Brazil,BRA,South America,110,111,55.36,51.62,37.59,69.74,70.0,47.86,1,0,0,0,Problematic
Brunei,BRN,Asia Pacific,144,154,42.53,40.61,30.61,28.51,34.0,78.91,0,0,0,0,Difficult
Bulgaria,BGR,Europe,91,112,59.12,54.95,30.1,68.71,66.83,75.02,0,0,0,0,Problematic
Burkina Faso,BFA,Africa,41,37,73.12,78.99,67.69,75.58,87.83,55.52,0,0,0,0,Satisfactory
Burundi,BDI,Africa,107,147,55.74,50.03,44.67,59.55,52.78,71.66,0,0,0,0,Problematic
Cabo Verde,CPV,Africa,36,27,75.37,72.55,62.76,77.98,75.4,88.16,0,0,0,0,Satisfactory
Cambodia,KHM,Asia Pacific,142,144,43.48,42.42,27.96,49.65,62.4,34.96,0,0,1,0,Difficult
Cameroon,CMR,Africa,118,135,49.1,48.05,35.71,56.89,67.57,37.25,0,0,0,0,Difficult
Canada,CAN,North America,19,14,81.74,82.27,71.17,80.26,92.0,82.99,0,0,0,0,Satisfactory
Central African Republic,CAF,Africa,101,126,56.96,51.21,41.07,62.06,68.25,62.19,0,0,0,0,Problematic
Chad,TCD,Africa,104,123,56.18,55.88,43.27,60.35,63.2,58.21,1,0,0,0,Problematic
Chile,CHL,South America,82,54,60.61,65.03,42.86,67.63,72.4,55.15,1,0,0,0,Problematic
China,CHN,Asia Pacific,175,177,25.17,27.45,26.02,23.25,33.3,15.84,0,0,0,0,Very Serious
Colombia,COL,South America,145,134,42.43,44.7,32.27,60.42,50.38,24.4,0,0,0,0,Difficult
Comoros,COM,Arab States,83,84,60.16,56.36,50.26,59.98,75.63,58.56,0,0,0,0,Problematic
Congo-Brazzaville,COG,Africa,93,118,58.64,58.06,48.57,64.21,62.6,59.76,0,0,0,0,Problematic
Costa Rica,CRI,South America,8,5,85.92,81.62,72.96,87.72,92.5,94.78,0,0,0,0,Good
Croatia,HRV,Europe,48,56,70.42,68.26,50.46,79.19,76.09,78.08,0,0,0,0,Satisfactory
Cuba,CUB,South America,173,171,27.32,27.27,39.8,15.79,27.5,26.24,0,0,0,0,Very Serious
Cyprus,CYP,Europe,65,26,65.97,61.21,42.09,74.56,65.75,86.25,0,0,0,0,Problematic
Czech Republic,CZE,Europe,20,40,80.54,79.66,61.56,84.21,88.44,88.81,0,0,0,0,Satisfactory
Democratic Republic of Congo,COD,Africa,125,149,47.66,51.33,41.43,60.88,60.3,24.34,0,0,3,0,Difficult
Denmark,DNK,Europe,2,4,90.27,94.34,83.67,89.18,91.17,92.97,0,0,0,0,Good
Djibouti,DJI,Arab States,164,176,35.75,32.73,16.12,37.72,37.6,54.56,0,0,0,0,Very Serious
Dominican Republic,DOM,South America,30,50,76.9,71.52,62.24,85.96,92.0,72.79,0,0,0,0,Satisfactory
Ecuador,ECU,South America,68,96,64.61,60.1,55.44,67.98,69.5,70.03,0,0,0,0,Problematic
Egypt,EGY,Middle  East,168,166,30.23,30.91,23.47,34.87,44.25,17.64,0,0,0,0,Very Serious
El Salvador,SLV,South America,112,82,54.09,42.94,39.07,63.22,62.86,62.37,0,0,0,0,Difficult
Equatorial Guinea,GNQ,Africa,141,164,43.96,42.73,24.49,44.3,44.25,64.04,0,0,0,0,Difficult
Eritrea,ERI,Africa,179,180,19.62,22.22,19.73,25.15,19.67,11.36,0,0,0,0,Very Serious
Estonia,EST,Europe,4,15,88.83,91.11,81.97,87.87,90.0,93.2,0,0,0,0,Good
Eswatini,SWZ,Africa,131,141,46.42,41.31,35.03,43.86,50.5,61.4,0,0,0,0,Difficult
Ethiopia,ETH,Africa,114,101,50.53,50.65,45.77,63.66,57.29,35.29,0,0,16,0,Difficult
Fiji,FJI,Asia Pacific,102,55,56.91,44.85,39.8,58.33,64.0,77.55,0,0,0,0,Problematic
Finland,FIN,Europe,5,2,88.42,90.4,82.03,86.64,90.77,92.26,0,0,0,0,Good
France,FRA,Europe,26,34,78.53,79.85,67.86,86.51,89.38,69.05,0,0,0,0,Satisfactory
Gabon,GAB,Africa,105,117,56.0,48.38,39.46,56.14,65.5,70.52,0,0,0,0,Problematic
Gambia,GMB,Africa,50,85,69.25,71.11,51.36,67.69,81.33,74.74,0,0,0,0,Problematic
Georgia,GEO,Europe,89,60,59.3,52.42,46.43,80.79,75.5,41.34,0,0,1,0,Problematic
Germany,DEU,Europe,16,13,82.04,87.03,80.07,87.08,89.47,66.58,0,0,0,0,Satisfactory
Ghana,GHA,Africa,60,30,67.43,66.61,47.22,81.42,79.64,62.25,0,0,2,0,Problematic
Greece,GRC,Europe,108,70,55.52,60.5,38.13,69.54,65.36,44.1,0,0,0,0,Problematic
Guatemala,GTM,South America,124,116,47.94,46.06,33.67,68.86,59.0,32.12,0,0,0,0,Difficult
Guinea,GIN,Africa,84,109,59.82,59.26,47.05,71.15,70.67,50.96,0,0,0,0,Problematic
Guinea Bissau,GNB,Africa,92,95,58.79,51.15,50.82,68.42,62.4,61.18,0,0,0,0,Problematic
Guyana,GUY,South America,34,51,76.41,70.06,67.76,75.61,81.4,87.21,0,0,0,0,Satisfactory
Haiti,HTI,South America,70,87,64.55,59.6,50.34,72.22,80.67,59.91,2,0,0,0,Problematic
Honduras,HND,South America,165,151,34.61,33.33,31.63,36.84,31.0,40.22,0,0,0,0,Very Serious
Hong Kong,HKG,Asia Pacific,148,80,41.64,40.5,35.9,42.58,57.45,31.78,0,0,0,1,Difficult
Hungary,HUN,Europe,85,92,59.8,47.07,32.31,67.25,67.33,85.03,0,0,0,0,Problematic
Iceland,ISL,Europe,15,16,82.69,86.21,65.56,82.68,87.5,91.5,0,0,0,0,Satisfactory
India,IND,Asia Pacific,150,142,41.0,40.76,30.36,57.02,56.25,20.61,1,0,11,0,Difficult
Indonesia,IDN,Asia Pacific,117,113,49.27,45.91,41.33,55.7,66.0,37.42,0,0,0,0,Difficult
Iran,IRN,Middle  East,178,174,23.22,30.71,21.32,26.71,23.78,13.61,1,0,3,0,Very Serious
Iraq,IRQ,Middle  East,172,163,28.59,34.14,20.07,29.82,40.67,18.27,0,0,2,0,Very Serious
Ireland,IRL,Europe,6,12,88.3,89.24,79.08,85.09,92.5,95.58,0,0,0,0,Good
Israel,ISR,Middle  East,86,86,59.62,65.15,55.1,53.51,77.75,46.61,0,0,2,0,Problematic
Italy,ITA,Europe,58,41,68.16,65.89,47.52,73.93,80.0,73.48,0,0,0,0,Problematic
Ivory Coast,CIV,Africa,37,66,74.46,74.89,58.45,75.94,81.43,81.6,0,0,0,0,Satisfactory
Jamaica,JAM,South America,12,7,83.35,74.85,71.94,82.46,95.0,92.52,0,0,0,0,Satisfactory
Japan,JPN,Asia Pacific,71,67,64.37,54.66,53.7,66.23,67.06,80.19,0,0,0,0,Problematic
Jordan,JOR,Middle  East,120,129,48.66,40.0,32.65,41.23,66.0,63.4,0,0,0,0,Difficult
Kazakhstan,KAZ,Asia Pacific,122,155,48.28,43.52,29.8,51.93,52.3,63.85,0,1,3,0,Difficult
Kenya,KEN,Africa,69,102,64.59,62.42,46.33,72.28,78.0,63.92,0,0,0,0,Problematic
Kosovo,XKX,Europe,61,78,67.0,64.34,45.24,80.85,74.33,70.26,0,0,0,0,Problematic
Kuwait,KWT,Middle  East,158,105,37.87,32.73,19.39,36.84,27.0,73.41,0,0,0,0,Very Serious
Kyrgyzstan,KGZ,Asia Pacific,72,79,64.25,59.9,48.64,68.86,69.0,74.83,0,0,0,1,Problematic
Laos,LAO,Asia Pacific,161,172,36.64,36.06,20.92,31.58,44.0,50.64,0,0,0,0,Very Serious
Latvia,LVA,Europe,22,22,79.17,78.96,64.58,80.89,87.36,84.06,0,0,0,0,Satisfactory
Lebanon,LBN,Middle  East,130,107,46.58,50.91,38.27,50.22,60.5,33.02,0,0,1,0,Difficult
