Country,ISO Code,Region,Position 2021,Position 2020,Global Score,With Abuses,Without Abuses,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Afghanistan,AFG,Asia Pacific,122,122,59.81,36.72,65.6,3,3,0,0,Difficult
Albania,ALB,Europe,83,84,69.41,76.02,69.41,0,0,0,0,Problematic
Algeria,DZA,Arab States,146,146,52.74,64.45,52.74,0,0,1,0,Difficult
Andorra,AND,Europe,39,37,76.68,100.0,76.68,0,0,0,0,Satisfactory
Angola,AGO,Africa,103,106,65.94,74.35,65.94,0,0,0,0,Problematic
Argentina,ARG,South America,69,64,71.01,89.01,71.01,0,0,0,0,Problematic
Armenia,ARM,Europe,63,61,71.17,83.91,71.17,0,0,0,0,Problematic
Australia,AUS,Asia Pacific,25,26,80.21,100.0,80.21,0,0,0,0,Satisfactory
Austria,AUT,Europe,17,18,83.66,89.01,83.66,0,0,0,0,Satisfactory
Azerbaijan,AZE,Asia Pacific,167,168,41.23,49.76,41.23,2,0,1,0,Very Serious
Bahrain,BHR,Arab States,168,169,38.9,35.09,39.89,0,0,0,0,Very Serious
Bangladesh,BGD,Asia Pacific,152,151,50.29,48.94,50.29,2,0,5,0,Difficult
Belarus,BLR,Europe,158,153,49.18,38.32,51.76,0,0,38,9,Difficult
Belgium,BEL,Europe,11,12,88.31,93.07,88.31,0,0,0,0,Good
Belize,BLZ,South America,53,53,72.39,100.0,72.39,0,0,0,0,Problematic
Benin,BEN,Africa,114,113,61.82,100.0,61.82,0,0,2,0,Difficult
Bhutan,BTN,Asia Pacific,65,67,71.14,100.0,71.14,0,0,0,0,Problematic
Bolivia,BOL,South America,110,114,64.53,72.27,64.53,0,0,0,0,Difficult
Bosnia-Herzegovina,BIH,Europe,58,58,71.66,89.01,71.66,0,0,0,0,Problematic
Botswana,BWA,Africa,38,39,76.75,93.07,76.75,0,0,0,0,Satisfactory
Brazil,BRA,South America,111,107,63.75,76.02,63.75,0,0,1,0,Difficult
Brunei,BRN,Asia Pacific,154,152,50.09,100.0,50.09,0,0,0,0,Difficult
Bulgaria,BGR,Europe,112,111,62.71,75.15,62.71,0,0,0,0,Difficult
Burkina Faso,BFA,Africa,37,38,76.83,93.07,76.83,2,0,0,0,Satisfactory
Burundi,BDI,Africa,147,160,52.43,60.68,52.43,0,0,0,0,Difficult
Cabo Verde,CPV,Africa,27,25,79.91,100.0,79.91,0,0,0,0,Satisfactory
Cambodia,KHM,Asia Pacific,144,144,53.16,66.68,53.16,0,0,2,0,Difficult
Cameroon,CMR,Africa,135,134,56.22,56.43,56.22,0,0,0,0,Difficult
Canada,CAN,North America,14,16,84.75,100.0,84.75,0,0,0,0,Satisfactory
Central African Republic,CAF,Africa,126,132,58.08,100.0,58.08,0,0,0,0,Difficult
Chad,TCD,Africa,123,123,59.8,62.16,59.8,0,0,0,0,Difficult
Chile,CHL,South America,54,51,72.11,69.55,72.64,0,0,1,0,Problematic
China,CHN,Asia Pacific,177,177,21.28,18.23,21.9,1,1,3,0,Very Serious
Colombia,COL,South America,134,130,56.26,54.36,56.56,1,0,2,0,Difficult
Comoros,COM,Arab States,84,75,69.35,93.07,69.35,0,0,1,0,Problematic
Congo-Brazzaville,COG,Africa,118,118,61.17,76.02,61.17,0,0,1,0,Difficult
Costa Rica,CRI,South America,5,7,91.24,89.01,91.79,0,0,0,0,Good
Croatia,HRV,Europe,56,59,72.05,100.0,72.05,0,0,0,0,Problematic
Cuba,CUB,South America,171,171,36.06,100.0,36.07,0,0,2,0,Very Serious
Cyprus,CYP,Europe,26,27,80.15,83.91,80.15,0,0,0,0,Satisfactory
Czech Republic,CZE,Europe,40,40,76.62,100.0,76.62,0,0,0,0,Satisfactory
Democratic Republic of Congo,COD,Africa,149,150,51.41,56.18,51.41,2,0,2,0,Difficult
Denmark,DNK,Europe,4,3,91.43,100.0,91.43,0,0,0,0,Good
Djibouti,DJI,Arab States,176,176,21.38,89.01,21.38,0,0,0,0,Very Serious
Dominican Republic,DOM,South America,50,55,74.4,93.07,74.4,0,0,0,0,Problematic
