album;song;lyrics;year;views
Music of the Sun;Pon de Replay;"[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

[Verse 1]
It goes one by one, even two by two
Everybody on the floor, let me show you how we do
Let's go, dip it low, then you bring it up slow
Wind it up one time, wind it back once more

[Pre-Chorus]
Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club, give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move
Come


[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

[Post-Chorus]
Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Hey, Mister)
Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up

[Verse 2]
It goes one by one, even two by two
Everybody in the club gon' be rockin' when I'm through
Let the bass from the speakers run through ya sneakers
Move both ya feet and run to the beat


[Pre-Chorus]
Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move

[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

[Post-Chorus]
Hey, Mister (Hey, Mister)
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)
Hey, Mister (Oh, Mister)
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)


[Bridge]
Okay, everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling
Everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling

[Chorus]
Come, Mr. DJ, song pon de replay (Come, Mr. DJ, song pon de replay)
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
(All the gyal pon the dancefloor)
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay (Hey Mr. DJ, boy)
Hey Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?";2005;127800
Music of the Sun;Here I Go Again;"[Intro: Rihanna]
Na-na-na-na-na
Na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na
Na-na-na-na-na
Na-na-na-na-na-oh-na-na-na-na-na-na-na

[Verse 1: Rihanna]
It's been a minute since I saw you, boy
Must admit, it's good to hear your voice
And I guess that I forgot just how you make me feel when you're around
See you haven't lost your sense of style
And you still could melt me with your smile
Can't deny that I still got these feelings deep inside

[Pre-Chorus: Rihanna]
It's funny how things could change, but still remain the same
Isn't love just a crazy game?
Baby, here I go again

[Chorus: Rihanna]
I look into your eyes and then my heart remembers when
And I realize, I've never gotten over you
Every time I hear your name
It's like the sun shined through the rain
And I realize it's happening
Baby, here I go again
Here I go again


[Verse 2: Rihanna]
Still remember how you make me weak
How I fought to find the words to speak
I just can't escape the memories
I tried, but I just can't break free
Thought I closed the door on what we had
But these feelings just keep coming back
Didn't think that you could make me lose control like that

[Pre-Chorus: Rihanna]
It's funny how things could change, but still remain the same
Isn't love just a crazy game?
Baby, here I go again

[Chorus: Rihanna]
I look into your eyes and then my heart remembers when
And I realize, I've never gotten over you
Everytime I hear your name
It's like the sun shined through the rain
And I realize it's happening
Baby, here I go again
Here I go again

[Verse 3: J-Status]
Sweet lovin' is my ting
So you know mi got fi swing
That's why yuh request it again
Without a doubt yuh want to spend
And to experience it again
Because yuh love the way yuh felt back then
So make me light it up again
Reignite the flames again
'Cause I really miss 'dem days when we used to chill
Up on the hill watch the sun set in West Negril
Girl yuh Bajan beauty it a gimme di chill
Not to mention the way you are within'


[Pre-Chorus: Rihanna]
It's funny how things could change, but still remain the same
Isn't love just a crazy game?
Baby, here I go again

[Chorus: Rihanna]
I look into your eyes and then my heart remembers when
And I realize I've never gotten over you
Everytime I hear your name
It's like the sun shined through the rain
And I realize it's happening
Baby, here I go again
Here I go again
Baby, here I go again

[Outro: Rihanna]
Boy, I'm still in love with you, no matter what you do
We belong together forever";2005;6000
Music of the Sun;If It’s Lovin’ That You Want;"[Intro]
I wanna let you know
That you don't have to go
Don't wonder no more
What I think about you

[Chorus]
Now, if it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Baby, come and share my world, share my world, oh
If it's lovin' that you want
Come and take a walk with me, walk with me
'Cause everything that you need, I got it right here baby, baby

[Verse 1]
Now it's obvious you need a friend to come hold you down
Be that one you share your everything when no one's around
Baby, come tell me your secrets, and tell me all your dreams
'Cause I can see you need someone to trust
You can trust in me

[Pre-Chorus]
Di-di-di-di-da-da-dey
So just call me whenever you're lonely
Di-di-di-di-da-da-dey
I'll be your friend, I can be your homie


[Chorus]
If it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Baby, come and share my world, share my world
If it's lovin' that you want
Come and take a walk with me, walk with me
'Cause everything that you need, I got it right here baby, baby

[Verse 2]
It's been so long
I've had this feeling that we could be
Everything you've ever wanted, baby
Your fantasy
I won't push too hard or break your heart, 'cause my love's sincere
I'm not like any other girl you know
So let me erase your fears

[Pre-Chorus]
Di-di-di-di-da-da-dey
So just call me whenever you're lonely
Di-di-di-di-da-da-dey
I'll be your friend, I can be your homie

[Chorus]
If it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Baby, come and share my world, share my world
If it's lovin' that you want
Come and take a walk with me, walk with me, baby
'Cause everything that you need, I got it right here, baby
If it's lovin' that you want
Then you should make me your girl (Make me your girl, baby), your girl
If it's lovin' that you need
Baby, come and share my world (I got what you need, so come share my world), share my world
If it's lovin' that you want
Come and take a walk with me, walk with me
'Cause everything that you need, I got it right here baby, baby


[Pre-Chorus]
Di-di-di-di-da-da-dey
So just call me whenever you're lonely
Di-di-di-di-da-da-dey
I'll be your friend, I can be your homie

[Chorus]
If it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Baby, come and share my world, share my world
If it's lovin' that you want
Come and take a walk with me, walk with me (Come and take a walk with me)
'Cause everything that you need, I got it right here, baby, baby

[Outro]
I wanna let you know
That you don't have to go
Don't wonder no more
What I think about you
What I think about you, boy
I got what you need so come share my world, oh
No, no";2005;27100
Music of the Sun;You Don’t Love Me (No, No, No);"[Intro: Vybz Kartel]
Vybz Kartel
Rihanna
You know, my love for you's the highest
Please say yes

[Chorus: Rihanna & Vybz Kartel]
No, no, no
You don't love me and I know now (I love you with my heart and soul)
No, no, no (Baby)
You don't love me, so let me go now
(I can't let you go, can't let you go)
If you ask me, baby (Baby), I shoulda left you (When?) a long time ago, no
(Timeless)

[Verse 1: Rihanna & Vybz Kartel]
Playas gonna play (I don't play)
At least that's what they say
Well, I know that for myself now
(You know I love you)
You said you loved me babe (To my heart)
And then you played your game (Me?)
A game that I know all too well now (Easy girl, you know I'm sorry)
Well, I used to buy your lines, but it's time for me to sail now

[Chorus: Rihanna & Vybz Kartel]
No, no, no (No-n-n-no-no, oh)
You don't love me and I know now (You don't love me and I know)
No, no, no (No, no, no, oh no)
You don't love me (Love me), so let me go now
(I can't let you go, can't let you go)
So let me go now (No, can't let you go)
If you ask me, baby, I shoulda left you a long time ago, no (A long time ago)


[Verse 2: Vybz Kartel]
First you tellin' me no, but please tell me yes
Without some of this stress
Straight up tell me yes
Gimme the keys to ya chest
Ya chest will rise neva rest
As ya chest you got me feelin' like I'm climbin' on Mount Everest
Hey Rihanna, your lovin' really put me to the test
But if you shoulda let me
Soon the answer will yes
Yes to this yes, yes to that yes, to whateva you suggest
So please say yes

[Verse 3: Rihanna & Vybz Kartel]
No, no, no
Haters gonna hate (Let them hate)
I found out much too late
I think I know we're a little hot now (Feel mature with my pride)
The truth leads to the lies
The heart ain't always right (I know that)
And I see that love is blind now (I can show you)
Boy, you used to have my trust
Without trust, there ain't no us, boy

[Chorus: Rihanna & Vybz Kartel]
No, no, no (No-n-n-no-no, oh)
You don't love me (You don't love me) and I know now
(Love you forever with all my heart)
No, no, no (No, no, no, baby)
You don't love me, so let me go now
(let me go, let me go, let me go, baby)
(I can't let you go, can't let you go)
If you ask me (If you ask me), baby (Baby), I shoulda left you (I shoulda left you) a long time ago, no
Can't let you go
So please suggest
No, no, no (It's so over, baby)
(I know)
You don't love me (You don't love me)
And I know (And I know) now
No, no, no";2005;7300
Music of the Sun;That La, La, La;"[Intro]
Here we go
(Oh) la, la, la, la, la, yeah
(Oh) la, la, la, la, la, uh
(Oh) la la la la la la
Rihanna
Oh la, oh la, oh la, oh la
(Oh) la, la, la, la, la (Uh-huh) yeah
(Oh) la, la, la, la, la (Oh-oh-oh-oh) sing it
(Oh) la, la, la, la, la, come on
Oh la, oh la, oh la, oh la, oh

[Verse 1]
You said we girls, but all the while
You look at my man with a funny smile
Now I don't know, it might be me
But ain't no need to bump so tightly
That night we all hangin' at the club
You tell Mr. DJ wanna rub a dub
When I don't look
You took a chance to ask my man to come and dance

[Pre-Chorus]
What me and he got
Solid as a rock, so take your shot
Don't even waste your time
'Cause a love like ours is hard to find (Oh, oh, oh, oh)


[Chorus]
(Oh) 'Cause he's got me singing that la la la
(Oh) Our love is strong, yes, it's keeping me fortified
(Oh) Oh yes, he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
(Oh) He got me singing that la la la
(Oh) So fall back, don't be hit and you can't deny
(Oh) Oh yes, he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right

[Verse 2]
I hope you take this as a lesson learned
This ain't that kind of party, so just let it burn
The next time you see me act like you know
I don't play those games, don't take me for a joke

[Pre-Chorus]
What me and he got
Solid as a rock, so take your shot
Don't even waste your time
'Cause a love like ours is hard to find
(Oh, oh, oh, oh)

[Chorus]
(Oh) 'Cause he's got me singing that la la la
(Oh) Our love is strong, yes, it's keeping me fortified
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
(Oh) He got me singing that la la la
(Oh) So fall back, don't be hit and you can't deny
(Oh) Oh yes, he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right


[Interlude]
Oh-oh-oh-oh-oh, yeah, Rihanna
Oh, whoa, here we go
We got, we got, what him and me, we got, we got

[Chorus]
(Oh) 'Cause he's got me singing that la la la
(Oh) So fall back, don't be hit and you can't deny
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
You better get it right
We got it, we got it, we we we got it
(He's the only one I need)
We got it, we got it, we we we got it
(He's the only one I need)
We got it, we got it, we we we got it
(He's the only one I need)
(Oh) 'Cause he's got me singing that la la la
(Oh) So fall back, don't be hit and you can't deny
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
(Oh) He's got me singing that la la la
(Oh) Our love is strong yes it's keeping me fortified
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
(Oh) 'Cause he's got me singing that la la la
(Oh) So fall back, don't be hit and you can't deny
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right
(Oh) He's got me singing that la la la
(Oh) Our love is strong yes it's keeping me fortified
(Oh) Oh yes he keep it rocking like la la la
(Sing) (Oh, oh, oh, oh) Ladies get it right, better get it right";2005;0
Music of the Sun;The Last Time;"[Verse 1]
Once was a time you and I
Made a promise till the day we die
I trusted each and every word
Never thinking that I'd get burned
Silly me, I believed in your fairy tales
Boy, I thought that I knew you so very well
But you walked on my pride, all the tears that I cried
And it cuts like a knife

[Chorus]
It's the last time you're ever gonna kiss these lips
Or ever will deceive these eyes
Believe me when I tell you this
Baby boy, it's the last time
I'm ever gonna cry these tears
I'm never gonna hear your lies
So listen while I make it clear
In case you didn't hear
This time's the last time, there's no time to give it one more try
There's only time to say goodbye

[Verse 2]
Fool me once, shame on you
Fool me twice, now this song is through
The things you said, I can never forget
The things you did fill my heart with regret
But I'm still standing tall as I walk away
And you know that it's true when you hear me say
It's over, it's through
Ain't a thing you can do, boy
It's sad, but it's true


[Chorus]
It's the last time you're ever gonna kiss these lips
Or ever will deceive these eyes (Ever will deceive these eyes)
Believe me when I tell you this
Baby boy, it's the last time
I'm ever gonna cry these tears
No, I'm never gonna hear your lies (Hear your lies)
So listen while I make it clear (Make it clear)
Incase you didn't hear
This time's the last time, there's no time to give it one more try
There's only time to say goodbye

[Breakdown]
Goodbye
No, baby
Oh, silly me, I believed in your fairytales
Boy, I thought that I knew you so very well
But you walked on my pride, all the tears that I cried
And it cuts like a knife

[Chorus]
It's the last time you're ever gonna kiss these lips (Ever gonna kiss these lips)
Or ever will deceive these eyes
Believe me when I tell you this
Baby boy, it's the last time (It's the last time)
I'm ever gonna cry these tears
I'm never gonna hear your lies (Never gonna hear your lies)
So listen while I make it clear
In case you didn't hear
This time's the last time, there's no time to give it one more try
Ain't a thing you can do but wonder why
There's only time to say goodbye


[Outro]
Baby, goodbye
Cause I'm never gonna, never gonna cry no more
Goodbye, goodbye
Ohh";2005;0
Music of the Sun;Willing to Wait;"[Verse 1]
Baby, slow down
Just hear me out
There's something I gotta let you know
No need to push
No need to rush
You know you had me from 'hello'

[Pre-Chorus 1]
When it comes to my heart, I don't play
Baby boy, can't you see the stop sign?
You're moving much too fast
Baby, love doesn't grow in a day
Just get it right the first time
Make this feeling last

[Chorus]
Baby, if you're willing to wait, we can just take our time (Take our time)
Don't you know that it's getting late?
And I know what's on your mind
I know this feeling is crazy
It's mutual baby
But we don't have to rush something real
Baby, if you're willing to wait, we can just take our time (Take our time)

[Verse 2]
Boy, can't you see?
I'm not tryna be the girl who gets taken for a ride
You take your time, and you will find there's so much more to me inside
And you say there's no need to delay
You're telling me to trust you
Boy, you know I want to, baby
But my heart, it's so recently break
Before we take this very far, show me who you really are


[Chorus]
Baby, if you're willing to wait, we can just take our time (Take our time)
Don't you know that it's getting late?
And I know what's on your mind (I know, baby, baby, yeah, yeah)
I know this feeling is crazy (Crazy)
It's mutual, baby (Mutual, baby)
But we don't have to rush something real
Baby, if you're willing to wait, we can just take our time (Take our time)

[Pre-Chorus 2]
Hey baby
Baby, love doesn't grow in a day
Just get it right the first time
And make this feeling last

[Chorus]
Baby, if you're willing to wait, we can just take our time (Take our time)
Don't you know that it's getting late? (It's getting late)
And I know what's on your mind (And I know just what's on your mind, your mind, your mind, mind)
I know this feeling is crazy
It's mutual, baby
But we don't have to rush something real
We don't have to rush it
Baby, if you're willing to wait, we can just take our time (Take our time)
Our time
Don't you know that it's getting late?";2005;0
Music of the Sun;Music of the Sun;"[Intro]
Oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh, yeah

[Verse 1]
Listen, closely
Hear the music playin'
Let it take you to places far away and relax your senses
Just do what you wanna do
No need for questions
It's only for you

[Pre-Chorus]
And it's so amazing, oh, how you can't escape it
The movement takes you and never let's you go

[Chorus]
Can't you feel the music in the air?
Close your eyes, let the rhythm take you there
Doesn't matter who you are or where you're from
Come and dance to the music of the sun
Forget about your troubles, it's alright
Let 'em go 'til we see the morning light
Feel the beat as our bodies move as one
Come and dance to the music of the sun (The sun)
Come and dance to the music of the sun, the sun (The sun, yeah)


[Verse 2]
So real, so right
Can't explain the feeling
Like the sunlight brings to life new meaning
No need for stress (No need for stress)
Save that for another day
No second guessing
Just trust me when I say

[Pre-Chorus]
And it's so amazing, oh, how you can't escape it
The movement takes you and never let's you go

[Chorus]
Can't you feel the music in the air?
Close your eyes, let the rhythm take you there (Let the rhythm take you there)
Doesn't matter who you are or where you're from
Come and dance to the music of the sun (Music of the sun)
Forget about your troubles, it's alright
Let them go 'til we see the morning light (See the morning light)
Feel the beat as our bodies move as one
Come and dance to the music of the sun (Come and dance to the music of the sun)
Come and dance to the music of the sun, the sun (Of the sun, oh, yeah)

[Pre-Chorus]
And it's so amazing, oh, how you can't escape it
The movement takes you and never let's you go


[Chorus]
Can't you feel the music in the air?
Close your eyes, let the rhythm take you there (Let the rhythm take you there)
Doesn't matter who you are or where you're from
Come and dance to the music of the sun
Forget about your troubles, it's alright (It's alright, it's alright)
Let 'em go 'til we see the morning light
Feel the beat as our bodies move as one
Come and dance to the music of the sun (Come and dance to the music of the sun)
Come and dance to the music of the sun
Let it take you far
Come and dance to the music of the sun
It'll take you far away, far away
Come and dance to the music of the sun
Can't you feel the music in the air?
Close your eyes, let the rhythm take you there
Doesn't matter who you are or where you're from
Come and dance to the music of the sun";2005;0
Music of the Sun;Let Me;"[Chorus]
Boy, let me, let me
Why don't you let me, let me?
Boy, let me, let me
Let me do those things for you
Boy, let me, let me
Why don't you let me, let me?
Boy, let me, let me
Let me do those things for you

[Verse 1]
I've been watching you from way 'cross the room
Won't ya come and rock it out with me?
You catchin' eyes like you catchin' ties
Over here's where you wanna be
It's so familiar, like we've met somewhere before
And I'm tired of waitin', baby, why you still debating baby?

[Pre-Chorus]
Want me, come and whisper in your ear
All the things you love to hear
I wanna come play nice with you
'Cause if I get you alone, I don't know what I might do
And I think that it's about time we leave
'Cause boy, you're my type
You got me so excited
Baby, let's go dance away


[Chorus]
So let me come and get ya right
Boy, let me fill your appetite
Won't you let me know what it is you like?
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once, you 'gon want some more
Boy, let me, let me, let me
Let me do those things for you
Boy, let me, let me
Why don't you let me, let me?
Boy, let me, let me
Let me do those things for you

[Verse 2]
I'm walkin' over to you, meet me by the door
I'm the girl in the seven inch heels
I got my keys in my hand
Maybe S's on my arms, so guess you know what it is
So act like you know
'Cause a girl just wanna have fun
Knock it out the park for me
Need ya to hit a home run, boy

[Pre-Chorus]
Want me, come and whisper in your ear
All the things you love to hear
I wanna come play nice with you
'Cause if I get you alone, I don't know what I might do
And I think that it's about time we leave
'Cause boy, you're my type
You got me so excited
Baby, let's go dance away


[Chorus]
So let me come and get ya right
Boy, let me fill your appetite
Won't you let me know what it is you like?
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once, you 'gon want some more
Boy, let me, let me, let me
Let me do those things for you

[Bridge]
Let too much to talk about it
Not into me, boy, I doubt it
You are gonna scream and shout it
Make you hot how I move my body
So crazy, so amazing
Catch you up and make you chase it
Let me, let me, baby
Let me do those things for you

[Chorus]
So let me come and get ya right
Boy, let me fill your appetite
Won't you let me know what it is you like?
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once, you 'gon want some more
Boy, let me, let me, let me
Let me do those things for you
Boy, let me, let me
Why don't you let me, let me?
Boy, let me, let me
Let me do those things for you
Boy, let me, let me
Why don't you let me, let me?
Boy let me, let me
Let me do those things for you";2005;0
Music of the Sun;Rush;"[Intro: Kardinal Offishall]
Start time, no
Miss Rihanna
Kardinal Offishall
Celebrity face
The galdem rush to feel the ill touch
Galdem ball and gyal them a scream
They think ita love, but a lust
Thats why a bad gyal beside is a must for I bust
She's the angel of me conscious
Yo, yo, yo

[Verse 1: Rihanna]
Never thought that I could feel something so strong
I wanna hold onto this moment before it's gone
I wanna hold your body close, it's callin' to me
And when I look into your eyes, I'm likin' what I see
Boy, don't hold back from me
Just give me everything you got
I wonder I can keep
I know you're gonna keep it hot

[Chorus: Rihanna]
I catch a rush, boy
Whenever we touch, I go crazy
I'm feeling you, baby
I trip like this, boy
Whenever we kiss, I can't take it
You know I can't fake it


[Verse 2: Kardinal Offishall]
Yo yo yo
Well, I'm back with the boys and I knowin' that
Don't watch my face my gyal, you know I'm coming back
Most of mea gyal them slide off easy like a thunderclap
When I see you from the back, you know me need all a dat
Yo, yo, yo

[Verse 3: Rihanna]
Don't even know your name
But this feels so right
It's like I've known you boy for all of my life
Don't need to say a word
We both understand
And my eyes are telling you
Catch me if you can
I'm falling faster now
You know you got me where you want
Too late I can't slow down
No way we're ever gonna stop

[Chorus: Rihanna]
I catch a rush, boy
Whenever we touch, I go crazy (I go crazy)
I'm feeling you baby
I trip like this, boy
Whenever we kiss, I can't take it
You know I can't fake it


[Bridge: Kardinal Offishall & (Rihanna)]
(No, I can't take it)
(No, I can't take it)
(No, no)
My girl turn it around and cut it out
And come a little close so you feel what I'm 'bout here
(No, I can't take it)
(No, I can't take it)
(No, no)
My girl turn it around bring it near
Let me show you a thing dat a done ya career

[Bridge: Rihanna]
I'm falling faster now
You know you got me where you want
Too late, I can't slow down
No way we're ever gonna stop

[Chorus: Rihanna]
I catch a rush, boy
Whenever we touch, I go crazy
I'm feeling you, baby
I trip like this boy
Whenever we kiss ,I can't take it
You know I can't fake it
I catch a rush, boy
Whenever we touch, I go crazy
I'm feeling you, baby";2005;0
