Month,Kim Kardashian: (Worldwide),Khloé Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide),id
2007-01,2,<1,<1,<1,2,1
2007-02,12,<1,<1,<1,2,2
2007-03,9,<1,<1,<1,1,3
2007-04,6,<1,<1,<1,1,4
2007-05,6,<1,<1,<1,2,4
2007-06,5,<1,<1,<1,1,5
2007-07,6,<1,<1,<1,1,6
2007-08,6,<1,<1,<1,1,6
2007-09,7,<1,<1,<1,1,7
2007-10,13,<1,<1,<1,2,8
2007-11,17,<1,<1,<1,2,9
2007-12,17,<1,1,<1,2,9
2008-01,13,<1,<1,<1,2,10
2008-02,10,<1,<1,<1,2,11
2008-03,14,<1,<1,<1,1,12
2008-04,15,<1,<1,<1,2,13
2008-05,15,<1,<1,<1,2,13
2008-06,13,<1,<1,<1,2,14
2008-07,12,1,<1,<1,2,15
2008-08,16,<1,<1,<1,1,16
2008-09,14,<1,<1,<1,1,17
2008-10,13,<1,<1,<1,1,18
2008-11,11,<1,<1,<1,1,19
2008-12,12,1,<1,<1,1,20
2009-01,12,<1,<1,<1,1,20
2009-02,10,<1,<1,<1,1,21
2009-03,14,1,1,<1,1,22
2009-04,15,1,1,<1,1,23
2009-05,15,1,1,<1,1,23
2009-06,12,1,1,<1,1,24
2009-07,15,1,1,<1,1,25
2009-08,16,2,4,<1,1,26
2009-09,14,7,3,<1,1,27
2009-10,13,4,3,<1,1,28
2009-11,14,3,2,<1,1,29
2009-12,16,3,3,<1,1,30
2010-01,19,2,2,<1,1,31
2010-02,20,2,3,1,1,32
2010-03,18,2,2,<1,1,33
2010-04,25,2,2,<1,1,34
2010-05,20,2,1,<1,1,35
2010-06,22,4,3,1,1,36
2010-07,22,4,4,1,2,36
2010-08,26,4,4,2,1,37
2010-09,25,3,2,1,1,38
2010-10,28,3,2,1,1,39
2010-11,22,2,2,1,1,40
2010-12,26,3,3,1,1,41
2011-01,27,3,3,1,1,42
2011-02,34,2,4,1,1,43
2011-03,22,2,3,1,1,44
2011-04,19,4,3,1,1,45
2011-05,23,4,2,1,1,46
2011-06,25,5,2,1,1,47
2011-07,22,3,2,1,1,48
2011-08,44,3,3,3,2,49
2011-09,29,3,2,2,1,50
2011-10,36,3,3,1,1,51
2011-11,51,3,4,2,1,52
2011-12,32,4,6,2,2,53
2012-01,29,6,6,2,1,54
2012-02,26,4,4,1,1,55
2012-03,26,4,3,2,1,55
2012-04,28,5,3,2,1,56
2012-05,27,5,3,2,2,57
2012-06,32,3,4,2,2,58
2012-07,27,3,7,3,2,59
2012-08,29,3,4,3,2,60
2012-09,26,4,4,2,2,61
2012-10,25,4,3,2,2,62
2012-11,24,5,3,2,2,63
2012-12,29,3,2,2,2,64
2013-01,37,4,4,2,2,65
2013-02,29,3,4,2,2,66
2013-03,34,3,4,2,3,67
2013-04,35,3,4,2,2,68
2013-05,32,3,3,3,2,69
2013-06,61,4,3,3,3,70
2013-07,30,5,3,3,3,71
2013-08,28,7,4,3,4,72
2013-09,23,7,2,2,3,73
2013-10,33,6,2,3,3,74
2013-11,28,5,2,7,3,75
2013-12,27,6,2,6,3,76
2014-01,24,6,2,5,3,77
2014-02,22,5,2,7,3,78
2014-03,25,5,2,4,4,79
2014-04,24,4,2,3,4,80
2014-05,36,5,2,5,6,81
2014-06,33,6,5,6,6,82
2014-07,35,6,3,4,5,83
2014-08,37,5,3,5,6,84
2014-09,45,4,4,6,5,85
2014-10,28,4,2,4,6,86
2014-11,100,7,5,5,8,87
2014-12,39,6,8,6,8,88
2015-01,32,5,4,6,10,89
2015-02,40,6,3,7,12,90
2015-03,36,5,3,6,10,91
2015-04,31,5,3,9,26,92
2015-05,33,5,3,9,16,93
2015-06,37,5,3,8,13,94
2015-07,32,7,8,8,17,95
2015-08,33,6,4,8,25,96
2015-09,30,5,3,7,20,97
2015-10,27,12,4,7,14,98
2015-11,25,7,4,11,18,99
2015-12,38,7,8,9,18,100
2016-01,27,8,5,11,15,101
2016-02,29,8,3,8,17,102
2016-03,45,6,4,8,17,103
2016-04,25,5,3,8,21,104
2016-05,25,5,4,7,22,104
2016-06,25,7,3,7,19,104
2016-07,31,6,4,6,21,105
2016-08,27,4,3,7,23,106
2016-09,25,5,2,6,17,107
2016-10,42,5,2,5,17,108
2016-11,20,5,2,7,21,109
2016-12,21,4,3,6,20,110
2017-01,21,4,3,5,16,110
2017-02,17,3,2,4,14,111
2017-03,15,3,2,4,11,112
2017-04,21,3,3,8,14,113
2017-05,17,3,4,6,12,114
2017-06,16,5,2,4,13,115
2017-07,17,3,2,4,12,116
2017-08,15,3,2,4,16,117
2017-09,17,6,2,4,31,118
2017-10,19,5,3,5,16,119
2017-11,20,5,2,4,14,120
2017-12,17,6,3,3,16,121
2018-01,24,6,3,4,18,122
2018-02,21,5,3,4,36,123
2018-03,16,5,3,4,12,124
2018-04,19,23,3,4,11,125
2018-05,17,7,2,5,12,126
2018-06,17,4,2,4,8,126
2018-07,16,4,3,4,17,127
2018-08,19,4,5,4,14,128
2018-09,14,3,2,6,9,129
2018-10,15,3,2,3,8,130
2018-11,16,4,2,4,10,131
2018-12,14,3,2,4,9,132
2019-01,14,3,2,4,10,132
2019-02,13,9,2,4,14,133
2019-03,12,10,2,3,16,134
