,Tweet,Timestamp
0,RT @AamAadmiParty: CM @ArvindKejriwal's Press Conference after personally reviewing Delhi's preparedness to fight the challenge of #Omicron…,2021-12-23 13:12:33+00:00
1,RT @Subramanian_ma: தமிழ்நாட்டில் ஒமிக்ரான் தொற்றால் பாதிக்கப்பட்ட முதல் நபர் நலமுற்று இல்லம் திரும்புதல் #masubramanian #TNHealthminister…,2021-12-23 13:12:32+00:00
2,"RT @AamAadmiParty: .@ArvindKejriwal govt prepared to fight #Omicron :

▪️Built a capacity for 3 LAKH TESTS/DAY
▪️Prepared to deal with 1 LA…",2021-12-23 13:12:30+00:00
3,"RT @mindingottawa: Lib MP is shamed for taking sun holiday in breach of feds' #Omicron travel advisory: ""I was profoundly disappointed"" htt…",2021-12-23 13:12:30+00:00
4,"@ZSolidaire Hallo, please find the unroll here: 1️⃣ FFP2 vs masque chirurgical Face au risque #Omicron Pourquoi le…… https://t.co/60mNulRW1q",2021-12-23 13:12:28+00:00
5,RT @Zgancedo: #navidad2021 #feliznavidad #coronaviruspandemic #sextaola #omicron #mascarilla #lavadodemanos #distanciasocial #respeto #conc…,2021-12-23 13:12:27+00:00
6,"RT @HistoireSecrete: #Coronavirus #Omicron 
On va relayer une etude publiée ce jour 
par ONS  (office national de la statistique 🇬🇧 )
qui v…",2021-12-23 13:12:25+00:00
7,RT @Subramanian_ma: தமிழ்நாட்டில் ஒமிக்ரான் தொற்றால் பாதிக்கப்பட்ட முதல் நபர் நலமுற்று இல்லம் திரும்புதல் #masubramanian #TNHealthminister…,2021-12-23 13:12:25+00:00
8,RT @ArturoErdely: #COVID19mx ¿Es en serio clases presenciales en enero con #ómicron creciendo por todos lados y apenas vacunados con 1 de #…,2021-12-23 13:12:25+00:00
9,RT @GargiRawat: PM addressing a massive gathering in Varanasi. Later today he will chair a meeting on the threat from the Omicron variant #…,2021-12-23 13:12:23+00:00
10,RT @the_hindu: The #Centre on December 23 advised States slated to hold Assembly polls in the next few months to ramp up #Covid vaccination…,2021-12-23 13:12:23+00:00
11,"RT @RankaHospitals: For Inquiry,
Call: 73876 01495

#rankamultispecialityhospital #rankahospital #rankahospitalpune #pune #covid19vaccinati…",2021-12-23 13:12:22+00:00
12,"RT @DrEricDing: Jeeez— UK’s #Omicron wave is so stratospherically huge… that today’s per capita incidence would be equal to ~515,000 new ca…",2021-12-23 13:12:22+00:00
