episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
1,1,BluePine Industries,Frozen Momos,1,50,5,1000,75,16,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25,5.333333333
1,2,Booz scooters,Renting e-bike for mobility in private spaces,1,40,15,266.67,40,50,80,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20,25
1,3,Heart up my Sleeves,Detachable Sleeves,1,25,10,250,25,30,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15
2,4,Tagz Foods,Healthy Potato Chips,1,70,1,7000,70,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70,2.75
2,5,Head and Heart,Brain Development Course,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,6,Agro tourism,Tourism,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,Qzense Labs,Food Freshness Detector,0,100,0.25,40000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,8,Peeschute,Disposable Urine Bag,1,75,4,1875,75,6,1250,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,6
3,9,NOCD,Energy Drink,1,50,2,2500,20,15,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20,15
4,10,Cosiq,Intelligent Skincare,1,50,7.5,666.67,50,25,200,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25,12.5
4,11,JhaJi Achaar,Pickle,0,50,10,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,12,Bummer,Underwear,1,75,4,1875,75,7.5,1000,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75
5,13,Revamp Moto,E-Bike,1,100,1,10000,100,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50,0.75
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,15,Shrawani Engineers,Belly Button Shaper,0,10,20,50,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,16,Skippi Pops,Ice-Pops,1,45,5,900,100,15,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20,3
6,17,Menstrupedia,Menstrual Awareness Comic,1,50,10,500,50,20,250,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50,20
6,18,Hecolll,Pollution Resistant Fabric,0,100,1,10000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,19,Raising Superstars,Child Development App,0,100,2,5000,100,4,2500,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50,2
