index,id,name,normalized_name,gender
0,7,Children,children,
1,12,Mechanical Santa,mechanical santa,
2,13,Tattoo Man,tattoo man,
3,16,DOCTOR ZITSOFSKY,doctor zitsofsky,
4,20,Students,students,
5,24,Little Boy,little boy,
6,26,Lewis Clark,lewis clark,
7,27,Little Girl,little girl,
8,29,Bubbles,bubbles,
9,30,Moldy,moldy,
10,34,Ticket Seller,ticket seller,
11,35,Elf #1,elf 1,
12,36,Elves,elves,
13,37,Dog's Owner,dogs owner,
14,39,Kids,kids,
15,41,Conductor,conductor,
16,42,Secretary,secretary,
17,46,Sydney,sydney,
18,47,Cecile Shapiro,cecile shapiro,
19,48,Ian,ian,
20,49,Calvin,calvin,
21,50,"Martin Prince, Sr.",martin prince sr,
22,51,Richard,richard,
23,53,Wendell Borton,wendell borton,
24,57,Smilin' Joe Fission,smilin joe fission,
25,58,Rod #1,rod 1,
26,59,Rod #2,rod 2,
27,60,RODS,rods,
28,61,Workman #1,workman 1,
29,62,Foreman,foreman,
30,63,TERRI & SHERRI,terri sherri,
31,64,PUNK TEENAGER,punk teenager,
32,65,Tv Announcer #1,tv announcer 1,
33,66,Tv Announcer #2,tv announcer 2,
34,67,Jingle Chorus,jingle chorus,
35,68,Sylvia Winfield,sylvia winfield,
36,69,Old Man Winfield,old man winfield,
37,70,Councilman #1,councilman 1,
38,72,Councilman #2,councilman 2,
39,73,COUNCILMEN #1/#2,councilmen 12,
40,74,Demonstrator #1,demonstrator 1,
41,75,Crowd,crowd,
42,76,MR. GAMMILL,mr gammill,
43,77,TOM,tom,
44,78,Mrs. Long,mrs long,
45,79,Wife #1,wife 1,
46,80,Wife #2,wife 2,
47,81,Other Women,other women,
48,82,Nice Father,nice father,
49,83,Nice Boy,nice boy,
50,84,NICE GIRL,nice girl,
51,85,Nice Mother,nice mother,
52,86,NICE FAMILY,nice family,
53,87,Williams Boy,williams boy,
54,88,Mr. Williams,mr williams,
55,89,BOXING ANNOUNCER,boxing announcer,
56,92,TV-STATION ANNOUNCER,tv-station announcer,
57,93,Tv Wife,tv wife,
58,94,Tv Husband,tv husband,
59,95,Small Boy,small boy,
60,97,Pawn Broker,pawn broker,
61,99,Homer-ish Husband,homer-ish husband,
62,100,Weasel #1,weasel 1,
63,102,ALL AT THE TABLE,all at the table,
64,103,Kid,kid,
65,104,Weasel #2,weasel 2,
66,105,Maggie Simpson,maggie simpson,
67,106,Homer's Image,homers image,
68,107,Elderly Gentleman,elderly gentleman,
69,109,All,all,
70,1,Marge Simpson,marge simpson,f
71,8,Bart Simpson,bart simpson,m
72,9,Lisa Simpson,lisa simpson,f
