index,id,name,normalized_name
0,1,Street,street
1,2,Car,car
2,3,Springfield Elementary School,springfield elementary school
3,4,Auditorium,auditorium
4,5,Simpson Home,simpson home
5,6,KITCHEN,kitchen
6,7,SHOPPING MALL PARKING LOT,shopping mall parking lot
7,8,Springfield Mall,springfield mall
8,9,The Happy Sailor Tattoo Parlor,the happy sailor tattoo parlor
9,10,Springfield Nuclear Power Plant,springfield nuclear power plant
10,11,PLANT,plant
11,12,DERMATOLOGY CLINIC,dermatology clinic
12,13,Laboratory,laboratory
13,14,Circus of Values,circus of values
14,15,Moe's Tavern,moe tavern
15,16,Santa School,santa school
16,17,Santa's Workshop,santa workshop
17,18,WORKSHOP,workshop
18,19,PERSONNEL OFFICE,personnel office
19,20,Springfield Downs Dog Track,springfield downs dog track
20,21,SPRINGFIELD DOWNS,springfield downs
21,22,PADDOCK,paddock
22,23,SPRINGFIELD DOWN,springfield down
23,24,SPRINGFIELD DOWNS PARKING LOT,springfield downs parking lot
24,25,Simpson Living Room,simpson living room
25,26,Springfield Elementary School Playground,springfield elementary school playground
26,27,CLASSROOM,classroom
27,28,Skinner's Office,skinner office
28,29,Homer's Car,homer car
29,30,NEW SCHOOL,new school
30,31,Opera House,opera house
31,32,OLD SCHOOL,old school
32,33,NEW CLASSROOM,new classroom
33,34,SCHOOL BUILDING,school building
34,35,Simpson Back Porch,simpson back porch
35,36,Bus,bus
36,37,Road,road
37,38,Conference Room,conference room
38,39,COFFEE ROOM,coffee room
39,40,Bar,bar
40,41,Berger's Burgers,berger burgers
41,42,REFRIGERATOR,refrigerator
42,43,Bart's Bedroom,bart bedroom
43,44,Simpson Backyard,simpson backyard
44,45,Simpson Neighborhood,simpson neighborhood
45,46,Master Bedroom,master bedroom
46,47,LIVING ROOM,living room
47,48,Springfield Town Hall,springfield town hall
48,49,CITY COUNCIL CHAMBERS,city council chambers
49,50,Park,park
50,51,Burns's Office,burns office
51,52,A BUMPY DIRT ROAD,a bumpy dirt road
52,53,Burns Manor,burns manor
53,54,ANOTHER PART OF THE ROAD,another part of the road
54,55,Burns's Back Yard,burns back yard
55,56,NURSERY,nursery
56,57,Backyard,backyard
57,58,DIRT ROAD,dirt road
58,59,Simpson Dining Room,simpson dining room
59,60,NEIGHBOR #1'S HOUSE,neighbor 1 house
60,61,WILLIAMS' HOUSE,williams house
61,62,WILLIAMS DEN,williams den
62,63,WILLIAMS' LAWN,williams lawn
63,64,Another House,another house
64,65,PAWN SHOP,pawn shop
65,66,Family Therapy Center,family therapy center
66,67,Dr. Monroe's Office,dr monroe office
67,68,DR. MONROE'S LABORATORY,dr monroe laboratory
68,69,Waiting Room,waiting room
