Dataset,MSE,R2
BTC-SGD,487166380.6547556,-0.002359777134693042
ETH-SGD,273535.8876426767,0.8799695366563999
USDT-SGD,0.0010223600132806723,-0.5764617550621147
BNB-SGD,279.87271941085197,0.9948980903761833
USDC-SGD,0.0005313402026935323,0.32547099838322024
XRP-SGD,0.001734074181543134,0.9908861729976687
STETH-SGD,1526964.2822750201,-0.00027972551591748385
ADA-SGD,0.0037017335681282988,0.9926488876967566
DOGE-SGD,0.00017276835210000994,0.9861843799788907
WTRX-SGD,5.0155959335168965e-05,0.8506613319096874
SOL-SGD,41.14975137736262,0.9932988584751569
TRX-SGD,0.00011463956772452073,0.9277645631748151
TON11419-SGD,0.010742773196307192,0.9893273382389838
DAI-SGD,0.0003916894245716182,0.5420608696017173
DOT-SGD,0.9034080699744835,0.9967415420750168
MATIC-SGD,0.003523916706599079,0.9952017316518764
LTC-SGD,72.10145458511721,0.9901064199823081
WBTC-SGD,412806935.66991794,-0.006955938747146506
SHIB-SGD,34.38990937895645,-117706788994.3928
BCH-SGD,37726.563206729814,0.8870502220938329
XLM-SGD,0.0033042893763724247,0.8882389033488949
LEO-SGD,0.16985173562653846,0.9614929510056034
AVAX-SGD,14.76790839470792,0.9904165940520948
LINK-SGD,0.7374501604895217,0.9953160030897645
TUSD-SGD,0.012022705286243175,-16.60146233158545
