Dataset,Linear Regression,Ridge Regression,Random Forest Regressor,Decision Tree Regressor,Gradient Boosting Regressor,XGBoost Regressor
BTC-SGD,0.9997026858539726,0.9997026858541046,0.9994708346967289,0.9990148574937604,0.9994008488313986,0.9993572714051508
ETH-SGD,0.9993111665715607,0.9993111665517828,0.9986336552360032,0.9981034296282543,0.998486871097549,0.9984464202618845
USDT-SGD,0.9736312382400863,0.9314834774272627,0.9667910710577394,0.9536601831727082,0.9637107816271899,0.9666787371589567
BNB-SGD,0.9993809598434054,0.9993809599138399,0.998796207643416,0.9981651141469046,0.9988494710684999,0.9986260891012996
USDC-SGD,0.9765923284558099,0.880117103773687,0.9800597348257671,0.9710687605449223,0.9771932290837271,0.9791059897499748
XRP-SGD,0.9867891861083056,0.9902311363283451,0.991854615803895,0.9867530012755089,0.9920899396990969,0.9918595013828739
STETH-SGD,0.9971517180736905,0.9971517182501196,0.9954543380473794,0.9929777220011585,0.9951878865680385,0.994591086775012
ADA-SGD,0.9988444300413113,0.9988427461512741,0.9980011273506014,0.9959019078359238,0.9975873751633668,0.9976862637935674
DOGE-SGD,0.9975320929156049,0.9962824866867338,0.9965387821386735,0.9957802263282092,0.9962992127134407,0.9949169271667812
WTRX-SGD,0.9931927056783079,0.5201644360160781,0.9852478126467188,0.9738318609229265,0.9862838110391845,0.9817382784624235
SOL-SGD,0.9988613696605912,0.9988612800377106,0.9974992450573715,0.9972859745844465,0.9974732565817875,0.9971957254343751
TRX-SGD,0.9944163760957379,0.9701824613641598,0.981988568169628,0.9847537314804896,0.9848960551508925,0.9801324356858413
TON11419-SGD,0.9879006702812305,0.9869227384373359,0.9794275058508538,0.9552731912793873,0.9813132583890349,0.9749233012081916
DAI-SGD,0.9568924399623073,0.8633660291928013,0.9707606112707026,0.9560941443237326,0.9707042835780507,0.9661294815515294
DOT-SGD,0.9971571088472693,0.9971603347616418,0.9964572593852127,0.9932883847590872,0.9963664492761769,0.99552600483092
MATIC-SGD,0.9986550172637171,0.9985503406012397,0.9968915483593745,0.9937623396412313,0.9975013893488708,0.9967923108785488
LTC-SGD,0.9983778590420314,0.9983778883845429,0.9979348682123349,0.9960480417126455,0.9978260622276324,0.9969504301525669
WBTC-SGD,0.9981175870957617,0.9981175870961033,0.9935318105706255,0.9973734146779265,0.9949063418680772,0.9915576928043411
SHIB-SGD,0.9975428581451371,0.3489020113825808,0.9772057213906354,0.9633982476566563,0.9793506367550444,-0.004915662219994843
BCH-SGD,0.9982680388850375,0.9982680387505775,0.9954968936637287,0.9937245330199577,0.9954267358348259,0.9941356988035096
XLM-SGD,0.9961836688852015,0.9949027951472572,0.996043680430292,0.9887365128453244,0.994003191629429,0.995530375759325
LEO-SGD,0.998020531374522,0.9977501448114361,0.9912469915060986,0.9886631049151444,0.9943914945801245,0.9959263134073756
AVAX-SGD,0.9979762055084275,0.9979759040601508,0.9949280802756142,0.9922277323506694,0.9952354562397987,0.9944407230828066
LINK-SGD,0.998810268547124,0.9988093521453972,0.997551394304122,0.9964778786216466,0.9975547218338334,0.9961976305966816
TUSD-SGD,0.922381101554179,0.8774652791086666,0.9758121431317267,0.9634787915880204,0.9639524677543937,0.9658900617186222
