Description,Price,Rating,ReviewCount,Url
Apple iPhone 13 (128GB) - Pink,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0MjA0MTQ2MDk2NDAzMjY4OjE2Njg4MDcyMzg6c3BfYXRmOjIwMDc0MjM1MTE4MDAzOjowOjo&url=%2FApple-iPhone-13-128GB-Pink%2Fdp%2FB09G9FPGTN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807238%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 13 Mini (128GB) - Pink,64900,4.5 out of 5 stars,"1,341",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0MjA0MTQ2MDk2NDAzMjY4OjE2Njg4MDcyMzg6c3BfYXRmOjIwMDc0MjM1MTEzMzAzOjowOjo&url=%2FApple-iPhone-13-Mini-128GB%2Fdp%2FB09G9L2B3L%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DApple%2Biphone%26qid%3D1668807238%26qu%3DeyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%253D%253D%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Apple iPhone 12 (128GB) - Green,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B08L5VJWCV/ref=sr_1_3?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-3
Apple iPhone 12 (64GB) - Green,48900,4.6 out of 5 stars,"1,299",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5W16HX/ref=sr_1_4?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-4
Apple iPhone 13 (128GB) - Green,65999,4.6 out of 5 stars,"7,507",https://www.amazon.in//Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_5?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-5
Apple iPhone 14 128GB Blue,79900,4.5 out of 5 stars,130,https://www.amazon.in//Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_6?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-6
Apple iPhone 12 (128GB) - Purple,55999,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-128GB/dp/B0932MD32V/ref=sr_1_7?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-7
Apple iPhone 12 (64GB) - (Product) RED,48900,4.5 out of 5 stars,"4,941",https://www.amazon.in//New-Apple-iPhone-12-64GB/dp/B08L5TGWD1/ref=sr_1_8?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-8
Apple iPhone 11 (64GB) - White,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8C1NJ3/ref=sr_1_9?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-9
Apple iPhone 11 (64GB) - Black,40999,4.6 out of 5 stars,"55,461",https://www.amazon.in//New-Apple-iPhone-11-64GB/dp/B08L8DV7BX/ref=sr_1_10?keywords=Apple+iphone&qid=1668807238&qu=eyJxc2MiOiI2LjYzIiwicXNhIjoiNi40NCIsInFzcCI6IjIuNzUifQ%3D%3D&sr=8-10
