Weather,Temperature,Attendance
Sunny,5.7809636472108785,Present
Snowy,10.639905014557336,Absent
Rainy,18.034427555790067,Present
Sunny,14.25012162632532,Present
Snowy,27.504825372530398,Absent
Snowy,12.355979710091875,Absent
Snowy,10.328729289567885,Absent
Snowy,9.89453791221375,Present
Rainy,24.066572469576393,Absent
Snowy,24.83471726085733,Absent
Rainy,3.275554124291194,Absent
Cloudy,26.220751965181023,Absent
Sunny,28.609732704959466,Present
Snowy,3.0900223819095096,Present
Cloudy,13.095685706390395,Absent
Sunny,34.28892424357976,Present
Sunny,30.061017060252492,Present
Sunny,20.24792659251042,Present
Cloudy,25.012493962894318,Absent
Rainy,41.12019623620074,Absent
Cloudy,25.027969734526216,Present
Snowy,7.79191138581108,Absent
Snowy,33.64938999600827,Absent
Cloudy,11.290611093753816,Present
Sunny,29.939022358478347,Present
Rainy,26.562706609568888,Present
Rainy,28.895135530057615,Present
Rainy,35.40932975409157,Absent
Rainy,5.340856714920479,Absent
Sunny,19.304114450612026,Absent
Rainy,39.46049502545878,Absent
Sunny,29.76381744519947,Present
Snowy,21.77158337341313,Absent
Sunny,9.768268699710498,Present
Snowy,21.067204929519576,Absent
Rainy,10.881187014559885,Absent
Cloudy,5.3163304353557415,Absent
Snowy,25.764787030585524,Present
Snowy,20.65305605338348,Absent
Sunny,12.264871972392886,Present
Cloudy,23.949481889622476,Present
Snowy,14.961101122118512,Absent
Sunny,37.79559084207381,Present
Rainy,19.69427555630042,Absent
Snowy,35.77088212470096,Present
Rainy,11.871978991611098,Present
Snowy,26.133491654036355,Absent
Snowy,38.43699976477568,Present
Cloudy,22.710909822158605,Present
Snowy,31.36447627051515,Absent
Sunny,2.616681318253491,Present
Rainy,27.07134744320927,Absent
Rainy,20.303861314648824,Absent
Rainy,27.650019773845077,Absent
Snowy,28.67665218013112,Present
Sunny,-2.5625011781041884,Present
Snowy,15.563972603939003,Absent
Cloudy,13.29976719400538,Absent
Sunny,21.521641900056984,Present
Snowy,0.5946660283028322,Absent
Snowy,9.094913325183004,Present
Cloudy,30.019207035276676,Absent
Snowy,21.768924460523685,Absent
Cloudy,9.11985458583353,Absent
Snowy,17.46782632944532,Absent
Sunny,30.982730577258454,Present
Cloudy,1.6043321403201887,Absent
Sunny,17.8857138645774,Present
Sunny,17.70336756709189,Present
Sunny,21.86979414469047,Present
Rainy,25.037794661678845,Present
Rainy,39.10342501588043,Absent
Cloudy,25.53781194426611,Absent
Sunny,14.125185326724417,Present
Sunny,32.579499429459304,Present
Rainy,11.413316019020717,Absent
Snowy,24.361870953416943,Absent
Sunny,35.71463051309723,Present
Rainy,30.77314881367669,Present
Cloudy,28.110896766545228,Absent
Cloudy,-2.3153763872176327,Absent
Snowy,18.989974826946234,Absent
Sunny,14.12624933450776,Present
Rainy,33.24868271478721,Absent
Rainy,28.406484781380932,Present
Snowy,22.611061815629576,Absent
Rainy,27.944416483012173,Absent
Rainy,13.503835134879665,Present
Snowy,26.342845103835337,Present
Cloudy,20.950026624748332,Absent
Snowy,3.167931929851825,Present
Snowy,23.44046137994924,Present
Cloudy,27.071580306332685,Absent
Cloudy,31.934145851406342,Present
Snowy,25.27388527565007,Present
Sunny,30.067039239223362,Present
Cloudy,2.6767266791672526,Absent
Snowy,16.265878371496783,Present
Rainy,18.574896029198307,Absent
Sunny,16.702576352374823,Present
Rainy,19.109578805035003,Absent
Cloudy,14.22603751261232,Present
Sunny,27.36165479245019,Present
Snowy,10.087944515275169,Present
Sunny,21.251746116962845,Present
Cloudy,20.731527131734985,Absent
Sunny,21.439372343795366,Present
Snowy,10.52275682274934,Absent
Snowy,33.992299246853506,Present
Sunny,17.738762736454653,Present
Snowy,5.611458351532159,Absent
Sunny,28.013010182970273,Present
Sunny,19.96668554066295,Present
Sunny,19.03058442342574,Present
Sunny,19.04128549948999,Present
Cloudy,23.954369639302893,Present
Snowy,19.46756957872087,Absent
Sunny,12.265004175055417,Present
Snowy,5.808144921063558,Absent
Cloudy,23.034519325946295,Present
Snowy,4.817932948105652,Present
Snowy,31.197077252488693,Absent
Rainy,10.461390382458331,Absent
Rainy,11.50385978034154,Absent
Rainy,10.18100306952621,Absent
Sunny,6.369223318442948,Present
Rainy,12.274014403375062,Absent
Rainy,17.16374547743489,Absent
Rainy,-3.2760404270114982,Present
Snowy,-4.4522749077870145,Present
Sunny,12.841350726764915,Present
Snowy,28.833968424560666,Absent
Rainy,6.995601433999173,Absent
Cloudy,19.23660915921359,Absent
Sunny,34.305568155799634,Present
Rainy,6.765914167761192,Present
Cloudy,15.616438338332408,Present
Sunny,12.568475188112345,Present
Cloudy,28.919675819978963,Present
Sunny,24.638727652285198,Present
Rainy,26.176608467347872,Absent
Snowy,44.964170627598534,Absent
Cloudy,36.29475222809067,Present
Cloudy,19.009552983096,Present
Rainy,17.98008044741839,Absent
Sunny,5.511741113302314,Present
Snowy,2.8583531256745474,Present
Rainy,19.503584292221266,Absent
Rainy,7.0060453661747495,Absent
Snowy,26.253554293826845,Absent
Sunny,12.082807122771698,Present
Cloudy,14.170566054950227,Present
Cloudy,4.47319458940836,Present
Snowy,41.10153524218902,Present
Cloudy,27.58829549023102,Absent
Snowy,12.900697589304164,Absent
Snowy,21.511470321461562,Absent
Snowy,33.23091307981186,Absent
Cloudy,10.721749257730924,Absent
Rainy,39.06598682706118,Present
Cloudy,9.678251055872062,Present
Cloudy,18.22638516728503,Absent
Snowy,3.4962160435283494,Absent
Cloudy,-5.385111260546267,Absent
Snowy,30.100907805358226,Absent
Snowy,20.857020920133934,Present
Cloudy,2.661390196854697,Present
Cloudy,3.593987948700587,Present
Snowy,31.453613996569153,Absent
Sunny,18.49404891477279,Present
Rainy,34.314432470965784,Absent
Cloudy,26.365867682363024,Present
Snowy,19.334371524461623,Present
Cloudy,20.323299807682563,Present
Rainy,14.449263527533526,Absent
Cloudy,20.97786109229008,Present
Rainy,19.390150179901156,Absent
Sunny,28.375166726589022,Present
Cloudy,18.3658155892392,Absent
Cloudy,28.23555491868738,Absent
Snowy,29.206322907748945,Present
Sunny,21.807626069823804,Present
Snowy,6.870316660008164,Absent
Cloudy,18.395232939477168,Present
Snowy,0.9392535401383171,Absent
Sunny,7.933783786475306,Present
Sunny,27.304183331603017,Present
Cloudy,24.948927894275343,Absent
